id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
9f88feba4b43f963c40eab6d6ebf212b,Aug. 20 - Philadelphia County - Amended Request Pursuant to Pa.R.J.A. 1952(B)(2)(m) to Temporarily Suspend or Modify Statewide Court Rules Regarding Prompt Trials and Utilization of Advanced Communication Technology,,6.0,12,2023-03,https://www.pacourts.us/Storage/media/pdfs/20210913/134948-21em20_8-20_amended_request_pursuant_to_pa.r.j.a._1952(b)(2)(m)....pdf,['received'],https://courtformsonline.org/forms/9f88feba4b43f963c40eab6d6ebf212b.pdf,['received'],PA
9f819815887a1bc44b761d14bd2e670a,KMBT_C554e-20210401153254,,9.0,0,2023-03,https://www.pacourts.us/Storage/media/pdfs/20210519/011031-file-11386.pdf,"['page_5_check_0', 'page_8_field_0']",https://courtformsonline.org/forms/9f819815887a1bc44b761d14bd2e670a.pdf,"['page_check', 'page_field']",PA
9f783903f603eb300ba3857cd7101059,Khmer Request for Order for Possession,,1.0,11,2023-03,https://www.pacourts.us/Storage/media/pdfs/20210517/231609-file-11577.pdf,"['County', 'MDJ Number', 'MDJ Name', 'MDJ Address', 'MDJ Phone', 'Landlord', 'Tenant Name', 'Docket Number', 'Case Filed', 'Time Filed', 'Date Filed', 'County_T', 'Judgment Amount', 'Costs Original', 'Costs New', 'Attorney Fees', 'Total', 'LandlordAddress 1', 'LandlordAddress 2', 'LandlordAddress 3', 'LandlordAddress 4', 'Landlord2', 'Date']",https://courtformsonline.org/forms/9f783903f603eb300ba3857cd7101059.pdf,"['county__1', 'md_j_number', 'md_j_name', 'md_j_address', 'md_j_phone', 'landlord__1', 'tenant_name', 'docket_number', 'case_filed', 'time_filed', 'date_filed', 'county__2', 'judgment_amount', 'costs_original', 'costs_new', 'attorney_fees', 'total', 'landlord_address__1', 'landlord_address__2', 'landlord_address__3', 'landlord_address__4', 'landlord__2', '*signature_date']",PA
9f1fa45febc12500a021670cd2bdd11a,April 2 - Washington County - Administrative Order (Declaration of Judicial Emergency Extended until 5/1/20),,2.0,0,2023-03,https://www.pacourts.us/Storage/media/pdfs/20210519/144152-file-8890.pdf,[],https://courtformsonline.org/forms/9f1fa45febc12500a021670cd2bdd11a.pdf,[],PA
9efc7cbc7d16982d291c798a40faeb56,Russian Subpoenna,,1.0,13,2023-03,https://www.pacourts.us/Storage/media/pdfs/20210527/020713-file-458.pdf,"['fill_1', 'County Court of Common Pleas', 'toggle_1', 'toggle_2', 'fill_3', 'fill_4', 'fill_8', 'fill_9', 'fill_10', 'fill_11', 'fill_12', 'fill_5', 'toggle_3', 'toggle_4', 'Text1', 'Text2']",https://courtformsonline.org/forms/9efc7cbc7d16982d291c798a40faeb56.pdf,"['fill__1', 'county_court_common_pleas', 'toggle__1', 'toggle__2', 'fill__2', 'fill__3', 'fill__4', 'fill__5', 'fill__6', 'fill__7', 'fill__8', 'fill__9', 'toggle__3', 'toggle__4', 'text__1', 'text__2']",PA
9ed2cd94e864a4fcbb2359e0d7c2c230,Vietnamese Notice of Hearing and Order Petition Temporary Order Affidavit of Service and the Final Order,,2.0,4,2023-03,https://www.pacourts.us/Storage/media/pdfs/20211207/215309-4-bảntuyênthệtốngđạt(affidavitofservice).pdf,"['COUNTY_3', 'IN THE COURT OF COMMON PLEAS OF_3', 'fill_4_9', 'fill_5_5', 'fill_3_5', 'AFFIDAVIT OF SERVICE', 'fill_7_3', 'the papers to 1', 'the papers to 2', 'fill_9_3', 'fill_11_3', 'at the following address 1', 'at the following address 2', 'fill_13_2', 'fill_15_4', 'on the', 'undefined_3', 'vào ngày', 'undefined_4', 'at approximately', 'tháng_2', 'fill_1_3', 'fill_2_8', 'fill_3_6', 'Date  Ngày_4']",https://courtformsonline.org/forms/9ed2cd94e864a4fcbb2359e0d7c2c230.pdf,"['count', 'n_th_e_cour_f_commo_plea', 'fill__1', 'fill__2', 'fill__3', 'affidavi_f_service', 'fill__4', 'papers__1', 'papers__2', 'fill__5', 'fill__6', 'following_address__1', 'following_address__2', 'fill__7', 'fill__8', 'on_the', 'undefined__1', 'v_ng', 'undefined__2', 'approximately', 'th_ng', 'fill__9', 'fill__10', 'fill__11', 'date_ng']",PA
9ecc6c820a4cf7ab2deb156f0e82ea84,July 8 - Delaware County - Order (Extension Of Judicial Emergency Provisions Through 10 31 20),,3.0,0,2023-03,https://www.pacourts.us/Storage/media/pdfs/20210519/022252-file-9696.pdf,['page_2_field_0'],https://courtformsonline.org/forms/9ecc6c820a4cf7ab2deb156f0e82ea84.pdf,['page_field'],PA
9eb1d04fbba32c61402cabeacf0f410c,Portuguese Notice of Hearing and Order Petition Temporary Order Affidavit of Service and the Final Order,,2.0,8,2023-03,https://www.pacourts.us/Storage/media/pdfs/20211207/220032-4-declaraçãodeapresentaçãodeintimação(affidavitofservice).pdf,"['IN THE COURT OF COMMON PLEAS OF_4', 'COUNTY_4', 'PLAINTIFF  AUTOR_4', 'DEFENDANT  RÉU_4', 'CASE NO  N DE PROCESSO_4', 'undefined_2', 'DE INTIMAÇÃO', 'Defendant by handing the papers to 1', 'Defendant by handing the papers to 2', 'descrito acima para 1', 'descrito acima para 2', 'at the following address 1', 'at the following address 2', 'no endereço a seguir 1', 'no endereço a seguir 2', 'on the', 'undefined_3', 'de_2', 'at approximately', 'aproximadamente às', 'de_3', 'Text33', 'Signature  Assinatura_2', 'Title  Cargo', 'Address  Endereço', 'Date  Data_4']",https://courtformsonline.org/forms/9eb1d04fbba32c61402cabeacf0f410c.pdf,"['n_th_e_cour_f_commo_plea', 'count', 'plaintif_f_auto_r', 'defendan_r_u', 'cas_e_n_process', 'undefined__1', 'e_intim', 'defendant_handing_papers__1', 'defendant_handing_papers__2', 'descrito_acima_para__1', 'descrito_acima_para__2', 'following_address__1', 'following_address__2', 'endere_seguir__1', 'endere_seguir__2', 'on_the', 'undefined__2', 'de__1', 'approximately', 'aproximadamente', 'de__2', 'text', 'signature_assinatura', 'title_cargo', 'address_endere', 'date_data']",PA
9ead57b13e436414cf04962bade8315d,(Untitled),,9.0,14,2023-03,https://www.pacourts.us/Storage/media/pdfs/20210224/223341-petitionforprotectionfromsexualviolenceandorintimidationenglish-004533.pdf,"['Pennsylvania', 'Day', 'Time', 'AM or PM', 'Courtroom number/name', 'Courthouse Name', 'County Name', 'Judge', 'Date', ""Plaintiff's DOB"", 'Check BoxYou', 'Check BoxElse', 'Plaintiff and provide your name and address below', 'Address', 'If you checked another person indicate your relationship to the plaintiff', 'Check BoxSV', 'Check BoxSVMC', 'Check BoxInt', 'The facts of the most recent incident of intimidation are as follows 1', 'The facts of the most recent incident of intimidation are as follows 2', 'Name of other persons', 'Yes or No', 'what is relationship', 'Details for item 5', 'so state when and where the case was filed and the court docket number if known 2', 'details for item 6', 'details for 6a', 'Approximate Date', 'Approximate Time', 'Location or Place of Incident', 'attach additional sheets of paper if necessary 1', 'attach additional sheets of paper if necessary 2', 'attach additional sheets of paper if necessary 3', 'Placeb', 'occurred attach additional sheets of paper if necessary 1', 'occurred attach additional sheets of paper if necessary 2', 'occurred attach additional sheets of paper if necessary 3', 'E Order the following additional relief not listed above 1', 'E Order the following additional relief not listed above 2', 'E Order the following additional relief not listed above 3', 'E Order the following additional relief not listed above 4', 'law enforcement attach additional sheets of paper if necessary 1', 'law enforcement attach additional sheets of paper if necessary 2', 'law enforcement attach additional sheets of paper if necessary 3', 'Yes or No - If yes, please describe', 'Identify Police Dept/Law Enforcement to be given copy of order', 'Check Box10a', 'Check Box10f', 'Check Box10e', 'Check Box10b', 'Check Box10c', 'Check Box10d', 'Check Box10g', 'Signature Line', 'Date Signed', 'Check BoxTOSV', 'Check BoxTOSVMC', 'Check BoxTOInt', ""Today's date"", 'Order denied', 'Order granted', 'Name of Person Protected under the order', 'Check Box2a', 'Check Box2b', 'Plaintiff NameTO', 'Defendant NameTO', 'Case NumberTO', 'C Prohibited from direct or indirect contact with the following designated persons', 'whereabouts or other demographic information 1', 'whereabouts or other demographic information 2', 'whereabouts or other demographic information 3', 'whereabouts or other demographic information 4', 'where Plaintiff resides and any other agency specified insert name of agency', 'Check Box2c', 'Check Box3', 'Check Box5', 'expiration date', 'Check Box4', 'Judge_2', 'Date_2']",https://courtformsonline.org/forms/9ead57b13e436414cf04962bade8315d.pdf,"['pennsylvania', 'day', 'time', 'pm', 'courtroom_number_name', 'courthouse_name', 'county_name', 'judge__1', '*signature_date__1', 'plaintiff_dob', 'check_box__1', 'check_box_else', 'plaintiff_provide_address', '*users1_address_line_one', 'another_person_relationship', 'check_box_sv', 'check_box_svmc', 'check_box_int__1', 'facts_incident_follows__1', 'facts_incident_follows__2', 'name_persons', 'yes', 'relationship', 'details_item__1', 'state_case_filed_court_number', 'details_item__2', 'details', 'approximate_date', 'approximate_time', 'location_place_incident', 'additional_sheets_paper__1', 'additional_sheets_paper__2', 'additional_sheets_paper__3', 'placeb', 'additional_sheets_paper__4', 'additional_sheets_paper__5', 'additional_sheets_paper__6', 'order_following_additional_relief__1', 'order_following_additional_relief__2', 'order_following_additional_relief__3', 'order_following_additional_relief__4', 'additional_sheets_paper__7', 'additional_sheets_paper__8', 'additional_sheets_paper__9', 'yes_please_describe', 'identify_law_enforcement_given', 'check_box__2', 'check_box_f', 'check_box_e', 'check_box_b__1', 'check_box_c__1', 'check_box__3', 'check_box_g', 'signature_line', 'date_signed', 'check_box_tosv', 'check_box_tosvmc', 'check_box_int__2', 'today_date', 'order_denied', 'order_granted', 'name_person_protected_order', 'check_box__4', 'check_box_b__2', 'plaintiff_name', 'defendant_name', 'case_number', 'prohibited_indirect_designated', 'demographic_information__1', 'demographic_information__2', 'demographic_information__3', 'demographic_information__4', 'plaintiff_agency_specified', 'check_box_c__2', 'check_box__5', 'check_box__6', 'expiration_date', 'check_box__7', 'judge__2', '*signature_date__2']",PA
9e85a7e36e3842c80ee4d6be4ccb9965,(Untitled),,1.0,10,2023-03,https://www.pacourts.us/Storage/media/pdfs/20210223/005832-countymapbyregion-003028.pdf,['page_0_field_0'],https://courtformsonline.org/forms/9e85a7e36e3842c80ee4d6be4ccb9965.pdf,['page_field'],PA
