id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
9fa40f194cc9f0610d3f6c82d1d09afc,"
                        Notice of Registration of Out-of-State Child-Custody Determination (UCCJEA) (formerly FOC 99)
                    ",,1.0,9,2023-03,https://www.courts.michigan.gov/4a6431/siteassets/forms/scao-approved/cc388.pdf,"['county', 'Petitioner name', 'Respondent name', 'custody', 'parenting time', 'Issuing tribunal and state', 'Date', 'circuit', 'caseno', 'judge', 'address', 'courtphone', 'registration', 'Respondent name address and telephone', 'Date of notice', 'tribunal and state 2', 'Date2', 'issuing court did not have jurisdiction', 'vacated', 'notice', 'addressdifferent', 'date3', 'Text1']",https://courtformsonline.org/forms/9fa40f194cc9f0610d3f6c82d1d09afc.pdf,"['county', 'petitioner_name', 'respondent_name', 'custody', 'parenting_time', 'issuing_tribunal_state', '*signature_date__1', 'circuit', '*docket_number', 'judge', '*users1_address_line_one', 'courtphone', 'registration', 'respondent_name_address', 'date_notice', 'tribunal_state', '*signature_date__2', 'issuing_court_jurisdiction', 'vacated', 'notice', 'addressdifferent', '*signature_date__3', 'text']",MI
9f2e2463e51b473132231a1d694f0f5a,"MC 245o, Order for Discharge From Probation",,1.0,10,2023-03,https://www.courts.michigan.gov/4a2d56/siteassets/forms/scao-approved/mc245o.pdf,"['were', 'did', 'did_2', 'did_3', 'a Drug treatment court and', 'b Veterans treatment court and', 'c Mental health treatment court and', 'were not', 'did not', 'did not_2', 'did not_3', '2 The defendants behavior warrants an early discharge from probation', '4 The plea or finding of guilt under the', '5 The defendant is released from the status of Youthful Trainee under the Holmes Youthful Trainee Act MCL 76214', '6 The plea or finding of guilt under the Michigan Liquor Control Code Minor in Possession MCL 4361703 is set', 'Controlled Substance Act MCL 3337411', 'Drug Treatment Court MCL 6001076', 'Veterans Treatment Court MCL 6001206', 'Mental Health Treatment Court MCL 6001095', 'Parental Kidnapping Act MCL 750350a', 'Penal Code Practicing under Influence MCL 750430', 'Spouse Abuse Act MCL 7694a', 'Penal Code Human Trafficking Victim MCL 750451c', 'Text1', 'Offense', 'Text2', 'Text3', 'CASE NO', 'Judge', 'Text6', 'Text7', 'Text8', 'Text5', 'The State of Michigan', 'checkbox1', 'Defendants name address and telephone no', 'undefined_2', 'CTNTCN', 'SID', 'Date of probation', 'Term of probation']",https://courtformsonline.org/forms/9f2e2463e51b473132231a1d694f0f5a.pdf,"['were', 'did', 'did_2', 'did_3', 'drug_treatment_court', 'b_veterans_treatment_court', 'mental_health_treatment_court', 'were_not', 'did_not', 'did_not_2', 'did_not_3', 'warrants_discharge_probation', 'plea_finding_guilt', 'defendant_status_holmes_mc', 'plea_minor_possession_set', 'controlled_substance_act_mc_l', 'drug_treatment_court_mc_l', 'veterans_treatment_court_mc_l', 'mental_health_treatment_court_mc', 'parental_kidnapping_act_mc_l', 'penal_practicing_influence_mc_l', 'spouse_abuse_act_mc_l', 'penal_human_victim_mc_l', 'text__1', 'offense', 'text__2', 'text__3', 'cas_e', 'judge', 'text__4', 'text__5', 'text__6', 'text__7', 'state_michigan', 'checkbox', 'name_address_telephone', 'undefined', 'ctntcn', 'sid', 'date_probation', 'term_probation']",MI
9ed63ab2e73ca477f4302c9ece30702a,"JC 70, Judgment of Conviction (Designated Case)",,2.0,9,2023-03,https://www.courts.michigan.gov/4aa421/siteassets/forms/scao-approved/jc70.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'In the matter of', 'CTNTCN', 'SID', '1 Date of trialhearing', 'prosecutor', 'court', 'was represented by an attorney', 'waived representation by an attorney', '5 The juvenile was found guilty on', 'CountRow1', 'CourtRow1', 'DISMISSED BYRow1', 'CRIMERow1', 'CHARGE CODES MCL citationPACC CODERow1', 'CountRow2', 'CourtRow2', 'DISMISSED BYRow2', 'CRIMERow2', 'CHARGE CODES MCL citationPACC CODERow2', 'CountRow3', 'CourtRow3', 'DISMISSED BYRow3', 'CRIMERow3', 'CHARGE CODES MCL citationPACC CODERow3', 'CountRow4', 'CourtRow4', 'DISMISSED BYRow4', 'CRIMERow4', 'CHARGE CODES MCL citationPACC CODERow4', 'has', 'has not', '8 Sentencing is set for', 'at', 'at_2', 'before Hon', '9 The juvenile shall report to the county sheriff within 24 hours for biometric data collection', 'Text1', 'Judge', 'Text3', 'Text4', 'Text5', 'Judge2', 'textbox101', 'textbox103', 'textbox104', 'Text7', 'textbox105', 'textbox106', 'textbox 107', 'textbox108', 'continue in custody pursuant to the prior court order', 'continue to be released on bond pursuant to the prior court order', 'be released or placed in custody pursuant to the attached order', 'cooperate with and participate in services evaluations tests and the sentencing investigation as requested by the', '11 Other', 'Text8']",https://courtformsonline.org/forms/9ed63ab2e73ca477f4302c9ece30702a.pdf,"['stat_e_n_l_county', 'matter', 'ctntcn', 'sid', 'date_trialhearing', 'prosecutor', 'court', 'represented_attorney', 'waived_representation_attorney', 'juvenile_found_guilty', 'count_row__1', 'court_row__1', 'dismisse_row__1', 'crime_row__1', 'e_code_mc_l_citation_pac_c__1', 'count_row__2', 'court_row__2', 'dismisse_row__2', 'crime_row__2', 'e_code_mc_l_citation_pac_c__2', 'count_row__3', 'court_row__3', 'dismisse_row__3', 'crime_row__3', 'e_code_mc_l_citation_pac_c__3', 'count_row__4', 'court_row__4', 'dismisse_row__4', 'crime_row__4', 'e_code_mc_l_citation_pac_c__4', 'has', 'has_not', 'sentencing_set', 'at', 'at_2', 'hon', 'shall_report_data', 'text__1', 'judge__1', 'text__2', 'text__3', 'text__4', 'judge__2', 'textbox__1', 'textbox__2', 'textbox__3', 'text__5', 'textbox__4', 'textbox__5', 'textbox__6', 'textbox__7', 'custody_pursuant_prior', 'released_pursuant_prior_court', 'released_custody_pursuant', 'cooperate_evaluations', '11_other', 'text__6']",MI
9ebf34f9f80dc8fc4065296d4ff532e5,"
                        Motion to Release Lien
                    ",,1.0,10,2023-03,https://www.courts.michigan.gov/4a7b95/siteassets/forms/scao-approved/foc47.pdf,"['Plaintiffs name address and telephone no', 'plaintiffs', 'defendants', 'Defendants name address and telephone no', 'Date of order', 'the case or account is paid in full', 'other', 'Date', 'Time', 'Location', 'JudgeReferee', 'circuit', 'county', 'courtaddress', 'courtphone', 'pattorney', 'dattorney', 'paid', 'satisfactory', 'closed', 'otherexplain', 'plaintiffs2', 'defendants2', 'Date2', 'barno', 'Date3', 'caseno', 'judge1']",https://courtformsonline.org/forms/9ebf34f9f80dc8fc4065296d4ff532e5.pdf,"['plaintiffs_name_address', 'plaintiffs__1', 'defendants__1', 'name_address_telephone', 'date_order', 'case_account_paid_full', 'other', '*signature_date__1', 'time', 'location', 'judge_referee', 'circuit', 'county', 'courtaddress', 'courtphone', 'pattorney', 'dattorney', 'paid', 'satisfactory', 'closed', 'otherexplain', 'plaintiffs__2', 'defendants__2', '*signature_date__2', 'barno', '*signature_date__3', '*docket_number', 'judge']",MI
9e6c1eccca6e5257a2ee75036857592b,"JC 72, Judgment of Sentence/Commitment to Department of Corrections (Designated Case)",,2.0,10,2023-03,https://www.courts.michigan.gov/4a7df7/siteassets/forms/scao-approved/jc72.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'In the matter of', 'CTNTCN', 'SID', 'DOB', '1 Date of hearing', '2 The juvenile was found guilty on', 'CountRow1', 'DISMISSED BYRow1', 'CRIMERow1', 'CHARGE CODES MCL citationPACC CODERow1', 'CountRow2', 'CourtRow2', 'DISMISSED BYRow2', 'CRIMERow2', 'CHARGE CODES MCL citationPACC CODERow2', 'CountRow3', 'CourtRow3', 'DISMISSED BYRow3', 'CRIMERow3', 'CHARGE CODES MCL citationPACC CODERow3', 'CountRow4', 'CourtRow4', 'DISMISSED BYRow4', 'CRIMERow4', 'CHARGE CODES MCL citationPACC CODERow4', 'CountRow5', 'CourtRow5', 'DISMISSED BYRow5', 'CRIMERow5', 'CHARGE CODES MCL citationPACC CODERow5', '3 The offense adjudicated is abstractable to the Secretary of State under MCL 25762521a MCL 257732', '4 The licensing sanction is reportable to the Michigan State Police under MCL 25762521b', '5 HIV testing and sex offender registration are completed', '6 The juveniles biometric data has been collected according to MCL 28243 for all offenses punishable by 93 days or', '7 A DNA sample is already on file with the Michigan State Police from a previous petition No assessment is required', 'The juveniles drivers license number is', 'days', 'Revoked', 'Suspended', 'Restricted', 'days_2', '10 The juvenile used a firearm in committing the crime', '11 The order delaying sentence dated', 'should be revoked and sentence', 'County', 'Petition no', 'Judge', 'Court telephone no', 'ORI MI', 'Court address', 'Judge2', 'CourtRow1', 'Plea2', 'Plea3', 'Plea4', 'Plea5', 'Plea1', 'Jury1', 'Jury2', 'Jury3', 'Jury4', 'Jury5', '12 The juvenile is committed to the custody of Michigan Department of Corrections This sentence shall be executed', 'CountRow1_2', 'SENTENCE DATERow1', 'MosRow1', 'DATE SENTENCE BEGINSRow1', 'OTHER INFORMATIONRow1', 'CountRow2_2', 'SENTENCE DATERow2', 'MosRow2', 'DATE SENTENCE BEGINSRow2', 'OTHER INFORMATIONRow2', 'CountRow3_2', 'SENTENCE DATERow3', 'MosRow3', 'DATE SENTENCE BEGINSRow3', 'OTHER INFORMATIONRow3', '13 The sentences are to be served consecutively to', 'each other', 'case numbers', 'undefined_5', 'are subject to a 20 late penalty on the amount owed If the juvenile is not able to pay due to financial hardship contact', '15 Court recommendation', '1', '2', '3', 'Years1', 'Years2', 'Years3', 'Years4', 'Years5', 'Years6', 'MosRow4', 'MosRow5', 'Days1', 'Days2', 'Days3', 'Days4', 'Days5', 'Days6', 'MosRow6', 'MosRow7', 'MosRow8', 'MosRow9', 'Text7']",https://courtformsonline.org/forms/9e6c1eccca6e5257a2ee75036857592b.pdf,"['stat_e_n_l_county', 'matter', 'ctntcn', 'sid', '*users1_birthdate', 'date_hearing', 'juvenile_found_guilty', 'count_row__1', 'dismisse_row__1', 'crime_row__1', 'e_code_mc_l_citation_pac_c__1', 'count_row__2', 'court_row__1', 'dismisse_row__2', 'crime_row__2', 'e_code_mc_l_citation_pac_c__2', 'count_row__3', 'court_row__2', 'dismisse_row__3', 'crime_row__3', 'e_code_mc_l_citation_pac_c__3', 'count_row__4', 'court_row__3', 'dismisse_row__4', 'crime_row__4', 'e_code_mc_l_citation_pac_c__4', 'count_row__5', 'court_row__4', 'dismisse_row__5', 'crime_row__5', 'e_code_mc_l_citation_pac_c__5', 'state_mc_l', 'michigan_state_police_mc', 'testing_offender_registration_completed', 'according_offenses_punishable', 'already_previous_required', 'drivers_license_number', 'days__1', 'revoked', 'suspended', 'restricted', 'days__2', 'firearm_committing_crime', 'delaying_sentence_dated', 'revoked_sentence', 'county', 'petition', 'judge__1', 'court_telephone', 'mi', 'court_address', 'judge__2', 'court_row__5', 'plea__1', 'plea__2', 'plea__3', 'plea__4', 'plea__5', 'jury__1', 'jury__2', 'jury__3', 'jury__4', 'jury__5', 'custody_sentence_shall', 'count_row__6', 'sentenc_e_date_row__1', 'mos_row__1', 'dat_e_sentenc_begins_row__1', 'othe_r_information_row__1', 'count_row__7', 'sentenc_e_date_row__2', 'mos_row__2', 'dat_e_sentenc_begins_row__2', 'othe_r_information_row__2', 'count_row__8', 'sentenc_e_date_row__3', 'mos_row__3', 'dat_e_sentenc_begins_row__3', 'othe_r_information_row__3', 'sentences_served_consecutively', 'each_other', 'case_numbers', 'undefined', 'late_amount_able_pay', 'court_recommendation', 'unknown__1', 'unknown__2', 'unknown__3', 'years__1', 'years__2', 'years__3', 'years__4', 'years__5', 'years__6', 'mos_row__4', 'mos_row__5', 'days__3', 'days__4', 'days__5', 'days__6', 'days__7', 'days__8', 'mos_row__6', 'mos_row__7', 'mos_row__8', 'mos_row__9', 'text']",MI
9e3ee8ecd464b2cc8e91768eb137f44c,"
                        Consent to Adoption by Guardian
                    ",,2.0,9,2023-03,https://www.courts.michigan.gov/4a2341/siteassets/forms/scao-approved/pca308a.pdf,"['cirno', 'county', 'fileno', 'casename', 'name', 'child', 'parent', 'name1', 'dob', 'birthplace', 'court', 'item3a', 'item3b', 'item3bi', 'item3bii', 'petitioner', 'item6a', 'item6b', 'rdate', 'address', 'guardian name type or print']",https://courtformsonline.org/forms/9e3ee8ecd464b2cc8e91768eb137f44c.pdf,"['cirno', 'county', '*docket_number', 'casename', '*users1_name', 'child', 'parent', 'name', '*users1_birthdate', 'birthplace', 'court', 'item__1', 'item_b__1', 'item_bi', 'item_bii', '*petitioners1_name', 'item__2', 'item_b__2', 'rdate', '*users1_address_line_one', 'guardian_name_type_print']",MI
9ddadc5ab06a31561c74b43ac164f7fa,"MC 55, Claim of Appeal",,1.0,9,2023-03,https://www.courts.michigan.gov/4a2a96/siteassets/forms/scao-approved/mc55.pdf,"['CIRCUIT', 'DISTRICT', 'IN THE COURT OF APPEALS', 'CASE NO CIRCUIT DISTRICT PROBATE', 'PlaintiffsPetitioners names and addresses Appellant Appellee', 'Appellant', 'Appellee', 'Appellant_2', 'Appellee_2', 'Plaintiffs attorney bar no address and telephone no', 'DefendantsRespondents names and addresses Appellant Appellee', 'Defendants attorney bar no address and telephone no', 'Probate', 'In the matter of', 'Other interested partyies of probate matter', 'Name', 'Date', 'Court name and number or county', 'district judge', 'circuit judge', 'probate judge', 'district court magistrate', 'Name of judge or district court magistrate', 'Bar no', 'filed', 'attached', 'waived', 'not required', 'a The transcript has been ordered', 'b The transcript has been filed', 'c No record was made', '4 THIS CASE INVOLVES', 'a A CONTEST AS TO THE CUSTODY OF A MINOR CHILD', 'b AN ADULT OR MINOR GUARDIANSHIP UNDER THE ESTATES AND PROTECTED INDIVIDUALS CODE OR', 'c AN INVOLUNTARY MENTAL HEALTH TREATMENT CASE UNDER THE MENTAL HEALTH CODE', 'd A RULING THAT A PROVISION OF THE MICHIGAN CONSTITUTION A MICHIGAN STATUTE A RULE OR', 'Date_2', 'Name_2', 'Date_3', 'Name_3', 'Date_4', 'Name_4', 'Date_5', 'personal service', 'personal service_2', 'personal service_3', 'firstclass mail', 'firstclass mail_2', 'firstclass mail_3', 'Date_6', 'Text1', 'Text2', 'Text3', 'Text4', 'Text5', 'Text6', 'Text7', 'Text8', 'Text9']",https://courtformsonline.org/forms/9ddadc5ab06a31561c74b43ac164f7fa.pdf,"['circuit', 'district', 'n_th_e_cour_f_appeals', 'cas_e_n_circui_distric_probate', 'plaintiffs_petitioners_appellant', 'appellant__1', 'appellee__1', 'appellant__2', 'appellee__2', 'plaintiffs_attorney_address', 'defendants_addresses_appellant', 'defendants_attorney_address', 'probate', 'matter', 'interested_probate_matter', '*users1_name', '*signature_date__1', 'court_name_number_county', 'district_judge', 'circuit_judge', 'probate_judge', 'district_court_magistrate', 'judge_court_magistrate', 'bar', 'filed', 'attached', 'waived', 'required', 'transcript_ordered', 'b_transcript_filed', 'c_record_made', 'thi_cas_e_involves', 'contes_th_e_custod_f_mino_r_child', 'b_n_adul_r_mino_guardianshi_p_unde_th_e_estate_protecte_individual_cod', 'c_n_l_cas_e_th', 'g_tha_n_f_th_e', '*signature_date__2', 'name__1', '*signature_date__3', 'name__2', '*signature_date__4', 'name__3', '*signature_date__5', 'personal_service__1', 'personal_service__2', 'personal_service__3', 'firstclass_mail__1', 'firstclass_mail__2', 'firstclass_mail__3', '*signature_date__6', 'text__1', 'text__2', 'text__3', 'text__4', 'text__5', 'text__6', 'text__7', 'text__8', 'text__9']",MI
9dbb0cfe6bb0c033cc38bd2fa257b1ff,"MC 206, Order for Evaluation Relative to Criminal Responsibility",,2.0,12,2023-03,https://www.courts.michigan.gov/4aa744/siteassets/forms/scao-approved/mc206.pdf,"['STATE OF MICHIGAN JUDICIAL DISTRICT JUDICIAL CIRCUIT', 'Defendants name address and telephone no', 'undefined_2', 'CTNTCN', 'SID', 'CountRow1', 'CRIMERow1', 'CHARGE CODES MCL citationPACC CodeRow1', 'CountRow2', 'CRIMERow2', 'CHARGE CODES MCL citationPACC CodeRow2', 'CountRow3', 'CRIMERow3', 'CHARGE CODES MCL citationPACC CodeRow3', 'Date of hearing', 'the Center for Forensic Psychiatry', 'other', 'undefined_3', 'Prosecuting officials name address bar no and telephone no', 'Defendant attorneys name address bar no and telephone no', 'Text1', 'Judge', 'Text3', 'Text4', 'Text5', 'Judge2', 'The State of Michigan', 'The State of Michigan2', 'Text7']",https://courtformsonline.org/forms/9dbb0cfe6bb0c033cc38bd2fa257b1ff.pdf,"['stat_e_f_n_l_circuit', 'name_address_telephone', 'undefined__1', 'ctntcn', 'sid', 'count_row__1', 'crime_row__1', 'e_code_mc_l_citation_pac_c__1', 'count_row__2', 'crime_row__2', 'e_code_mc_l_citation_pac_c__2', 'count_row__3', 'crime_row__3', 'e_code_mc_l_citation_pac_c__3', 'date_hearing', 'center_forensic_psychiatry', 'other', 'undefined__2', 'prosecuting_officials_name', 'defendant_attorneys_address', 'text__1', 'judge__1', 'text__2', 'text__3', 'text__4', 'judge__2', 'state_michigan__1', 'state_michigan__2', 'text__5']",MI
9d97667cc3d3d4ff5ccad120aa8eedfd,"PC 101, Order Following Hearing on Petition for Emancipation",,2.0,8,2023-03,https://www.courts.michigan.gov/4aa6d8/siteassets/forms/scao-approved/pc101.pdf,"['Text3', 'Minors Social Security No']",https://courtformsonline.org/forms/9d97667cc3d3d4ff5ccad120aa8eedfd.pdf,"['text', 'minors_social_security']",MI
9d0244631ef20a3ff24f7f7a577b4735,"
                        Notice of Seizure of Personal Property Subject to Forfeiture without Process and Order
                    ",,1.0,9,2023-03,https://www.courts.michigan.gov/4a2c02/siteassets/forms/scao-approved/dc40.pdf,"['STATE OF MICHIGAN JUDICIAL DISTRICT', 'CASE NO', 'Text8', 'Text9', 'The People of the State of Michigan', 'The People of', 'In the matter of', 'undefined', 'undefined_2', 'Defendant name address and telephone no', 'attorney general', 'prosecuting attorney', 'citytownship attorney for', 'and I state', 'Location', 'Name type or print', 'a it is the proceeds of a crime or instrumentality of a crime and was seized incident to a lawful arrest', 'b the seizure is under a valid search warrant', 'c the seizure is under a valid inspection warrant', 'd there is probable cause to believe the property is directly or indirectly dangerous to public health or safety', 'e exigent circumstances exist and there is probable cause to believe that the property is the proceeds of a crime or an', 'f the property is subject to a prior judgment in favor of the state in an earlier forfeiture proceeding', '6 It is believed', 'a the property is contraband', 'b the ownership of the property is disputed', 'c the property is required to be held as evidence', 'Date', 'Name type or print_2', 'Description', 'Description2']",https://courtformsonline.org/forms/9d0244631ef20a3ff24f7f7a577b4735.pdf,"['stat_e_f_n_l_district', 'cas_e', 'text__1', 'text__2', 'people_state_michigan', 'people', 'matter', 'undefined__1', 'undefined__2', 'defendant_name_address', 'attorney_general', 'prosecuting_attorney', 'citytownship_attorney', 'state', 'location', 'name_type_print__1', 'crime_incident_arrest', 'b_seizure_valid_search_warrant', 'c_seizure_valid_inspection_warrant', 'cause_indirectly_safety', 'exigent_cause_crime', 'prior_state_earlier', 'believed', 'property_contraband', 'ownership_property_disputed', 'property_required_held_evidence', '*signature_date', 'name_type_print__2', 'description__1', 'description__2']",MI
