id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
9fdf23c877e0f2ba516e16fc4afcb98a,Application for Citation in Supplementary Proceedings,,1.0,8,2023-03,https://www.courts.ri.gov/PublicResources/forms/Superior Court Forms/Application for Citation in Supplementary Proceedings.pdf,"['Plaintiff', 'Defendant', 'Civil Action File NumberRow1', 'Murray Judicial Complex', 'Noel Judicial Complex', 'McGrath Judicial Complex', 'Licht Judicial Complex', 'Respectfully Represents', 'of', 'in the County of', 'and State of Rhode Island that the Plaintiff obtained', 'of_2', 'in the County of_2', 'a judgment against said', 'in the', 'Court County of', 'on the', 'day of', '20', 'that thereafter on the', 'day of_2', '20_2', 'Wholly unsatisfied and unpaid', 'Unsatisfied and unpaid to the extent of', 'undefined', 'Said Judgment Creditor', 'Judgment Creditor']",https://courtformsonline.org/forms/9fdf23c877e0f2ba516e16fc4afcb98a.pdf,"['plaintiff', 'defendant', 'civil_action_file_number_row', 'murray_judicial_complex', 'noel_judicial_complex', 'mc_grath_judicial_complex', 'licht_judicial_complex', 'respectfully_represents', 'of', 'county__1', 'state_rhode_island', 'of_2', 'county__2', 'judgment_said', 'in_the', 'court_county', 'on_the', 'day__1', 'unknown', 'thereafter', 'day__2', '20_2', 'wholly_unsatisfied_unpaid', 'unsatisfied_unpaid_extent', 'undefined', 'said_judgment_creditor', 'judgment_creditor']",RI
9ee45f2f3c25677710c6334cecd85074,Entry of Appearance - Civil,,1.0,11,2023-03,https://www.courts.ri.gov/PublicResources/forms/Superior Court Forms/Entry of Appearance - Civil.pdf,"['SUPREME COURT', 'SUPERIOR COURT', 'FAMILY COURT', 'DISTRICT COURT', 'ProvidenceBristol County or Sixth Division', 'Washington County or Fourth Division', 'Kent County or Third Division', 'Newport County or Second Division', 'Plaintiff', 'Defendant', 'Civil Action File NumberRow1', 'Attorney Name or Selfrepresented Litigant', 'Rhode Island Bar Number', 'Address', 'Telephone Number', 'Cell Telephone Number', 'Email Address', 'Date', 'I hereby certify that on the', '20', 'undefined', 'I filed and served this document through the electronic filing system on the following parties', 'The document electronically filed and served is available for viewing andor downloading from the', 'I served this document through the electronic filing system on the following parties', 'The document electronically served is available for viewing andor downloading from the Rhode', 'I mailed or', 'handdelivered this document to the attorney for the opposing party andor the', 'undefined_2', 'at the following address', 'Name', 'Check Box1', 'Check Box2', 'Text3']",https://courtformsonline.org/forms/9ee45f2f3c25677710c6334cecd85074.pdf,"['suprem_e_court', 'superio_r_court', 'famil_court', 'distric_court', 'providence_bristol_county', 'washington_county_fourth', 'kent_county_third_division', 'newport_county_second', 'plaintiff', 'defendant', 'civil_action_file_number_row', 'attorney_name_selfrepresented_litigant', 'rhode_island_bar_number', '*users1_address_line_one', 'telephone_number', 'cell_telephone_number', 'email_address', '*signature_date', 'hereby_certify', 'unknown', 'undefined__1', 'filed_document_filing_following', 'document_available_viewing__1', 'document_filing_following', 'document_available_viewing__2', 'mailed', 'document_opposing_party', 'undefined__2', 'following_address', '*users1_name', 'check_box__1', 'check_box__2', 'text']",RI
9e5f8e46a83002e8c8d410bb4665f4b4,Notice of Appeal,,1.0,8,2023-03,https://www.courts.ri.gov/PublicResources/forms/Family Court Forms/Notice of Appeal.pdf,"['PlaintiffPetitioner', 'Civil Action File NumberDefendantRespondent', 'Name of Each Party and Attorney Filing AppealRow1', 'Name of Each Party and Attorney Filing AppealRow1_2', 'Name of Each Party and Attorney Filing AppealRow2', 'Name of Each Party and Attorney Filing AppealRow2_2', 'Name of Each Party and Attorney Filing AppealRow3', 'Name of Each Party and Attorney Filing AppealRow3_2', 'Name of Each Party and Attorney Filing AppealRow4', 'Name of Each Party and Attorney Filing AppealRow4_2', 'Name of Each Party and Attorney Filing AppealRow5', 'Name of Each Party and Attorney Filing AppealRow5_2', 'Date Case First Filed in the Family Court', 'Date of Judgment or Order Appealed From', 'Plaintiffs', 'Petitioners', 'Defendants', 'Respondents', 'Other', 'undefined', 'Trial Court Judge', 'IPR', 'CON', 'IPT', 'CJD', 'CDS', 'CDM', 'CTD', 'CTG', 'CJJ', 'CDV Directed Verdict', 'CJU JudgmentJury', 'DAL Alimony', 'PRO Probation Violation', 'PTM Pretrial Motion', 'FCJ Juvenile', 'PCR Grant Post Conviction', 'DPC', 'MTR', 'DCF', 'DSJ', 'ASF', 'DRP', 'CUS', 'Plaintiffs_2', 'Defendants_2', 'Other_2', 'Personal Recognizance', 'Held Without Bail', 'Confinement', 'Special Program', 'FineRestitution', 'Surety Bond', 'Cash Bond', 'Suspended', 'Probation', 'Deferred', 'Held In Lieu Of Bail', 'Other_3', 'undefined_2', 'Trial Court Receipt Number', 'Transcript Will Be Ordered', 's', 'Rhode Island Bar Number', 'the Plaintiff Petitioner', 'the DefendantRespondent', 'the Plaintiff Petitioner_2', 'the DefendantRespondent or', 'Date', 'Telephone Number', 'Text1']",https://courtformsonline.org/forms/9e5f8e46a83002e8c8d410bb4665f4b4.pdf,"['plaintiff_petitioner__1', 'number_defendant_respondent', 'party_attorney_filing_appeal__1', 'party_attorney_filing_appeal__2', 'party_attorney_filing_appeal__3', 'party_attorney_filing_appeal__4', 'party_attorney_filing_appeal__5', 'party_attorney_filing_appeal__6', 'party_attorney_filing_appeal__7', 'party_attorney_filing_appeal__8', 'party_attorney_filing_appeal__9', 'party_attorney_filing_appeal__10', 'date_case_first_filed_court', 'date_judgment_order_appealed', 'plaintiffs__1', '*petitioners1_name', 'defendants__1', '*respondents1_name', 'other', 'undefined__1', 'trial_court_judge', 'ipr', 'con', 'ipt', 'cjd', 'cds', 'cdm', 'ctd', 'ctg', 'cjj', 'cd_v_directed_verdict', 'cj_u_judgment_jury', 'da_l_alimony', 'pr_probation_violation', 'pt_pretrial_motion', 'fc_j_juvenile', 'pc_r_grant_post_conviction', 'dpc', 'mtr', 'dcf', 'dsj', 'asf', 'drp', 'cus', 'plaintiffs__2', 'defendants__2', 'other_2', 'personal_recognizance', 'held_without_bail', 'confinement', 'special_program', 'fine_restitution', 'surety_bond', 'cash_bond', 'suspended', 'probation', 'deferred', 'held_lieu_bail', 'other_3', 'undefined__2', 'trial_court_receipt_number', 'transcript_ordered', 's', 'rhode_island_bar_number', 'plaintiff_petitioner__2', 'defendant_respondent__1', 'plaintiff_petitioner__3', 'defendant_respondent__2', '*signature_date', 'telephone_number', 'text']",RI
9db7ba00b2946b7db9fdeae38d08d782,Small Claims Notice of Suit - Answer,,2.0,7,2023-03,https://www.courts.ri.gov/PublicResources/forms/District Court Forms/Small Claims Notice of Suit - Answer.pdf,"['Murray Judicial Complex', 'Noel Judicial Complex', 'McGrath Judicial Complex', 'Garrahy Judicial Complex', 'plus cost of suit', 'for a', 'undefined', 'THIS IS MY ANSWER I disagree with the claim of the Plaintiffs because', 'undefined_2', 'undefined_3', 'THIS IS MY ANSWER I admit I owe the claim and judgment may enter against me I need more time', 'to pay for the following reason 1', 'to pay for the following reason 2', 'Plaintiff', 'Email Address of the Plaintiff', 'Civil Action File Number', 'Attorney for the Plaintiff or the Plaintiff', 'Defendant', 'Address of the Plaintiffs Attorney or the Plaintiff', 'Attorney for the Defendant or the Defendant', 'Address of the Defendants Attorney or the Defendant', 'Telephone Number of the Plaintiff', 'THIS IS MY COUNTERCLAIM The Plaintiffs owes me the following sum for the following reason By filing', 'undefined_5', 'this counterclaim I waive my right to appeal on the counterclaim only', 'THE DEFENDANT WAIVES RIGHT TO APPEAL ON COUNTER CLAIM ONLY', 'Print Name of the Defendant', 'I hereby certify that on the', 'CERTIFICATE OF SERVICE', '20', 'I', 'filed', 'I_2', 'I mailed or', 'handdelivered this document to the attorney for the opposing party andor the opposing party if', 'at', 'selfrepresented', 'undefined_7', 'Text6', 'Check Box7']",https://courtformsonline.org/forms/9db7ba00b2946b7db9fdeae38d08d782.pdf,"['murray_judicial_complex', 'noel_judicial_complex', 'mc_grath_judicial_complex', 'garrahy_judicial_complex', 'plus_cost_suit', 'for_a', 'undefined__1', 'r_disagree_claim_plaintiffs', 'undefined__2', 'undefined__3', 'admit_judgment_enter_need_time', 'pay_following_reason__1', 'pay_following_reason__2', 'plaintiff', 'email_address_plaintiff', 'civil_action_file_number', 'attorney_plaintiff', 'defendant', 'plaintiffs_attorney_plaintiff', 'attorney_defendant', 'defendants_attorney_defendant', 'telephone_number_plaintiff', 'plaintiffs_owes_reason_filing', 'undefined__4', 'counterclaim_waive_appeal', 'th_e_righ_l_n_r', 'print_name_defendant', 'hereby_certify', 'certificat_e_f_service', 'unknown', 'i', 'filed', 'i_2', 'mailed', 'document_opposing_party', 'at', 'selfrepresented', 'undefined__5', 'text', 'check_box']",RI
9bff28ad605a2d30de5167bc73dd4378,Petition for Waiver of the Mandatory Electronic Filing Requirements,,1.0,12,2023-03,https://www.courts.ri.gov/PublicResources/forms/District Court Forms/Petition for Waiver of the Mandatory Electronic Filing Requirements.pdf,"['Island Bar in good standing and petitions the Supreme Court for a waiver of the mandatory', 'Dated', 'undefined', 'Attorney Print Name', 'Rhode Island Bar Number', 'Address', 'Office Telephone Number', 'Cell Telephone Number', 'Email Address', 'Check Box1', 'Check Box2', 'Check Box3']",https://courtformsonline.org/forms/9bff28ad605a2d30de5167bc73dd4378.pdf,"['good_waiver_mandatory', 'dated', 'undefined', 'attorney_print_name', 'rhode_island_bar_number', '*users1_address_line_one', 'office_telephone_number', 'cell_telephone_number', 'email_address', 'check_box__1', 'check_box__2', 'check_box__3']",RI
9a6568ae080cf99d2fe64eb45702d185,Microsoft Word - FC-79 Complaint for an Order of Protection.docx,,4.0,9,2023-03,https://www.courts.ri.gov/PublicResources/forms/Family Court Forms/Complaint for an Order of Protection.pdf,"['Domestic Abuse with Juvenile Involvement', 'Sexual AbuseSexual Exploitation', 'Domestic Abuse', 'Civil Action File Number', 'undefined', 'a', 'b', 'c', 'd', 'e 1', 'e 2', 'Parentguardian of', 'Date of Birth 1', 'Date of Birth 2', 'Date of Birth 3', 'Date of Birth 4', 'Date of Birth 5', 'Date of Birth 6', 'Date of Birth 7', 'Date of Birth 8', 'Murray Judicial Complex', 'Noel Judicial Complex', 'McGrath Judicial Complex', 'Garrahy Judicial Complex', '1 My full name present street address city and state are as follows', '2 My former residence which I have left to avoid abuse is as follows', '2 My full name present street address city and state are as follows', '1 My former residence which I have left to avoid abuse is as follows', '3 The full name present street address city and state of the person causing me abuse the', 'defendant are as follows', 'court for the same facts or circumstances alleged in this complaint except for the following Please', 'state NONE or provide the applicable case numbers', 'undefined_2', 'We are or were formerly married to one another', 'I am a blood relative or relative by marriage of the defendant specifically the defendant is', 'The defendant and I together are the legal parents of one 1 or more children', 'The defendant and I have been in a substantive dating or engagement relationship within', 'No family or substantive dating relationship exists between the defendants and my', 'undefined_3', 'my children andor I suffered abuse when', 'Threatened', 'Attempted to cause my children andor me physical harm', 'Caused my children andor me physical harm', 'Placed my children and or me in fear of imminent physical harm', 'Caused my children andor me to engage involuntarily in sexual relations by force threat of', 'or', 'Attempted to make my children andor me engage involuntarily in sexual relations by force', 'Stalked cyberstalked andor harassed my children andor me', 'Sexually exploited andor sex trafficked my child', 'Order that the defendants be restrained and enjoined from contacting assaulting molesting', 'stalking cyberstalking harassing or otherwise interfering with my children andor me at home on the', 'Order the defendants to immediately VACATE the household which is located at', 'undefined_4', 'Order that the defendant shall NOT terminate or disrupt any utility service at my residence', 'Award me temporary custody of the following minor children of whom I am the', 'undefined_5', 'parentguardian 1', 'parentguardian 2', 'undefined_6', 'Award me support for my minor children as required by law for a period not to exceed ninety 90', 'Order that the defendant surrender all firearms to the Rhode Island State Police or the local', 'Order that', 'undefined_7', 'service of the surrender order', '2 service of the surrender order', 'the Plaintiff or', 'the Defendant', 'Date', 'State of', 'County of', 'personally appeared', 'personally', 'who proved to me through satisfactory evidence of identification which was', 'to be the person who signed above', 'Notary Public', 'My commission expires', 'Notary identification number', 'Name of', 'Signature', 'On this', '20', 'day of']",https://courtformsonline.org/forms/9a6568ae080cf99d2fe64eb45702d185.pdf,"['domestic_abuse_involvement', 'sexual_abuse_exploitation', 'domestic_abuse', 'civil_action_file_number', 'undefined__1', 'a', 'b', 'c', 'd', 'e__1', 'e__2', 'parentguardian__1', 'date_birth__1', 'date_birth__2', 'date_birth__3', 'date_birth__4', 'date_birth__5', 'date_birth__6', 'date_birth__7', 'date_birth__8', 'murray_judicial_complex', 'noel_judicial_complex', 'mc_grath_judicial_complex', 'garrahy_judicial_complex', 'name_present_city_follows__1', 'former_left_avoid_abuse__1', 'name_present_city_follows__2', 'former_left_avoid_abuse__2', 'present_address_city_person', 'defendant_follows', 'alleged_complaint_please', 'state_non_provide_applicable', 'undefined__2', 'formerly_married_one_another', 'relative_defendant_specifically', 'together_legal_one', 'substantive_engagement_relationship', 'substantive_relationship_exists', 'undefined__3', 'children_suffered_abuse', 'threatened', 'attempted_physical_harm', 'caused_children_physical_harm', 'imminent_physical_harm', 'engage_sexual_threat', 'or', 'attempted_engage_sexual', 'stalked_harassed_children', 'sexually_exploited_child', 'enjoined_assaulting_molesting', 'stalking_harassing_interfering', 'order_household_located', 'undefined__4', 'defendant_shall_residence', 'custody_following_minor', 'undefined__5', 'parentguardian__2', 'parentguardian__3', 'undefined__6', 'minor_required_period_exceed', 'rhode_island_state', 'order', 'undefined__7', 'service_surrender_order__1', 'service_surrender_order__2', 'plaintiff', 'defendant', '*signature_date', 'state', 'county', 'personally_appeared', 'personally', 'satisfactory_evidence', 'person_signed', 'notary_public', 'commission_expires', 'notary_identification_number', 'name', '*users1_signature', 'on_this', 'unknown', 'day']",RI
9a51ea8a96abb798623ec2483a3c2cec,Checklist for Filing Briefs,,1.0,9,2023-03,https://www.courts.ri.gov/PublicResources/forms/Supreme Court Forms/Checklist for Filing Briefs.pdf,"['Case Name', 'Case Number', 'AppellantPetitioners Brief', 'Appellee Respondents Response Brief', 'AppellantPetitioners Reply Brief', 'Filed within forty 40 days of prebriefing order', '15000 words  Handwritten briefs 50 pages', 'Filed within twenty 20 days of', '7500 words  Handwritten briefs 25 pages', 'Filed within for forty 40 days from', '15000 words  Handwritten briefs 50 pages_2', 'Color Appellant  Blue Appellee  Red Reply Brief', 'Court Name and Case Number', 'Case Title', 'Nature of Proceedings in Supreme Court eg Appeal', 'Name of Court Agency or Board Below and', 'Title of Document eg Brief for Appellant', 'Name bar number and contact information', 'Original plus 9 hardcopies for manual filings or 9', 'Table of Contents with Page Citations', 'IndexTable of Authorities Alphabetically by category', 'Statement of facts and prior proceedings with page', 'Errors claimed and specific questions raised duly', 'Concise statement of applicable standard of review', 'Bound on the left and not the top', 'Separately numbered pages bottom center', 'Oneinch margins all four sides of each page', 'Word count and Rule 18b Certification', 'Certificate of Service', '14 Point Times New Roman Font', 'Double Spaced', '14 Point Times New Roman Font_2', 'Single Spaced', 'Original plus 5 hardcopies for manual filings or 6', 'Table of Contents with page citations to record', 'Docket entries of proceedings below', 'Relevant portions of pleadings charges findings or', 'Judgment order decision or ruling in question', 'Any portion of record including transcription to', 'Separately numbered pages', 'Tabs or colored paper separating discrete sections', 'Copy of cover sheet of transcript volume', 'Index of witness names', 'Filed on behalf of', 'Attorney Name', 'Bar Number']",https://courtformsonline.org/forms/9a51ea8a96abb798623ec2483a3c2cec.pdf,"['case_name', 'case_number', 'appellant_petitioners_brief__1', 'respondents_response_brief', 'appellant_petitioners_brief__2', 'within_forty_days_order', 'words_briefs_pages__1', 'filed_within_twenty_days', 'words_briefs_pages__2', 'filed_within_forty_days', 'words_briefs_pages__3', 'blue_red_reply_brief', 'court_name_case_number', 'case_title', 'supreme_court_eg_appeal', 'name_court_agency_board', 'title_document_brief_appellant', 'name_number_contact_information', 'original_plus_manual__1', 'contents_page_citations', 'index_table_authorities_alphabetically_category', 'statement_facts_page', 'errors_claimed_raised', 'statement_applicable_review', 'bound_left_top', 'separately_bottom_center', 'margins_four_sides_page', 'word_count_rule_certification', 'certificate_service', 'point_times_new_roman_font__1', 'double_spaced', 'point_times_new_roman_font__2', 'single_spaced', 'original_plus_manual__2', 'page_citations_record', 'docket_entries_proceedings', 'relevant_charges_findings', 'judgment_decision_ruling', 'portion_including_transcription', 'separately_numbered_pages', 'colored_paper_discrete', 'copy_cover_sheet_transcript', 'index_witness_names', 'filed_behalf', 'attorney_name', 'bar_number']",RI
8e35a000716f663e3340e13df7e3648a,Affidavit and Request for Entry of Default,,3.0,8,2023-03,https://www.courts.ri.gov/PublicResources/forms/Superior Court Forms/Affidavit and Request for Entry of Default.pdf,"['Plaintiff', 'Defendant', 'Civil Action File NumberRow1', 'Murray Judicial Complex', 'Noel Judicial Complex', 'McGrath Judicial Complex', 'Licht Judicial Complex', '401 7824121', '401 2223230', 'I', '3 That the Defendant is not an infant or incompetent', '4 That the Defendant presently resides at', '5 That this cause was commenced to recover a sum certain of', 'interest from', 'to', 'in the amount of', 'totaling', 's Attorney for the Plaintiff or the Plaintiff', 'Rhode Island Bar Number', 'Date', 'Telephone Number', 'State of', 'County of', 'On this', 'day of', '20', 'public personally appeared', 'personally known to', 'proved to the notary through satisfactory evidence of identification which was', 'to be the person who signed the', 'Notary Public', 'My commission expires', 'Notary identification number', 'Date of Entry of Default', 's_2', 's_3', '20_2', 'Text1', 'Text2', 'Check Box3', 'Check Box4', 'Check Box5', 'Check Box6', 'Text7', 'Text8', 'Text9', 'Text10']",https://courtformsonline.org/forms/8e35a000716f663e3340e13df7e3648a.pdf,"['plaintiff', 'defendant', 'civil_action_file_number_row', 'murray_judicial_complex', 'noel_judicial_complex', 'mc_grath_judicial_complex', 'licht_judicial_complex', '401_7824121', '401_2223230', 'i', 'defendant_infant_incompetent', 'defendant_presently_resides', 'cause_commenced_sum_certain', 'interest', 'to', 'amount', 'totaling', 'attorney_plaintiff', 'rhode_island_bar_number', '*signature_date', 'telephone_number', 'state', 'county', 'on_this', 'day', 'unknown', 'public_personally_appeared', 'personally_known', 'proved_satisfactory_evidence', 'person_signed', 'notary_public', 'commission_expires', 'notary_identification_number', 'date_entry_default', 's_2', 's_3', '20_2', 'text__1', 'text__2', 'check_box__1', 'check_box__2', 'check_box__3', 'check_box__4', 'text__3', 'text__4', 'text__5', 'text__6']",RI
8df5153ce4ad2df8a0c16540d622f7e8,Notice and Motion to Attach Wages and Defendant-Debtor's Objection to Wage Attachment,,5.0,10,2023-03,https://www.courts.ri.gov/PublicResources/forms/District Court Forms/Notice and Motion to Attach Wages and Defendant-Debtor's Objection to Wage Attachment.pdf,"['PlaintiffCreditor', 'Civil Action File Number', 'DefendantDebtor', 'Attorney for the PlaintiffCreditor or the PlaintiffCreditor', 'Address of the DefendantDebtor', 'Address of the PlaintiffCreditors Attorney or the PlaintiffCreditor', 'Murray Judicial Complex', 'Noel Judicial Complex', 'McGrath Judicial Complex', 'Garrahy Judicial Complex', 'TIME', 'COURTROOM', 'Text269', 'Text270', 'day of', '20', 'undefined', 'I filed and served this document through the electronic filing system on the following parties', 'I mailed or', 'handdelivered this document to the attorney for the opposing party andor the opposing', 'at the following', 'undefined_2', 's', 'Check Box266', 'Text267', 'Text268', 'PlaintiffCreditor_2', 'Civil Action File Number_2', 'DefendantDebtor_2', 'Attorney for the PlaintiffCreditor or the PlaintiffCreditor_2', 'Address of the DefendantDebtor_2', 'Address of the PlaintiffCreditors Attorney or the PlaintiffCreditor_2', '2nd Division District Court', '3rd Division District Court', '4th Division District Court', '6th Division District Court', 'TIME_2', 'COURTROOM_2', 'I am presently receiving some form of public assistance in addition to my wages', 'I received some form of public assistance within the last year', 'I am presently not working and have no wages to attach', 'I have other defenses as follows', 'undefined_3', 'Text271', 'Text272', 'Text273', 'day of_2', '20_2', 'I filed this Objection with', 'I filed and served this document through the electronic filing system on the following parties_2', 'I mailed or_2', 'handdelivered this document to the attorney for the opposing party andor the opposing_2', 'at the following_2', 'undefined_4', 's_2', 'Check Box274', 'Text276', 'Text277']",https://courtformsonline.org/forms/8df5153ce4ad2df8a0c16540d622f7e8.pdf,"['plaintiff_creditor__1', 'civil_action_file_number__1', 'defendant_debtor__1', 'attorney_plaintiff_creditor__1', 'address_defendant_debtor__1', 'plaintiff_creditors_creditor__1', 'murray_judicial_complex', 'noel_judicial_complex', 'mc_grath_judicial_complex', 'garrahy_judicial_complex', 'time', 'courtroom', 'text__1', 'text__2', 'day__1', 'unknown', 'undefined__1', 'filed_document_filing_following__1', 'mailed__1', 'document_opposing_party__1', 'following__1', 'undefined__2', 's', 'check_box__1', 'text__3', 'text__4', 'plaintiff_creditor__2', 'civil_action_file_number__2', 'defendant_debtor__2', 'attorney_plaintiff_creditor__2', 'address_defendant_debtor__2', 'plaintiff_creditors_creditor__2', 'nd_division_district_court', 'rd_division_district_court', 'th_division_district_court__1', 'th_division_district_court__2', 'tim_e', 'courtroo', 'receiving_public_assistance', 'public_assistance_last_year', 'presently_working_wages', 'defenses_follows', 'undefined__3', 'text__5', 'text__6', 'text__7', 'day__2', '20_2', 'filed_objection', 'filed_document_filing_following__2', 'mailed__2', 'document_opposing_party__2', 'following__2', 'undefined__4', 's_2', 'check_box__2', 'text__8', 'text__9']",RI
8bf7dc0b9ada4aafc91d3579531e1e1f,Writ of Replevin,,4.0,9,2023-03,https://www.courts.ri.gov/PublicResources/forms/Superior Court Forms/Writ of Replevin.pdf,"['Plaintiff', 'Defendant', 'Civil Action File NumberRow1', 'Murray Judicial Complex', 'Noel Judicial Complex', 'McGrath Judicial Complex', 'Licht Judicial Complex', 'chattels following 1', 'chattels following 2', 'chattels following 3', 'chattels following 4', 'chattels following 5', 'chattels following 6', 'chattels following 7', 'chattels following 8', 'chattels following 9', 'chattels following 10', 'Text14', 'Text15', 'belonging to 1', 'belonging to 2', 'of 1', 'of 2', 'now taken detained and attached by 1', 'now taken detained and attached by 2', 'now taken detained and attached by 3', 'of 1_2', 'of 2_2', 'at', 'in the County of', 'unto the said', 'upon original writ', 'execution as the property of the said', 'AND SUMMON the said', 'on', 'the', 'AD', 'House at Providence to answer unto the said', 'That the said', 'day', 'the_2', 'of', 'undefined', 'unlawfully and without justifiable cause took the goods and chattels of', 'the said 1', 'the said 2', 'as aforesaid and them unlawfully detained unto this day', 'undefined_2', 'said_2', 'say', 'day of', 'in the year 20', 's', 'Text12', 'KNOW ALL PERSONS that we 1', 'KNOW ALL PERSONS that we 2', 'KNOW ALL PERSONS that we 3', '1', '2', 'in the County of_2', 'and State of Rhode Island and Providence Plantations 1', 'and State of Rhode Island and Providence Plantations 2', 'and State of Rhode Island and Providence Plantations 3', 'as Principal and 1', 'as Principal and 2', 'in the County of 1', 'in the County of 2', 'in the County of 3', 'to 1', 'to 2', 'to 3', 'in the sum of 1', 'in the sum of 2', 'dollars being double the value of the goods and chattels replevied to be paid to said', 'Sealed with our seals and dated this', 'day of_2', 'undefined_3', 'at_2', 'THE CONDITION of this obligation is That whereas said', 'ha 1', 'ha 2', 'commenced an action of replevin against said', 'for 1', 'for 2', 'for 3', 'for 4', 'for 5', 'for 6', 'for 7', 'for 8', 'before the Superior Court the writ which said action is returnable to said court on the', 'Text13', 'day of_3', 'AD_2', 'NOW if said', 'replevin to final judgment and pay such damages and costs as said', 'then this obligation shall be void otherwise shall remain and be in full force and effect', 'undefined_4', '1_2', '2_2']",https://courtformsonline.org/forms/8bf7dc0b9ada4aafc91d3579531e1e1f.pdf,"['plaintiff', 'defendant', 'civil_action_file_number_row', 'murray_judicial_complex', 'noel_judicial_complex', 'mc_grath_judicial_complex', 'licht_judicial_complex', 'chattels_following__1', 'chattels_following__2', 'chattels_following__3', 'chattels_following__4', 'chattels_following__5', 'chattels_following__6', 'chattels_following__7', 'chattels_following__8', 'chattels_following__9', 'chattels_following__10', 'text__1', 'text__2', 'belonging__1', 'belonging__2', 'of_1', 'of_2', 'taken_detained_attached__1', 'taken_detained_attached__2', 'taken_detained_attached__3', 'of_1_2', 'of_2_2', 'at', 'county__1', 'unto_said', 'upon_original_writ', 'execution_property_said', 'summo_n_said', 'on', 'the', 'ad', 'providence_answer_unto_said', 'said__1', 'day__1', 'the_2', 'of', 'undefined__1', 'unlawfully_without_cause', 'said__2', 'said__3', 'unlawfully_detained_unto', 'undefined__2', 'said__4', 'say', 'day__2', 'year', 's', 'text__3', 'kno_w_al_l_person__1', 'kno_w_al_l_person__2', 'kno_w_al_l_person__3', 'unknown__1', 'unknown__2', 'county__2', 'state_rhode_island__1', 'state_rhode_island__2', 'state_rhode_island__3', 'principal__1', 'principal__2', 'county__3', 'county__4', 'county__5', 'to_1', 'to_2', 'to_3', 'sum__1', 'sum__2', 'dollars_value_goods_paid', 'sealed_seals_dated', 'day__3', 'undefined__3', 'at_2', 'e_n_obligation_whereas_said', 'ha__1', 'ha__2', 'commenced_action_said', 'for_1', 'for_2', 'for_3', 'for_4', 'for_5', 'for_6', 'for_7', 'for_8', 'court_writ_said_action', 'text__4', 'day__4', 'a_d_2', 'w_said', 'judgment_pay_damages_costs', 'obligation_otherwise_remain_full', 'undefined__4', '1_2', '2_2']",RI
