id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
4c9c4ef49d932c470226e041f6892771,______________________________,,3.0,11,2023-03,https://www.lsba.org/documents/ATJPublicResources/SRLMotionForContinuance2021.pdf,"['PETITIONER', 'DIV', 'undefined', 'JUDICIAL DISTRICT COURT', 'PARISH', 'DEFENDANT', 'the Respondent appearing in', 'on the', 'day of', 'month 20', 'ampm', 'and that additional time is needed to prepare', 'Other please explain', 'undefined_2', 'Name', 'Address', 'City State Zip', 'Telephone Number', 'Check Box1', 'Check Box2', 'Check Box3', 'Check Box4', 'Text5', 'Text6', 'Text7', 'Check Box8', 'Check Box9', 'Check Box10', 'Check Box11', 'Check Box12', 'Check Box13', 'Check Box14', 'Check Box15', 'Check Box16', 'Address_2', 'undefined_3', 'Telephone Number_2', 'name of adverse or opposing counsel by placing copy of the same in', '20_4', 'name of mover', 'Text17', 'Text18']",https://courtformsonline.org/forms/4c9c4ef49d932c470226e041f6892771.pdf,"['*petitioners1_name', 'div', 'undefined__1', 'judicia_l_distric_court', 'parish', 'defendant', 'respondent_appearing', 'on_the', 'day', 'month', 'ampm', 'additional_time_needed', 'please_explain', 'undefined__2', '*users1_name', '*users1_address_line_one', 'city_state_zip', 'telephone_number__1', 'check_box__1', 'check_box__2', 'check_box__3', 'check_box__4', 'text__1', 'text__2', 'text__3', 'check_box__5', 'check_box__6', 'check_box__7', 'check_box__8', 'check_box__9', 'check_box__10', 'check_box__11', 'check_box__12', 'check_box__13', 'address', 'undefined__3', 'telephone_number__2', 'name_opposing_counsel_placing', '20_4', 'name_mover', 'text__4', 'text__5']",LA
3be3e98afdcc6124e8445f85147d455b,Communications Coordinator,,1.0,23,2023-03,https://www.lsba.org/documents/PublicResources/JudicialAbilityCommentStatement.pdf,[],https://courtformsonline.org/forms/3be3e98afdcc6124e8445f85147d455b.pdf,[],LA
32a6e923761a49c676634710ddf0cbaf,INSTRUCTION SHEET FOR DIVORCES IN WHICH THE DEFENDANT REFUSES TO SIGN THE ACCEPTANCE OF SERVICE AND WAIVER OF CITATION PAPERS,,1.0,12,2023-03,https://www.lsba.org/documents/ATJPublicResources/SRLAffidavitofLongArmService.pdf,"['AFF000', 'petitioner', 'div', 'page_0_field_3', 'defendant', 'page_0_field_5', 'page_0_field_6', 'state_of', 'affidavit_of_long_arm_service', 'page_0_field_9', 'write_in', 'write_in_the_commercial_delivery', 'write_in_the_date_the_delivery_was_made', 'write_in_the_delivery', 'petitioner__affiant__signature', '20', 'page_0_field_16', 'this', 'notary_public', 'page_0_field_19']",https://courtformsonline.org/forms/32a6e923761a49c676634710ddf0cbaf.pdf,"['af_f', '*petitioners1_name', 'div', 'page_field__1', 'defendant', 'page_field__2', 'page_field__3', 'state', 'affidavit_long_arm_service', 'page_field__4', 'write', 'write_commercial_delivery', 'write_date_delivery_made', 'write_delivery', 'petitioner_affiant_signature', 'unknown', 'page_field__5', 'this', 'notary_public', 'page_field__6']",LA
1a0568c07bc0d97df8cfbf6dc116dee4,Fee Delayer,,4.0,8,2023-03,https://www.lasc.org/rules/dist.ct/COURTRULESAPPENDIX8.0.pdf,"['Plaintiff', 'Defendant', 'Judicial District Court', 'Docket Number', 'Division', 'Parish', 'Your Full Name', 'Social Security Number', 'Date of Birth', 'Age', 'Sex', 'Box Number or Street Address', 'City and State', 'Zip Code', 'Home Phone Number', 'Work Phone Number', 'Student - Yes', 'Student - No', 'Name of School', 'Enrollment Status', 'Household - Single', 'Household - Married', 'Household - Separated', 'Household - Divorced', 'Household - Widowed', 'Household - Intimate Partner', 'Under 18', 'Children Live With You', 'Any other Dependents', 'Current Occupation', 'Employed - Yes', 'Employed - No', 'Name of Employer', 'Employer Address', 'Employer City & State', 'Employer Zip Code', 'Employer Telephone Number', 'How Long Employed', 'Last Employer', 'Last Employer Address', 'Last Employer City & State', 'Last Employer Zip Code', 'How Long Unemployed', 'What Were Monthly Wages', 'Paid Weekly', 'Paid Bi-Weekly', 'Paid Monthly', 'Amount Paid/Month', 'Other Monthly Income Received', 'Monthly Federal Tax Deductions', 'Monthly FICA Tax Deductions', 'Total Monthly Deductions', 'Other Deductions', 'Total Net Monthly Income', 'Dependents Name 01', 'Dependents Age 01', 'Dependents Relationship 01', 'Dependents Name 02', 'Dependents Age 02', 'Dependents Relationship 02', 'Dependents Name 03', 'Dependents Age 03', 'Dependents Relationship 03', 'Dependents Name 04', 'Dependents Age 04', 'Dependents Relationship 04', 'Dependents Name 05', 'Dependents Age 05', 'Dependents Relationship 05', 'Spouse Employed', 'Spouse Occupation', 'Spouse Paid Weekly', 'Spouse Paid Bi-Weekly', 'Spouse Paid Monthly', 'Spouse Amount Paid/Month', 'Spouse Employer', 'Spouse Employer City & State', 'Spouse Employer Address', 'Spouse Employer Zip Code', 'Spouse Employer Telephone Number', 'How Long Spouse Employed', 'Any Support - No', 'Any Support - Yes', 'SSI Support', 'Disability', ""Worker's Comp"", 'Unemployment Benefits', 'Food Stamps', 'TANF', 'Spousal Support', 'Kinship Care Subsidy Grant', 'Other Income/Support', 'Value of Interest - House', 'Balance Owed - House', 'Value of Interest - Auto', 'Balance Owed - Auto', 'Value of Interest - Truck', 'Balance Owed - Truck', 'Value of Interest - Watercraft', 'Balance Owed - Watercraft', 'Value of Interest - Livestock', 'Balance Owed - Livestock', 'Balance Owed - Machinery', 'Value of Interest - Machinery', 'Value of Interest - Stock', 'Value of Interest - Bonds', 'Value of Interest - Certificates of Deposit', 'Other Immovable Property - Equity', 'Other Immovable Property - Debt', 'Bank Account - Yes', 'Bank Account - No', 'Amount in Bank Account', 'Checking', 'Savings', 'Name/Location of Bank', 'Total Value of Assets', 'Monthly Rent', 'Lot Rent', 'House Note', 'House Insurance', 'Gas', 'Electricity', 'Water', 'Telephone', 'Cable', 'Garbage', 'Medical Insurance', 'Medical Expenses', 'Dental Expenses', 'Prescriptions', 'Life Insurance', 'Daycare', 'Property Taxes', 'Car Note', 'Car Insurance', 'Transportation', 'Food', 'Barber/Beauty', 'Entertainment', 'Grooming Supplies', 'Garnishment', 'Other Monthly Expenses', 'Credit Card Name 01', 'Credit Card Monthly Payment 01', 'Credit Card Name 02', 'Credit Card Monthly Payment 02', 'Credit Card Name 03', 'Credit Card Monthly Payment 03', 'Credit Card Name 04', 'Credit Card Monthly Payment 04', 'Total Monthly Credit Card Payment', 'Financial Loan 01', 'Financial Loan Monthly Payment 01', 'Financial Loan 02', 'Financial Loan Monthly Payment 02', 'Financial Loan 03', 'Financial Loan Monthly Payment 03', 'Financial Loan 04', 'Financial Loan Monthly Payment 04', 'Total Monthly Financial Loans', 'Total Monthly Expenses', 'Total Itemized Monthly Expenses', 'Help with Expenses - Yes', 'Help with Expenses - No', 'Help with Expenses Name', 'Help with Expenses Relationship', 'Additional Income/Assets - Yes', 'Additional Income/Assets - No', 'Explain additional income/assets', ""Arrangements for Attorney's Fees"", 'False Answer - Yes', 'False Answer - No', ""Mover's Affidavit State of Louisiana Parish Of"", ""Mover's Affidavit Before Me Appeared"", 'Third Party Affidavit State of Louisiana Parish Of', 'Third Party Affidavit Before Me Appeared', 'Third Party Affidavit He/She Knows', ""Legal Service Program's Declaration"", 'Order Name']",https://courtformsonline.org/forms/1a0568c07bc0d97df8cfbf6dc116dee4.pdf,"['plaintiff', 'defendant', 'judicial_district_court', 'docket_number', 'division', 'parish', 'full_name', 'social_security_number', 'date_birth', 'age', 'sex', 'box_number_street_address', 'city_state', 'zip_code', 'home_phone_number', 'work_phone_number', 'student_yes', 'student', 'name_school', 'enrollment_status', 'household_single', 'household_married', 'household_separated', 'household_divorced', 'household_widowed', 'household_intimate_partner', 'under_18', 'children_live', 'dependents', 'current_occupation', 'employed_yes', 'employed', 'name_employer', 'employer_address', 'employer_city_state', 'employer_zip_code', 'employer_telephone_number', 'long_employed', 'last_employer', 'last_employer_address', 'last_employer_city_state', 'last_employer_zip_code', 'long_unemployed', 'monthly_wages', 'paid_weekly', 'paid_bi_weekly', 'paid_monthly', 'amount_paid_month', 'monthly_income_received', 'federal_tax_deductions', 'monthly_fic_tax_deductions', 'total_monthly_deductions', 'deductions', 'total_net_monthly_income', 'dependents_name__1', 'dependents_age__1', 'dependents_relationship__1', 'dependents_name__2', 'dependents_age__2', 'dependents_relationship__2', 'dependents_name__3', 'dependents_age__3', 'dependents_relationship__3', 'dependents_name__4', 'dependents_age__4', 'dependents_relationship__4', 'dependents_name__5', 'dependents_age__5', 'dependents_relationship__5', 'spouse_employed', 'spouse_occupation', 'spouse_paid_weekly', 'spouse_paid_bi_weekly', 'spouse_paid_monthly', 'spouse_amount_paid_month', 'spouse_employer', 'spouse_employer_city_state', 'spouse_employer_address', 'spouse_employer_zip_code', 'spouse_employer_number', 'long_spouse_employed', 'support', 'support_yes', 'ss_support', 'disability', 'worker_comp', 'unemployment_benefits', 'food_stamps', 'tanf', 'spousal_support', 'kinship_care_subsidy_grant', 'income_support', 'value_interest_house', 'balance_owed_house', 'value_interest_auto', 'balance_owed_auto', 'value_interest_truck', 'balance_owed_truck', 'value_interest_watercraft', 'balance_owed_watercraft', 'value_interest_livestock', 'balance_owed_livestock', 'balance_owed_machinery', 'value_interest_machinery', 'value_interest_stock', 'value_interest_bonds', 'value_interest_deposit', 'immovable_property_equity', 'immovable_property_debt', 'bank_account_yes', 'bank_account', 'amount_bank_account', 'checking', 'savings', 'name_location_bank', 'total_value_assets', 'monthly_rent', 'lot_rent', 'house_note', 'house_insurance', 'gas', 'electricity', 'water', '*users1_phone_number', 'cable', 'garbage', 'medical_insurance', 'medical_expenses', 'dental_expenses', 'prescriptions', 'life_insurance', 'daycare', 'property_taxes', 'car_note', 'car_insurance', 'transportation', 'food', 'barber_beauty', 'entertainment', 'grooming_supplies', 'garnishment', 'monthly_expenses', 'credit_card_name__1', 'credit_card_monthly_payment__1', 'credit_card_name__2', 'credit_card_monthly_payment__2', 'credit_card_name__3', 'credit_card_monthly_payment__3', 'credit_card_name__4', 'credit_card_monthly_payment__4', 'monthly_credit_card_payment', 'financial_loan__1', 'financial_loan_payment__1', 'financial_loan__2', 'financial_loan_payment__2', 'financial_loan__3', 'financial_loan_payment__3', 'financial_loan__4', 'financial_loan_payment__4', 'monthly_financial_loans', 'total_monthly_expenses__1', 'total_monthly_expenses__2', 'help_expenses_yes', 'help_expenses', 'help_expenses_name', 'help_expenses_relationship', 'additional_income_assets_yes', 'additional_income_assets__1', 'additional_income_assets__2', 'arrangements_attorney_fees', 'false_answer_yes', 'false_answer', 'affidavit_state_louisiana', 'mover_affidavit_appeared', 'third_party_state', 'third_party_appeared', 'third_party_affidavit_knows', 'legal_program_declaration', 'order_name']",LA
0edade6d8410ecf78bc210c974fbaa01,INSTRUCTION SHEET FOR DIVORCES IN WHICH THE DEFENDANT REFUSES TO SIGN THE ACCEPTANCE OF SERVICE AND WAIVER OF CITATION PAPERS,,2.0,11,2023-03,https://www.lsba.org/documents/ATJPublicResources/SRLRuletoModifyChildSupport2021.pdf,"['No', 'Yes', 'Payor', 'Payee', 'PLAINTIFF', 'DOCKET NO', 'DEFENDANT', 'PARISH OF', 'LASES', 'FILED', 'DEPUTY CLERK', 'NOW INTO COURT comes', 'WHEREFORE mover prays that', 'ADDRESS 1', 'ADDRESS 2', 'Tel No', 'OPPOSING OTHER PARTY', 'ADDRESS 1_2', 'ADDRESS 2_2', 'ADDRESS 3', 'plaintiff', 'defendant', 'Text11', 'Text12', 'Check Box13', 'Check Box14', 'Check Box15', 'Check Box16']",https://courtformsonline.org/forms/0edade6d8410ecf78bc210c974fbaa01.pdf,"['no', 'yes', 'payor', 'payee', 'plaintiff__1', 'docke', 'defendant__1', 'paris_h', 'lases', 'filed', 'deput_clerk', 'w_int_cour_comes', 'wherefor_e_mover_prays', 'addres__1', 'addres__2', 'tel', 'opposin_g_othe_r_party', 'addres__3', 'addres__4', 'addres__5', 'plaintiff__2', 'defendant__2', 'text__1', 'text__2', 'check_box__1', 'check_box__2', 'check_box__3', 'check_box__4']",LA
4d42e40564e86cd985955712c3dc2e29,"For tips on ""service of process,"" click here.",,5.0,11,2023-03,https://www.lsba.org/Public/FindLegalHelp/Forms.aspx/../../../documents/ATJPublicResources/SRLServiceOfProcessInformation.pdf,[],https://courtformsonline.org/forms/4d42e40564e86cd985955712c3dc2e29.pdf,[],LA
a416353e88886c912757e137f7315445,"Microsoft Word - SRL Petition for Custody, Visitation, and-or Child Support - FINAL 2022",,11.0,13,2023-03,https://www.lsba.org/documents/ATJPublicResources/SRLPetitionforCustodyVistChildSupport.pdf,"['Check Box0', 'Check Box1', 'Check Box2', 'Check Box3', '(Check if filing an IFP) Petitioner, due to poverty and want of means, is unable to pay the', 'Radio Button0', 'Radio Button1', 'Radio Button2', 'Radio Button3', 'Radio Button4', 'Radio Button5', 'Radio Button6', 'Radio Button7', 'Radio Button8', 'Radio Button9', 'Radio Button10', 'Radio Button11', 'Text Field0', 'Text Field1', 'Text Field2', 'Text Field3', 'Text Field4', 'Text Field5', 'Text Field6', 'Text Field7', 'Text Field8', 'Text Field9', 'Text Field10', 'Text Field11', 'Text Field12', 'Text Field13', 'Text Field14', 'Text Field15', 'Text Field16', 'Text Field17', 'Text Field18', 'Text Field19', 'Text Field20', 'Text Field21', 'Text Field22', 'Text Field23']",https://courtformsonline.org/forms/a416353e88886c912757e137f7315445.pdf,"['check_box__1', 'check_box__2', 'check_box__3', 'check_box__4', 'check_due_means_unable_pay', 'radio_button__1', 'radio_button__2', 'radio_button__3', 'radio_button__4', 'radio_button__5', 'radio_button__6', 'radio_button__7', 'radio_button__8', 'radio_button__9', 'radio_button__10', 'radio_button__11', 'radio_button__12', 'text_field__1', 'text_field__2', 'text_field__3', 'text_field__4', 'text_field__5', 'text_field__6', 'text_field__7', 'text_field__8', 'text_field__9', 'text_field__10', 'text_field__11', 'text_field__12', 'text_field__13', 'text_field__14', 'text_field__15', 'text_field__16', 'text_field__17', 'text_field__18', 'text_field__19', 'text_field__20', 'text_field__21', 'text_field__22', 'text_field__23', 'text_field__24']",LA
82aa8b5b2524b1acf09d3b810a17f815,INSTRUCTION SHEET FOR DIVORCES IN WHICH THE DEFENDANT REFUSES TO SIGN THE ACCEPTANCE OF SERVICE AND WAIVER OF CITATION PAPERS,,16.0,11,2023-03,https://www.lsba.org/documents/ATJPublicResources/SRL103DivorcePetitionwithoutkidsFillable.pdf,"['PETITIONER', 'DOCKET NO', 'DIV', 'DEFENDANT', 'where you live State of', 'Made defendant is', 'a major currently domiciled in the CountyParish of', 'of countyparish where your spouse lives State of', 'The parties were married on the', 'print date of marriage in', 'print countyparish and state where you and your spouse were', 'married and last lived as spouses in', 'Petitioner and defendant physically separated on the', 'day of_2', 'print date of physical separation and have continued to live separate and apart', 'JDC', 'Your Name', 'County / Parish', 'Petitioner is domiciled in parish of filing', 'Defendant is domiciled in parish of filing', 'Parties last lived together as spouses in parish of filing', 'year', 'Petitioner check if applicable wishes to have hisher name last name confirmed as', 'Defendant check if applicable wishes to have hisher name last name confirmed as', 'check if filling IFP Petitioner due to poverty and want of means is unable to pay the', 'Defendant change last name to', 'Petitioner change last name to', 'Print your name and address 1', 'Print your name and address 2', 'Print your name and address 3', 'Telephone No', 'Fill in name and physical home or work address 1', 'Fill in name and physical home or work address 2', 'Fill in name and physical home or work address 3', 'Fill in name and physical home or work address 4', 'Best daystimes to serve', 'Best day/time to serve', 'PETITIONER_2', 'JUDICIAL DISTRICT COURT', 'DOCKET NO_2', 'DIV_2', 'DEFENDANT_2', 'STATE OF', 'PARISHCOUNTY OF', 'PETITIONER Name', 'PETITIONER_4', 'JUDICIAL DISTRICT COURT_2', 'DOCKET NO_3', 'DIV_3', 'DEFENDANT_3', 'DEFENDANT_4', 'County/Parish', 'Prior Last Name', 'PETITIONER_5', 'JUDICIAL DISTRICT COURT_3', 'DOCKET NO_4', 'DIV_4', 'DEFENDANT_5', 'PETITIONER_6', 'the date you mailed the documents by registeredcertified mail The return receipt from the', 'Parish/County', 'type of commercial delivery service used', 'Date of delivery', 'Address delivered to', 'PETITIONER_7', 'DOCKET NO_5', 'DIV_5', 'DEFENDANT_6', 'STATE OF_2', 'PARISHCOUNTY OF_3', 'PETITIONER_8', 'Parish/County Petitioner  was domiciled in', 'Parish/County Defendant is domiciled in', 'Day married', 'Month married', 'Year married', 'countyparish you last lived as spouses', 'State you last lived as spouses', 'Day parties separated', 'Month parties separate4d', 'Year parties separated', 'PETITIONER_10', 'DOCKET NO_6', 'DIV_6', 'DEFENDANT_7', 'Sworn Affidavit of Waiver by the Defendant', 'Petitioners Affidavit of Correctness reflecting the facts in this case and that there', 'APPENDIX 281B Checklist', 'Petitioner', 'Defendant', 'check if applicable IT IS FURTHER ORDERED ADJUDGED AND', 'Petitioners last name is confirmed as', 'Day of hearing', 'Month of hearing', ""Petitioner's name"", ""Defendant's name"", 'Pre-marriage last name', 'Defendants last name is confirmed as', 'other cost arrangement', 'IT IS FURTHER ORDERED ADJUDGED AND DECREED that pursuant to', 'Print your name and address 1_2', 'Print your name and address 2_2', 'Print your name and address 3_2', 'Telephone No_2', 'Email Address 1', 'Email Address 2', ""Defendant's last name"", 'Was served domiciliarypersonal circle one on', 'Was served by Long Arm Service on', 'Has executed a sworn Acceptance of Service and Waiver of Citation and all Delays which was filed', 'Fill in your name mailing address 1', 'Fill in your name mailing address 2', 'Fill in your name mailing address 3', 'Fill in your name mailing address 4', 'Fill in your name mailing address 5', 'Fill in your spouses name mailing address 1', 'Fill in your spouses name mailing address 2', 'Fill in your spouses name mailing address 3', 'Fill in your spouses name mailing address 4', 'Fill in your spouses name mailing address 5', 'Date of service', 'Date of Long Arm Service', 'Date Affidavit of Service was filed', 'Date Acceptance of Service and Waiver filed', 'DOCKET NUMBER', 'PARISH OF', 'Date Petition Filed', 'Date of Separation', 'Date of Service', 'Name of person served', 'Relationship', 'Date Waiver Executed', 'Date Waiver Filed', 'Month', 'Day', 'Date of Record Examination', ""Attorney's Bar Number"", 'Date of Certification', 'Address', 'Telephone Number', 'Date', 'Location', 'Month 2', 'Year 2']",https://courtformsonline.org/forms/82aa8b5b2524b1acf09d3b810a17f815.pdf,"['*petitioners1_name__1', 'docke', 'div', 'defendant__1', 'live_state', 'made_defendant', 'currently_county_parish', 'spouse_lives_state', 'parties_married', 'print_date_marriage', 'print_state_spouse', 'married_last_lived_spouses', 'petitioner_defendant', 'day__1', 'physical_continued_apart', 'jdc', 'name', 'county_parish__1', 'petitioner_parish_filing', 'defendant_domiciled_filing', 'parties_last_lived_filing', 'year__1', 'applicable_name_last__1', 'applicable_name_last__2', 'check_due_means_unable_pay', 'defendant_change_last_name', 'petitioner_change_last_name', 'print_name_address__1', 'print_name_address__2', 'print_name_address__3', 'telephone__1', 'fill_name_physical_work_address__1', 'fill_name_physical_work_address__2', 'fill_name_physical_work_address__3', 'fill_name_physical_work_address__4', 'best_daystimes_serve', 'best_day_time_serve', 'petitione_r__1', 'judicia_l_distric_court', 'docke_n__1', 'di_v__1', 'defendan__1', 'stat_e', 'parishcount', 'petitione_r_name', 'petitione_r__2', 'judicia_l_distric_cour__1', 'docke_n__2', 'di_v__2', 'defendan__2', 'defendan__3', 'county_parish__2', 'prior_last_name', 'petitione_r__3', 'judicia_l_distric_cour__2', 'docke_n__3', 'di_v__3', 'defendan__4', 'petitione_r__4', 'date_return_receipt', 'parish_county', 'commercial_delivery_service', 'date_delivery', 'address_delivered', 'petitione_r__5', 'docke_n__4', 'di_v__4', 'defendan__5', 'stat_e_f', 'parishcount_f', 'petitione_r__6', 'parish_county_petitioner', 'parish_county_defendant', 'day_married', 'month_married', 'year_married', 'last_lived_spouses', 'state_last_lived_spouses', 'day_parties_separated', 'month_parties_separate', 'year_parties_separated', 'petitione_r__7', 'docke_n__5', 'di_v__5', 'defendan__6', 'sworn_affidavit_defendant', 'petitioners_affidavit_case', 'appendi_x_b_checklist', '*petitioners1_name__2', 'defendant__2', 'check_applicable_r_adjudge', 'last_name_confirmed__1', 'day_hearing', 'month_hearing', 'petitioner_name', 'defendant_name', 'pre_marriage_last_name', 'last_name_confirmed__2', 'cost_arrangement', 'r_adjudge_decree_pursuant', 'print_name_address__4', 'print_name_address__5', 'print_name_address__6', 'telephone__2', 'email_address__1', 'email_address__2', 'defendant_last_name', 'served_circle_one', 'served_long_arm_service', 'acceptance_waiver_delays', 'fill_name_mailing_address__1', 'fill_name_mailing_address__2', 'fill_name_mailing_address__3', 'fill_name_mailing_address__4', 'fill_name_mailing_address__5', 'fill_spouses_name_address__1', 'fill_spouses_name_address__2', 'fill_spouses_name_address__3', 'fill_spouses_name_address__4', 'fill_spouses_name_address__5', 'date_service__1', 'date_long_arm_service', 'date_affidavit_service_filed', 'date_service_waiver', 'docke_number', 'paris_h', 'date_petition_filed', 'date_separation', 'date_service__2', 'name_person_served', 'relationship', 'date_waiver_executed', 'date_waiver_filed', 'month__1', 'day__2', 'date_record_examination', 'attorney_bar_number', 'date_certification', '*users1_address_line_one', 'telephone_number', '*signature_date', 'location', 'month__2', 'year__2']",LA
54679dd0e05b461294efac229b65b840,INSTRUCTION SHEET FOR DIVORCES IN WHICH THE DEFENDANT REFUSES TO SIGN THE ACCEPTANCE OF SERVICE AND WAIVER OF CITATION PAPERS,,1.0,11,2023-03,https://www.lsba.org/documents/ATJPublicResources/SRLAcceptanceofServiceandWaiverDivorce.pdf,"['AFF000', 'petitioner', 'div', 'page_0_field_3', 'defendant', 'page_0_field_5', 'page_0_field_6', 'and_all_legal_delays__and_appearance_at_trial', 'county_parish_of', 'page_0_field_9', 'put_a_line_through_this_sentence_if_you_do_not_need_to_change_your_last_name', 'defendant__affiant__signature', 'print_name', '20', 'page_0_field_14', 'this', 'notary_public', 'page_0_field_17']",https://courtformsonline.org/forms/54679dd0e05b461294efac229b65b840.pdf,"['af_f', '*petitioners1_name', 'div', 'page_field__1', 'defendant', 'page_field__2', 'page_field__3', 'legal_delays_trial', 'county_parish', 'page_field__4', 'put_line_change_last_name', 'defendant_affiant_signature', 'print_name', 'unknown', 'page_field__5', 'this', 'notary_public', 'page_field__6']",LA
31012d78f0329411c78726964fd8e9da,Rule for Contempt,,3.0,10,2023-03,https://www.lsba.org/documents/ATJPublicResources/SRLRuleForContempt2021.pdf,"['undefined', 'NO', 'DIV', 'JUDICIAL DISTRICT COURT', 'PARISH', 'VERSUS', 'NOW INTO COURT comes', 'full age of majority and domiciled in', 'Parish State of', 'and dated', 'undefined_2', 'undefined_3', 'ddmmyyyy which stated 1', 'ddmmyyyy which stated 2', 'information about judgment', 'Furthermore', 'Contempt of Court for the following reasons 1', 'Contempt of Court for the following reasons 2', 'Contempt of Court for the following reasons 3', 'Contempt of Court for the following reasons 4', 'Contempt of Court for the following reasons 5', 'undefined_4', 'Name', 'Address', 'City State Zip', 'Telephone', 'Text1', 'Text2', 'Name_2', 'Address_2', 'undefined_8', 'Phone Number']",https://courtformsonline.org/forms/31012d78f0329411c78726964fd8e9da.pdf,"['undefined__1', 'no', 'div', 'judicia_l_distric_court', 'parish', 'versus', 'w_int_cour_comes', 'full_age_majority_domiciled', 'parish_state', 'dated', 'undefined__2', 'undefined__3', 'ddmmyyyy_stated__1', 'ddmmyyyy_stated__2', 'information_judgment', 'furthermore', 'court_following_reasons__1', 'court_following_reasons__2', 'court_following_reasons__3', 'court_following_reasons__4', 'court_following_reasons__5', 'undefined__4', '*users1_name', '*users1_address_line_one', 'city_state_zip', '*users1_phone_number', 'text__1', 'text__2', 'name', 'address', 'undefined__5', 'phone_number']",LA
