id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
9fe25a41e4adb457620311fec4535552,Affidavit of Military Status,,2.0,13,2023-03,https://ujs.sd.gov/Small_Claims/../uploads/pubs/UJS306%20Affidavit%20of%20Defendants%20Military%20Status.pdf,['Dropdown1'],https://courtformsonline.org/forms/9fe25a41e4adb457620311fec4535552.pdf,['dropdown'],SD
9f78c033a9ced512d08eaf1184d9b48e,"UJS 185 Stipulation, Custody, Parenting Time and Support Agreement",,8.0,14,2023-03,https://ujs.sd.gov/uploads/forms/uncontestedcustody/UJS-185 STIPULATION CUSTODY PARENTING TIME AND SUPPORT AGREEMENT.pdf,"['judicial_circuit', 'county_of', 'plaintiff', 'file_no', 'vs', 'date_of_birth_city__county__and_state_of_birth', 'page_0_field_6', 'name_of_child_on_birth_cert', 'page_0_field_8', 'page_0_field_9', 'page_0_field_10', 'name_does_not_contest_that_he_is_the_natural_father_of', 'page_0_field_12', '2_father', 'page_0_field_14', 'child_ren__and_the_affidavit_complies_with_sdcl_25_8_50', 'tion__that__complies__with__sdcl__25_8_7_1__to__25_8_7_3_inclusive_verifying__that__he__is__the', 'is_listed_as_the_natural_father_on_the_child_ren__s_birth_certificate__and_or', 'above', '20', 'page_0_field_20', 'defendant_s_initials', 'plaintiff_s_initials', 'page_0_field_23', 'having_primary_physical_custody__subject_to_reasonable_parenting_time_with_the_other_parent', 'the_form', 'both_parties_are_fit_and_proper_persons_to_share_the_joint_legal_and_physical_custody_of_the_minor', 'child_ren__with', 'the_parties_agree_that_they_will_consult_each_other_and_jointly_consider_the_major_decisions', 'page_1_field_5', 'page_1_field_6', 'page_1_field_7', 'parenting__time_the__parties__agree__that__the__non_custodial__parent_s__parenting__time__is__as__follows', 'page_2_field_1', 'page_2_field_2', 'the__child_s__use__of__motor__vehicles_and__any__other__responsibilities__which__the__court__finds__unique__to__a', 'page_2_field_4', 'of_all_mutually_agreeable_expenses__i_e__supplies_for_daycare__pre_school', 'the_parties_agree_to_discuss_the_child_s_expenses_prior_to_one', 'page_3_field_2', 'page_3_field_3', 'page_3_field_4', 'support_amount_established__please_provide_the_following_and_skip_the_remainder_of_this_section', 'page_4_field_1', 'page_4_field_2', 'page_4_field_3', 'insert__name__of__person__receiving__child__support_for__the__support__and', 'page_4_field_5', 'insert_name_of_person_paying_child_support__shall_pay_child_support_to', 'page_4_field_7', 'insert__name__of__parent__paying__support_has__the', 'an_annualized_abatement_of', 'page_4_field_10', 'AFF053', 'page_4_field_12', 'page_4_check_0', 'page_4_check_1', 'based_on_the', 'following_facts', 'page_5_field_2', 'page_5_field_3', 'the__child__support__calculation__is__attached__to__this__document__and__was__prepared__by', 'and_father_paying', 'covered_by_insurance_shall_be_split_between_the_parents_with_mother_paying', 'incurred__for__each__child__in__any__calendar__year_this__last__sentence__would__not__be__applicable__in__shared', 'shall__provide', 'child_ren_or', 'page_5_field_10', 'page_5_field_11', 'page_5_field_12', 'page_5_check_0', 'page_6_field_0', 'page_6_field_1', 'page_6_field_2', 'plaintiff_s_signature_date', 'page_7_field_1', 'page_7_field_2', 'page_7_field_3', 'before_me__the_undersigned_officer', 'page_7_field_5', 'day_of', 'page_7_field_7', 'notary_public_clerk_of_courts', 'defendant_s_signature_date', 'page_7_field_10', 'page_7_field_11', 'page_7_field_12', 'page_7_field_13', 'page_7_field_14', 'page_7_field_15', 'page_7_field_16', 'page_7_field_17', 'page_7_field_18', 'page_7_field_19', 'page_7_field_20']",https://courtformsonline.org/forms/9f78c033a9ced512d08eaf1184d9b48e.pdf,"['judicial_circuit', 'county', 'plaintiff', '*docket_number', 'vs', 'date_birth_city_county_state', 'page_field__1', 'name_child_birth_cert', 'page_field__2', 'page_field__3', 'page_field__4', 'name_contest_natural_father', 'page_field__5', 'father', 'page_field__6', 'child_ren_affidavit_complies', 'complies_inclusive_verifying', 'natural_child_birth_certificate', 'above', 'unknown', 'page_field__7', 'defendant_initials', 'plaintiff_initials', 'page_field__8', 'subject_reasonable_time', 'form', 'parties_proper_legal_minor', 'child_ren__1', 'agree_consider_decisions', 'page_field__9', 'page_field__10', 'page_field__11', 'parties_agree_parent', 'page_field__12', 'page_field__13', 'use_motor_unique', 'page_field__14', 'expenses_supplies_pre', 'parties_discuss_child_one', 'page_field__15', 'page_field__16', 'page_field__17', 'support_amount_remainder', 'page_field__18', 'page_field__19', 'page_field__20', 'name_person_receiving_support', 'page_field__21', 'person_paying_support_pay', 'page_field__22', 'name_parent_paying_support', 'annualized_abatement', 'page_field__23', 'af_f', 'page_field__24', 'page_check__1', 'page_check__2', 'based', 'following_facts', 'page_field__25', 'page_field__26', 'support_document_prepared', 'father_paying', 'insurance_split_paying', 'last_would_applicable', 'shall_provide', 'child_ren__2', 'page_field__27', 'page_field__28', 'page_field__29', 'page_check__3', 'page_field__30', 'page_field__31', 'page_field__32', 'plaintiff_signature_date', 'page_field__33', 'page_field__34', 'page_field__35', 'undersigned_officer', 'page_field__36', 'day', 'page_field__37', 'notary_public_clerk_courts', 'defendant_signature_date', 'page_field__38', 'page_field__39', 'page_field__40', 'page_field__41', 'page_field__42', 'page_field__43', 'page_field__44', 'page_field__45', 'page_field__46', 'page_field__47', 'page_field__48']",SD
9d0529cc4aeb8d22be758bcf999f0919,UJS-091A - Petition Form,,5.0,12,2023-03,https://ujs.sd.gov/uploads/forms/protection/UJS-091A-Domestic Petition.pdf,"['tpo_no', 'AFF001', 'petitioner', 'petition_and_affidavit_for_a', 'respondent_check_here_if_under_18', 'i', 'protection_order_or_a_protected_party__a_minor_child_in_my_custody_also_victimized_by_respondent__is_a', 'any_protected_parties_not_residing_with_petitioner_or_respondent__reside_in', 'county', 'page_0_field_9', 'state_and', 'state', 'the_person_i_am_asking_the_court_to_restrain_from_committing_acts_of_domestic_abuse__the_respondent__is', 'o_clock', 'at_approximately', 'year', 'day', 'page_0_field_17', 'check_here_if_under_18', 'vs', 'petitioner_and_respondent__please_attach_a_copy_of_the_custody_order_to_this_petition_or_provide_the', 'check_all_that_apply', 'has_a_child_or_is_expecting_a_child_with_petitioner_or_protected_parties', 'in_a_significant_romantic_relationship_or_has_recently_been_in_one_during_the_past_twelve_months', 'a_sibling', 'a_parent_or_child', 'page_0_check_8', 'respondent_caused_physical_harm_or_bodily_injury', 'respondent_attempted_to_cause_physical_harm_or_bodily_injury', 'about_to_cause_physical_harm_or_bodily_injury_to_said_petitioner_or_protected_party', 'means_of_any_verbal__electronic__digital_media__mechanical__telegraphic__or_written_communication', 'provide_a_detailed_description_of_what_happened_on_the_above_date', 'has_respondent_been_found_guilty_of_violating_previous', 'and_the', 'page_1_field_4', 'page_1_field_5', 'provide_a_detailed_description_of_other_similar_incidents_or_actions_that_respondent_has_committed_and', 'reasons_you_believe_it_will_continue', 'respondent_pursued_a_knowing_and_willful_course_of_conduct_which_seriously_alarmed__annoyed__or', 'respondent_willfully__maliciously__and_repeatedly_followed_petitioner_and_or_any_protected_parties', 'was_a_series_of_acts_over_a_period_of_time__however_short__showing_a_continuing_pattern_of_harassment', 'reasonable_fear_of_death_or_great_bodily_injury', 'page_1_check_4', 'yes', 'page_1_check_6', 'no', 'page_1_check_8', 'page_1_check_9', 'page_1_check_10', 'page_1_check_11', 'page_1_check_12', 'page_1_check_13', 'page_1_check_14', 'page_1_check_15', 'page_1_check_16', 'page_1_check_17', 'page_1_check_18', 'page_1_check_19', 'page_1_check_20', 'page_1_check_21', 'page_1_check_22', 'page_1_check_23', 'page_1_check_24', 'page_1_check_25', 'page_1_check_26', 'page_1_check_27', 'page_1_check_28', 'continued_from_page_2', 'based_upon_this_petition_and_affidavit_in_which_i_truthfully_set_forth_the_details_of_the_domestic_abuse__i', '3_to_exclude_respondent_from_petitioner_s_residence_listed_in_4c', 'page_2_field_3', 'b_the_following_minor_children_named_as_other_protected_parties', 'more_names_attached', 'date_of_birth', 'are_any_of_the_children_related_to_the_respondent__if_so__how', 'page_2_field_8', 'page_2_field_9', 'page_2_field_10', 'relationship', 'page_2_field_12', 'page_2_field_13', 'page_2_field_14', 'zip', 'page_2_field_16', 'city', 'page_2_field_18', 'page_2_field_19', 'page_2_field_20', 'page_2_field_21', 'page_2_field_22', 'page_2_field_23', 'page_2_field_24', 'page_2_field_25', 'page_2_field_26', 'street_apt', 'page_2_field_28', 'page_2_field_29', 'page_2_field_30', 'page_2_field_31', 'page_2_field_32', 'page_2_field_33', 'page_2_field_34', 'page_2_field_35', 'consisting_of', 'other', 'existing_order_in_file', 'page_2_field_39', 'page_2_field_40', 'other_visitation', 'petitioner_and_any_protected_parties_a_protection_order', 'page_2_check_1', '2_to_grant_the_protection_order_for_a_period_of', 'page_2_check_3', 'persons_and_places', 'a_the_petitioner_personally', 'page_2_check_6', 'c__petitioner_s_residence__street_apt', 'd__petitioner_s_place_of_employment__street', 'e__other_places__street_apt', '5_to_award_me_temporary_custody_of_our_minor_child_ren_whose_names_are', '6_to_establish_temporary_visitation_for_respondent_with_the_minor_child_ren__named_above', 'page_2_check_12', 'page_2_check_13', 'page_2_check_14', '3', 'supervised_at', 'page_2_check_17', 'jurisdiction_south_dakota_south_dakota_tribe_other_state', 'and__continuing_until_further_order_of_the_court', 'child_support_in_the_amount_of', '57501', 'spousal_support_in_the_amount_of', 'spousal_support_shall_be_paid_to_the_clerk_of_courts_office_in_the_county_this_order_was_filed', '10__that_respondent_be_restrained_from_contact_with_the_petitioner_and_any_protected_parties__by', '11__to_order_other_relief_which_i_believe_is_necessary_for_petitioner_s_protection_and_any_protected', 'parties__protection__as_follows', 'until_the_hearing', 'the_reasons_petitioner_and_any_protected_parties_need_this_order_immediately_and_cannot_wait_until_the', 'scheduled_hearing_are', '7_to_order_that_respondent_shall_pay_temporary__if_you_are_requesting_support__you_must', 'provide_proof_of_the_monthly_income_of_both_parties_at_the_hearing', 'page_3_check_2', '8_to_order_respondent_receive_parenting_classes_approved_or_provided_by_the_department', '9_to_order_respondent_to_obtain_counseling_as_follows', 'i_am_not_requesting_an_immediate_temporary_protection_order', 'petitioner_and_any_protected_parties_an_immediate_temporary_protection_order_restraining', 'injury__loss_or_damage_that_i_believe_will_be_suffered_is', 'i_swear_or_affirm_under_oath_that_the_information_i_have', 'day_of', 'page_4_field_3', 'your_signature_as', 'page_4_field_5', 'notary_public_deputy_clerk_of_courts', 'loss__or_damage_if_not_granted_an_immediate_temporary_protection_order_without_notifying_respondent', 'page_4_check_1', 'filer_only']",https://courtformsonline.org/forms/9d0529cc4aeb8d22be758bcf999f0919.pdf,"['tpo', 'af_f', '*petitioners1_name', 'petition_affidavit', 'respondent_check', 'i', 'protected_minor_child', 'protected_petitioner_respondent', 'county', 'page_field__1', 'state', '*users1_address_state', 'asking_committing_abuse', 'clock', 'approximately', 'year', 'day__1', 'page_field__2', 'check', 'vs', 'petitioner_respondent_custody', 'check_apply', 'child_petitioner_protected', 'significant_one_past', 'sibling', 'parent_child', 'page_check__1', 'harm_bodily_injury__1', 'harm_bodily_injury__2', 'harm_bodily_protected', 'means_verbal_electronic', 'provide_detailed_description', 'respondent_guilty_violating', 'and_the', 'page_field__3', 'page_field__4', 'description_actions_respondent', 'reasons_believe_continue', 'pursued_seriously_alarmed', 'respondent_petitioner', 'time_however_short', 'reasonable_great_bodily_injury', 'page_check__2', 'yes', 'page_check__3', 'no', 'page_check__4', 'page_check__5', 'page_check__6', 'page_check__7', 'page_check__8', 'page_check__9', 'page_check__10', 'page_check__11', 'page_check__12', 'page_check__13', 'page_check__14', 'page_check__15', 'page_check__16', 'page_check__17', 'page_check__18', 'page_check__19', 'page_check__20', 'page_check__21', 'page_check__22', 'page_check__23', 'page_check__24', 'continued_page', 'affidavit_domestic_abuse', 'exclude_respondent_petitioner_residence_listed_c', 'page_field__5', 'minor_children_protected', 'names_attached', '*users1_birthdate', 'children_related_respondent', 'page_field__6', 'page_field__7', 'page_field__8', 'relationship', 'page_field__9', 'page_field__10', 'page_field__11', '*users1_address_zip', 'page_field__12', '*users1_address_city', 'page_field__13', 'page_field__14', 'page_field__15', 'page_field__16', 'page_field__17', 'page_field__18', 'page_field__19', 'page_field__20', 'page_field__21', 'street_apt', 'page_field__22', 'page_field__23', 'page_field__24', 'page_field__25', 'page_field__26', 'page_field__27', 'page_field__28', 'page_field__29', 'consisting', 'other', 'existing_order_file', 'page_field__30', 'page_field__31', 'visitation', 'petitioner_protected_parties', 'page_check__25', 'grant_order_period', 'page_check__26', 'persons_places', 'petitioner_personally', 'page_check__27', 'c_petitioner_residence_street_apt', 'petitioner_place_employment', 'e_places_street_apt', 'custody_minor_child_whose', 'respondent_minor_child', 'page_check__28', 'page_check__29', 'page_check__30', 'unknown__1', 'supervised', 'page_check__31', 'south_dakota_state', 'continuing_order_court', 'child_support_amount', 'unknown__2', 'spousal_support_amount', 'spousal_shall_paid_filed', 'respondent_petitioner_protected', 'believe_necessary_protected', 'parties_protection_follows', 'hearing', 'need_immediately_cannot', 'scheduled_hearing', 'pay_requesting_must', 'income_parties_hearing', 'page_check__32', 'order_receive_provided', 'obtain_counseling_follows', 'requesting_immediate_temporary', 'protected_parties_immediate', 'injury_loss_damage_suffered', 'swear_affirm_oath', 'day__2', 'page_field__32', 'signature', 'page_field__33', 'public_deputy_clerk_courts', 'loss_damage_without', 'page_check__33', 'filer']",SD
9b2587e0d8233fafdc586e4fe567d233,UJS-121D-Motion to Modify Form,,1.0,16,2023-03,https://ujs.sd.gov/uploads/forms/protection/UJS-121D-Stalking Motion to Modify Temporary.pdf,"['in_circuit_court', 'state_of_south_dakota', 'AFF002', 'motion_to_modify_temporary', 'vs', 'i_am_requesting_that_the_court_change_certain_terms_in_the_temporary_order_of_protection_describe_what', 'you_would_like_changed_in_the_temporary_order_of_protection', 'describe_why_you_want_the_temporary_order_of_protection_changed', 'page_0_field_8', 'i_swear_or_affirm_under_oath_that_the_information_i', 'day_of', 'page_0_field_11', 'petitioner_respondent', 'page_0_field_13', 'page_0_field_14', 'page_0_field_15', 'notary_public_deputy_clerk_of_courts', 'i_am_the_petitioner_who_originally_petitioned_the_court_for_a_temporary_protection_order', 'i_am_the_respondent_and_the_one_against_whom_the_temporary_protection_order_was_granted']",https://courtformsonline.org/forms/9b2587e0d8233fafdc586e4fe567d233.pdf,"['circuit_court', 'state_south_dakota', 'af_f', 'motion_modify_temporary', 'vs', 'change_certain_terms', 'would_like_changed', 'want_temporary_changed', 'page_field__1', 'swear_affirm_oath', 'day', 'page_field__2', 'petitioner_respondent', 'page_field__3', 'page_field__4', 'page_field__5', 'public_deputy_clerk_courts', 'petitioner_petitioned_court', 'one_order_granted']",SD
9aae2664568fabbc05a49c2083ddcc63,Microsoft Word - UJS317B ADMISSION OF SERVICE OF SUMMONS BY HAND DELIVER WITH CHILDREN.doc,,1.0,7,2023-03,https://ujs.sd.gov/uploads/forms/divorce/UJS317B%20Admission%20of%20Service%20of%20Summons%20et%20al.pdf,"['judicial_circuit', 'county_of', 'file_no', 'plaintiff', 'defendant', 'i', 'city', 'page_0_field_7', '20', 'page_0_field_9', 'day_of', 'defendant_s_signature', 'page_0_field_12', 'page_0_field_13', 'page_0_field_14', 'date_and_sign_in_front_of_notary_public_clerk', 'notary_public_clerk_of_court', 'address', 'AFF018', 'seal', 'page_0_field_20', 'page_0_field_21']",https://courtformsonline.org/forms/9aae2664568fabbc05a49c2083ddcc63.pdf,"['judicial_circuit', 'county', '*docket_number', 'plaintiff', 'defendant', 'i', '*users1_address_city', 'page_field__1', 'unknown', 'page_field__2', 'day', 'defendant_signature', 'page_field__3', 'page_field__4', 'page_field__5', 'date_sign_front_public_clerk', 'notary_public_clerk_court', '*users1_address_line_one', 'af_f', 'seal', 'page_field__6', 'page_field__7']",SD
9a6fbc85389e45cf450393b5eb5a0c92,Instructions for Notice and Admission of Service of,,1.0,7,2023-03,https://ujs.sd.gov/uploads/forms/namechange/UJS-032B__Notice_Admission_Service.pdf,"['judicial_circuit', 'AFF001', 'county_of', 'in_the_matter_of_the_petition_regarding_civ', 'birth_certificate_name_a_minor_child', 'proposed_name', 'i', 'city', 'page_0_field_8', 'county', '20', 'page_0_field_11', 'day_of', 'signature_of_non_petitioning_parent', 'sign_only_in_front_of_a_notary_or_clerk_of_court', 'sworn_affirmed_before_me_this', 'page_0_field_16', 'address', 'notary_public_clerk_of_court', 'page_0_field_19', 'page_0_field_20', 'page_0_field_21', 'page_0_field_22']",https://courtformsonline.org/forms/9a6fbc85389e45cf450393b5eb5a0c92.pdf,"['judicial_circuit', 'af_f', 'county__1', 'matter_petition_regarding', 'birth_name_minor_child', 'proposed_name', 'i', '*users1_address_city', 'page_field__1', 'county__2', 'unknown', 'page_field__2', 'day', 'non_petitioning_parent', 'sign_front_notary_clerk_court', 'sworn_affirmed', 'page_field__3', '*users1_address_line_one', 'notary_public_clerk_court', 'page_field__4', 'page_field__5', 'page_field__6', 'page_field__7']",SD
9a6324b6fd7893d749f0b986f7253507,UJS105 AGREE TO DISMISS OR FAILURE TO APPEAR,,1.0,6,2023-03,https://ujs.sd.gov/uploads/forms/evictions/UJS105_AGREE_TO_DISMISS_OR_FAILURE_TO_APPEAR.pdf,"['judicial_circuit', 'county_of', 'plaintiff', 'file_no', 'defendant', '3__without_prejudice__based_on_plaintiff_s_failure_to_appear_at_the_hearing_on_this_matter', '4__with_prejudice__based_on', '20', 'page_0_field_8', 'day_of', 'circuit_court_judge', 'page_0_field_11', 'page_0_field_12', 'by', '2__without_prejudice__based_upon_the_request_of_the_defendant', 'page_0_check_1', 'page_0_check_2']",https://courtformsonline.org/forms/9a6324b6fd7893d749f0b986f7253507.pdf,"['judicial_circuit', 'county', 'plaintiff', '*docket_number', 'defendant', 'without_failure_matter', 'prejudice_based', 'unknown', 'page_field__1', 'day', 'circuit_court_judge', 'page_field__2', 'page_field__3', 'by', 'without_based_defendant', 'page_check__1', 'page_check__2']",SD
9a2918490159794484bbd9552661bd6b,STATE OF SOUTH DAKOTA,,3.0,13,2023-03,https://ujs.sd.gov/uploads/forms/parenting/UJS-366 Petition for Order Implementing Parenting Time Guidelines.pdf,"['no', 'state_of_south_dakota', 'judicial_circuit', 'plaintiff', 'defendant', 'comes_now', 'dob', '1', 'page_0_field_8', '2', 'page_0_field_10', '3', 'state', 'zip', 'page_0_field_14', 'current_address_of_minor_child_ren', 'city', 'the_addresses_of_minor_child_ren__for_the_past_five_years_attach_additional_pages_if', 'names_and_addresses_of_all_persons_with_whom_the_child_ren__has_lived_during_the_past', 'page_1_field_1', 'five_years', 'i_have_have_not__circle_one__participated_in_any_capacity_in_any_other_legal_proceeding_that', 'page_1_field_4', 'if_so__please_explain', 'page_1_field_6', 'names_and_addresses_of_any_person_not_a_party_to_this_proceeding_who_has_the_physical', 'page_1_field_8', 'with_the_child', 'page_1_field_10', 'i_will_serve_a_copy_of_this_petition__the_south_dakota_parenting_time_guidelines_and_the', 'order_to_implement_the_south_dakota_parenting_time_guidelines_i_further_request_whatever', 'page_2_field_1', 'page_2_field_2', 'page_2_field_3', 'page_2_field_4', 'page_2_field_5', 'page_2_field_6', 'page_2_field_7', '20', 'page_2_field_9', 'day_of', 'signature__person_filing_petition', 'AFF042', 'i_swear_under_oath_that_the', 'page_2_field_14', 'page_2_field_15', 'page_2_field_16', 'page_2_field_17', 'page_2_field_18', 'page_2_field_19', 'notary_public']",https://courtformsonline.org/forms/9a2918490159794484bbd9552661bd6b.pdf,"['no', 'state_south_dakota', 'judicial_circuit', 'plaintiff', 'defendant', 'comes', '*users1_birthdate', 'unknown__1', 'page_field__1', 'unknown__2', 'page_field__2', 'unknown__3', '*users1_address_state', '*users1_address_zip', 'page_field__3', 'current_address_minor_child', '*users1_address_city', 'addresses_minor_past_additional', 'addresses_persons_child_past', 'page_field__4', 'five_years', 'one_participated_legal', 'page_field__5', 'please_explain', 'page_field__6', 'addresses_person_party', 'page_field__7', 'child', 'page_field__8', 'south_time_guidelines', 'south_time_request', 'page_field__9', 'page_field__10', 'page_field__11', 'page_field__12', 'page_field__13', 'page_field__14', 'page_field__15', 'unknown__4', 'page_field__16', 'day', 'person_filing_petition', 'af_f', 'swear_oath', 'page_field__17', 'page_field__18', 'page_field__19', 'page_field__20', 'page_field__21', 'page_field__22', 'notary_public']",SD
8f404483527ac35c99a4553b3ebb611e,South Dakota Supreme Court March Term of Court to be Held at South Dakota State University,,1.0,10,2023-03,https://ujs.sd.gov/uploads/news/March2023TermofCourt.pdf,[],https://courtformsonline.org/forms/8f404483527ac35c99a4553b3ebb611e.pdf,[],SD
8e5f806447558ad4a866de7f92f2c268,Access to Justice Intake Application,,2.0,9,2023-03,https://ujs.sd.gov/uploads/pubs/A2J APPLICATION-INTAKE Application.2016.pdf,['no'],https://courtformsonline.org/forms/8e5f806447558ad4a866de7f92f2c268.pdf,['no'],SD
