id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
9dbc56b83c515b67314a4a1a417aab53,(Untitled),,1.0,8,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/2017_CV_disp_1.pdf,"['Plaintiff', 'Defendant', 'Case ID', 'Interpreter for whom', 'Other language', 'Who?', 'Disposition Date', 'MD', 'Consolidated case ID', 'Judgment amount', 'Judgment for 1', 'Judgment for 2', 'Judgment for 3', 'Amount 1', 'Amount 2', 'Amount 3', 'Judgment against 1', 'Judgment against 2', 'Amount  against 1', 'Amount  against 2', 'Amount  against 3', 'Judgment against 3', 'Language', 'Joint & Severa;']",https://courtformsonline.org/forms/9dbc56b83c515b67314a4a1a417aab53.pdf,"['plaintiff', 'defendant', 'case_id', 'interpreter', 'language__1', 'who?', 'disposition_date', 'md', 'consolidated_case_id', 'judgment_amount', 'judgment__1', 'judgment__2', 'judgment__3', 'amount__1', 'amount__2', 'amount__3', 'judgment__4', 'judgment__5', 'amount__4', 'amount__5', 'amount__6', 'judgment__6', 'language__2', 'joint_severa']",AR
9d79d21c9ac5fff6b058e5bdba4dbbf9,(Untitled),,1.0,11,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/2017_JV_FINS_disp_instructions.pdf,[],https://courtformsonline.org/forms/9d79d21c9ac5fff6b058e5bdba4dbbf9.pdf,[],AR
9c39c9382125b366f49ece8de9ad5224,(Untitled),,1.0,9,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/2017_DR_cover_0.pdf,"['County', 'District', 'Filing Date', 'Judge', 'Division', 'Case ID', 'Marriage date', 'Last Name', 'Last Name_2', 'Suffix', 'Suffix_2', 'First Name', 'First Name_2', 'DLState ID', 'DLState ID_2', 'Address', 'Address_2', 'City State ZIP', 'City State ZIP_2', 'Phone', 'Phone_2', 'Email', 'Email_2', 'Attorney of Record', 'Bar', 'Email Address', 'Related Cases Judge', 'Case IDs', 'Case Type', 'DOB', 'DOB_2', 'MF', 'Plaintiff language', 'Defendant language', 'Plaintiff other language', 'Defendant other language']",https://courtformsonline.org/forms/9c39c9382125b366f49ece8de9ad5224.pdf,"['county', 'district', 'filing_date', 'judge', 'division', 'case_id', 'marriage_date', 'last_name__1', 'last_name__2', 'suffix__1', 'suffix__2', 'first_name__1', 'first_name__2', 'dl_state_id', 'dl_state', '*users1_address_line_one', 'address', 'city_state_zip', 'city_state_zi_p', '*users1_phone_number', 'phone', 'email__1', 'email__2', 'attorney_record', 'bar', 'email_address', 'related_cases_judge', 'case_ds', 'case_type', '*users1_birthdate', 'b', 'mf', 'plaintiff_language__1', 'defendant_language__1', 'plaintiff_language__2', 'defendant_language__2']",AR
8ef63147f475d995d5d2778958d0df13,(Untitled),,1.0,9,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/2017_PR_disp_1.pdf,"['Case ID', 'In the matter of', 'For whom', 'If so who', 'Disposition Date', 'If consolidated case ID', 'Guardian name', 'Person ordered to pay child support', 'Other language', 'MD', 'Language 1', 'person protected']",https://courtformsonline.org/forms/8ef63147f475d995d5d2778958d0df13.pdf,"['case_id', 'matter', 'for_whom', 'if_so_who', 'disposition_date', 'consolidated_case_id', 'guardian_name', 'person_ordered_pay_support', 'language__1', 'md', 'language__2', 'person_protected']",AR
8dd4233c55a247785f816f3c8bc712bd,(Untitled),,1.0,8,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/2017_JV_DN_FINS__additional_juv_parent_0.pdf,"['Last Name', 'Last Name_2', 'Suffix', 'Suffix_2', 'First Name', 'First Name_2', 'Middle name', 'Middle name_2', 'DLState ID Contexte ID', 'DLState ID Contexte ID_2', 'SSN', 'SSN_2', 'Date of Birth', 'Date of birth', 'other language', 'Last Name_3', 'Last Name_4', 'Suffix_3', 'Suffix_4', 'First Name_3', 'First Name_4', 'Middle Name', 'Middle Name_2', 'DLState ID Contexte ID_3', 'DLState ID Contexte ID_4', 'Address', 'Address_2', 'City State ZIP', 'City State ZIP_2', 'Phone', 'Phone_2', 'Email', 'Email_2', 'Date of Birth_2', 'Date of birth_2', 'SSN_3', 'SSN_4', 'other language_2', 'Page', 'Race Juv. 3', 'Race Juv. 4', 'Removal date', 'School status Juv. 3', 'School status Juv. 4', 'Language Juv. 3', 'Language Juv. 4', 'other language 1', 'Removal date 2', 'Language  P/G 2', 'Other language P/G', 'Language  P/G 3', 'Children', 'Children 2']",https://courtformsonline.org/forms/8dd4233c55a247785f816f3c8bc712bd.pdf,"['last_name__1', 'last_name__2', 'suffix__1', 'suffix__2', 'first_name__1', 'first_name__2', 'middle_name__1', 'middle_name__2', 'dl_state_contexte_id', 'dl_state_contexte__1', 'ssn', 'ss_n__1', 'date_birth__1', '*users1_birthdate', 'language__1', 'last_name__3', 'last_name__4', 'suffix__3', 'suffix__4', 'first_name__3', 'first_name__4', 'middle_name__3', 'middle_name__4', 'dl_state_contexte__2', 'dl_state_contexte__3', '*users1_address_line_one', 'address', 'city_state_zip', 'city_state_zi_p', '*users1_phone_number', 'phone', 'email__1', 'email__2', 'date_birth__2', 'date_birth__3', 'ss_n__2', 'ss_n__3', 'language__2', 'page', 'race_juv__1', 'race_juv__2', 'removal_date__1', 'school_status_juv__1', 'school_status_juv__2', 'language_juv__1', 'language_juv__2', 'language__3', 'removal_date__2', 'language_p_g__1', 'language_p_g__2', 'language_p_g__3', 'children__1', 'children__2']",AR
8dcfdc49c221f2bf02071f55102abbcb,(Untitled),,1.0,13,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/2017_CV_cover_instructions.pdf,[],https://courtformsonline.org/forms/8dcfdc49c221f2bf02071f55102abbcb.pdf,[],AR
8b120d19181f64f1ec4bf9104ab495bc,(Untitled),,1.0,10,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/NewESDPetition_0.pdf,"['ber', 'page_0_field_1', '12__petitioner__appeals__the_decision_of_the_arkansas__board__of_review__for__the_following__reason_s_if_you_need_additional__space', 'attorney__name', '3__driver_s__license__number_id']",https://courtformsonline.org/forms/8b120d19181f64f1ec4bf9104ab495bc.pdf,"['ber', 'page_field', 'appeals_review_following', 'attorney_name', 'driver_license_number_id']",AR
8a444882e0c872bc20531e4092f425c0,(Untitled),,1.0,12,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/2017_CR_cover_instructions.pdf,[],https://courtformsonline.org/forms/8a444882e0c872bc20531e4092f425c0.pdf,[],AR
7d0f9a488f6229696db1061d4a512c1d,Court Reporters - Request for Payment of Indigent Appellate Transcript 2015-1.xls,,1.0,6,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/Request%2520for%2520Payment%2520of%2520Indigent%2520Appellate%2520Transcript%25202015-1.pdf,"['NAME OF COURT REPORTER', 'EMAIL', 'ADDRESS', 'PHONE', 'CASE NUMBER AND NAMERow1', 'NUMBER OF PAGESTRANSCRIPT', 'AMOUNT CLAIMED410', 'CASE NUMBER AND NAMERow2', 'NUMBER OF PAGESEXHIBITS', 'AMOUNT CLAIMED150', 'CASE NUMBER AND NAMERow3', 'NUMBER OF PAGESCOPIES', 'AMOUNT CLAIMED050', 'CASE NUMBER AND NAMERow4', 'COPIESRow1', 'NUMBER OF PAGESRow4', '050Row1', 'AMOUNT CLAIMEDRow4', 'CASE NUMBER AND NAMERow5', 'COPIESRow2', 'NUMBER OF PAGESRow5', '050Row2', 'AMOUNT CLAIMEDRow5', 'AMOUNT CLAIMEDAMOUNT  CLAIMED', 'DATERow1', 'Signature1']",https://courtformsonline.org/forms/7d0f9a488f6229696db1061d4a512c1d.pdf,"['nam_e_f_cour_reporter', 'email', '*users1_address_line_one', '*users1_phone_number', 'cas_e_numbe_r_name_row__1', 'numbe_r_f_pagestranscript', 'amoun_claime__1', 'cas_e_numbe_r_name_row__2', 'numbe_r_f_pagesexhibits', 'amoun_claime__2', 'cas_e_numbe_r_name_row__3', 'numbe_r_f_pagescopies', 'amoun_claime__3', 'cas_e_numbe_r_name_row__4', 'copies_row__1', 'numbe_r_f_pages_row__1', 'row__1', 'amoun_claimed_row__1', 'cas_e_numbe_r_name_row__5', 'copies_row__2', 'numbe_r_f_pages_row__2', 'row__2', 'amoun_claimed_row__2', 'amoun_claimedamoun_claimed', 'date_row', '*users1_signature']",AR
7c29f03242a61e20b9fe71199bed6237,(Untitled),,3.0,14,2023-03,https://www.arcourts.gov/sites/default/files/formatted-files/Petition_for_Appointment_of_Guardian_of_the_Person_and_Estate.pdf,"['residence_address', 'page_0_field_1', 'page_0_field_2', 'date_of_birth', 'page_0_field_4', 'name', 'the_nature_of_the_incapacity_and_purpose_of_the', 'is_related', 'none', 'to_or_interested_in_the_incapacitated_person_by_reason_of', 'person', 'guardian_of_the_person_and_estate_of_the_incapacitated', 'page_1_field_0', 'page_1_field_1', 'page_1_field_2', 'relationship', 'page_1_field_4', 'page_1_field_5', 'page_1_field_6', 'page_1_field_7', 'the_nature_of_the_proposed_ward_s_alleged_disability_is', 'set_forth_a_statement_of_the_alleged_disability_as', 'page_1_field_10', 'page_1_field_11', 'page_1_field_12', 'page_1_field_13', 'page_1_field_14', 'page_1_field_15', 'page_1_field_16', 'page_1_field_17', 'page_1_field_18', 'page_1_field_19', 'page_1_field_20', 'proposed_ward_s_disability_are', 'page_1_field_22', 'page_1_field_23', 'page_1_field_24', 'page_1_field_25', 'page_1_field_26', 'page_1_field_27', 'page_1_field_28', 'page_1_field_29', 'date', 'page_1_field_31', 'page_1_field_32', 'signature__petitioner', 'page_2_field_1', 'page_2_field_2', 'page_2_field_3', 'page_2_field_4', 'page_2_field_5', 'page_2_field_6', 'print_name', 'page_2_field_8', 'page_2_field_9', 'page_2_field_10', 'page_2_field_11', 'page_2_field_12', 'page_2_field_13', 'page_2_field_14', 'page_2_field_15', 'page_2_field_16', 'address', 'page_2_field_18', 'page_2_field_19', 'page_2_field_20', 'telephone_number', 'page_2_field_22', 'page_2_field_23', 'page_2_field_24', 'page_2_field_25', 'page_2_field_26', 'page_2_field_27', 'email_address', 'page_2_field_29']",https://courtformsonline.org/forms/7c29f03242a61e20b9fe71199bed6237.pdf,"['residence_address', 'page_field__1', 'page_field__2', '*users1_birthdate', 'page_field__3', '*users1_name', 'nature_incapacity_purpose', 'related', 'none', 'interested_person_reason', 'person', 'guardian_person_incapacitated', 'page_field__4', 'page_field__5', 'page_field__6', 'relationship', 'page_field__7', 'page_field__8', 'page_field__9', 'page_field__10', 'proposed_alleged_disability', 'set_statement_alleged', 'page_field__11', 'page_field__12', 'page_field__13', 'page_field__14', 'page_field__15', 'page_field__16', 'page_field__17', 'page_field__18', 'page_field__19', 'page_field__20', 'page_field__21', 'proposed_ward_disability', 'page_field__22', 'page_field__23', 'page_field__24', 'page_field__25', 'page_field__26', 'page_field__27', 'page_field__28', 'page_field__29', '*signature_date', 'page_field__30', 'page_field__31', 'signature_petitioner', 'page_field__32', 'page_field__33', 'page_field__34', 'page_field__35', 'page_field__36', 'page_field__37', 'print_name', 'page_field__38', 'page_field__39', 'page_field__40', 'page_field__41', 'page_field__42', 'page_field__43', 'page_field__44', 'page_field__45', 'page_field__46', '*users1_address_line_one', 'page_field__47', 'page_field__48', 'page_field__49', 'telephone_number', 'page_field__50', 'page_field__51', 'page_field__52', 'page_field__53', 'page_field__54', 'page_field__55', '*users1_email', 'page_field__56']",AR
