id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
9dea1ff6e3277df0243f4ea03be5b4c7,CHECKLIST FOR SMALL CLAIMS COURT MEDIATORS,,2.0,8,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_SC_4-3.pdf,[],https://courtformsonline.org/forms/9dea1ff6e3277df0243f4ea03be5b4c7.pdf,[],ID
9d0dd76d7529b87756466a1461767f80,Divorce Complaint [file: complaint,,1.0,8,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_GCM_4-1.pdf,"['full_name_of_party_filing_this_document', 'mailing_address__street_or_post_office_box', 'city__state__and_zip_code', 'telephone_number', 'email_address__if_any', 'of_the_state_of_idaho__in_and_for_the_county_of', 'judicial_district', 'acceptance_of_appointment_by', 'in_the_matter_of', 'dob', 'signature', 'date', 'typed_printed_name']",https://courtformsonline.org/forms/9d0dd76d7529b87756466a1461767f80.pdf,"['name_party_filing_document', 'mailing_address_street_post', 'city_state_zip_code', 'telephone_number', 'email_address', 'state_idaho_county', 'judicial_district', 'acceptance_appointment', 'matter', '*users1_birthdate', '*users1_signature', '*signature_date', 'typed_printed_name']",ID
8cc27570427699691e14a4aecec70433,Motion for Service by Publication [file: service,,1.0,13,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_GCS_4-20.pdf,"['full_name_of_party_filing_document', 'mailing_address__street_or_post_office_box', 'city__state_and_zip_code', 'telephone', 'email_address__if_any', 'for_the_state_of_idaho__in_and_for_the_county_of', 'judicial_district', 'father', 'case_no', 'plaintiff_or_co_petitioner', 'defendant_or_co_petitioner', 'signature_of_attorney_for_department_of_h_w', 'date', 'signature_of_parent', 'page_0_field_14', 'page_0_field_15', 'page_0_field_16', 'page_0_check_0']",https://courtformsonline.org/forms/8cc27570427699691e14a4aecec70433.pdf,"['name_party_filing_document', 'mailing_address_street_post', 'city_state_zip_code', '*users1_phone_number', 'email_address', 'state_idaho_county', 'judicial_district', 'father', '*docket_number', 'plaintiff_co_petitioner', 'defendant_co_petitioner', 'attorney_department_h_w', '*signature_date', 'signature_parent', 'page_field__1', 'page_field__2', 'page_field__3', 'page_check']",ID
8bc1caaba1e5ca9a49b5ad8be2ffbbad,Affidavit for Writ of Execution (Small Claims),,2.0,11,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_SC_9-1.pdf,"['Telephone', 'Full Name of Party Filing', 'Mailing Address of Party Filing Document', 'Select Your County', 'Select Your Judicial District', 'Case Number (CV-XX-20XX-XXXXX)', 'Full Name of Plaintiff 1', 'Full Name of Plaintiff 2', 'Full Name of Defendant 1', 'Full Name of Defendant 2', ""Plaintiff's Name"", 'Total amount of judgment', 'Post-judgment interest accrued', 'The date judgment was entered', 'The amount Defendant has paid', 'City, State, and Zip Code', 'Email Address', 'Post-judgment costs and fees', 'Date Signed', 'Type your name']",https://courtformsonline.org/forms/8bc1caaba1e5ca9a49b5ad8be2ffbbad.pdf,"['*users1_phone_number', 'full_name_party_filing', 'address_party_document', 'select_county', 'select_judicial_district', 'case_number_c_v_x_xxxx', 'full_name_plaintiff__1', 'full_name_plaintiff__2', 'full_name_defendant__1', 'full_name_defendant__2', 'plaintiff_name', 'total_amount_judgment', 'judgment_interest_accrued', 'date_judgment_entered', 'amount_defendant_paid', 'city_state_zip_code', 'email_address', 'post_judgment_costs_fees', 'date_signed', 'type_name']",ID
8a765921013a9436f8daf09159d893c1,Basic Pro Se Pleading Form,,3.0,9,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_FW_1-15.pdf,"['full_name_of_party_filing_document', 'mailing_address__street_or_post_office_box', 'city__state_and_zip_code', 'telephone', 'email_address__if_any', 'for_the_state_of_idaho__in_and_for_the_county_of', 'judicial_district', 'order_re__partial_payment_of__court_fees__prisoner', 'page_0_field_8', 'vs', 'the', 'the_average_monthly_deposits_in_the_prisoner_s_inmate_account_total', 'AFF012', 'remainder_of_the_court_filing_fees_in_the_amount_of', 'prisoner_s_inmate_account_until_the_court_filing_fees_in_the_amount_of', 'page_0_check_0', 'the_prisoner_has_no_assets_and_need_not_pay_any_fee_at_this_time_the_prisoner_shall_make', 'judge', 'date', 'this_court_denies_the_motion_because', 'the_court_finds_the_prisoner_has_the_ability_to_pay_the_full_filing_fee_at_this_time', 'name', 'by_fax__number', 'street_or_post_office_address', 'city__state__and_zip_code', 'page_2_field_4', 'page_2_field_5', 'page_2_field_6', 'page_2_field_7', 'deputy_clerk', 'page_2_field_9', 'by_united_states_mail', 'by_personal_delivery', 'page_2_check_2', 'page_2_check_3', 'department__of__correction__or_the__private', 'page_2_check_5', 'page_2_check_6']",https://courtformsonline.org/forms/8a765921013a9436f8daf09159d893c1.pdf,"['name_party_filing_document', 'mailing_address_street_post', 'city_state_zip_code__1', '*users1_phone_number', 'email_address', 'state_idaho_county', 'judicial_district', 'order_partial_payment_fees', 'page_field__1', 'vs', 'the', 'average_deposits_total', 'af_f', 'remainder_court_filing_amount', 'account_court_filing_fees', 'page_check__1', 'assets_need_pay_fee_time', 'judge', '*signature_date', 'court_denies_motion', 'court_pay_filing_fee_time', '*users1_name', 'fax_number', 'street_post_office_address', 'city_state_zip_code__2', 'page_field__2', 'page_field__3', 'page_field__4', 'page_field__5', 'deputy_clerk', 'page_field__6', 'united_states_mail', 'personal_delivery', 'page_check__2', 'page_check__3', 'department_correction_private', 'page_check__4', 'page_check__5']",ID
8a16550a1bd29821a728ea37619eb230,(Untitled),,1.0,10,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_AbM_9-2.pdf,"['for_the_state_of_idaho__in_and_for_the_county_of', 'judicial_district', 'petitioner_s_initials', 'date', 'district_judge']",https://courtformsonline.org/forms/8a16550a1bd29821a728ea37619eb230.pdf,"['state_idaho_county', 'judicial_district', 'petitioner_initials', '*signature_date', 'district_judge']",ID
7f2d2d3a92aed408bedd7a9d2dc4a467,Motion to Set Aside Default Judgment  (Small Claims),,2.0,7,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_SC_8-1.pdf,"['Full Name of Party Filing Document', 'Telephone', 'Select Your County', 'Select Your Judicial District', 'Mailing Address of Party Filing Document', 'Case Number (CV-XX-20XX-XXXXX)', 'Full Name of Plaintiff 1', 'Full Name of Plaintiff 2', 'Full Name of Defendant 1', 'Full Name of Defendant 2', 'Check Box2', 'Check Box3', 'Explain reasons why you did not respond by the deadline', 'Explain reasons why you did not respond by the deadline continued', 'Explain reasons why you did not respond by the deadline continued 1', 'Explain reasons why you did not respond by the deadline continued 2', 'Please type the- mm/dd/year', 'City, State, and Zip Code', 'Email Address', 'Explain reasons why you did not appear at the hearing', 'Explain reasons why you did not appear at the hearing continued', 'Explain reasons why you did not appear at the hearing continued 1', 'Explain reasons why you did not appear at the hearing continued 2', 'mm/dd/year']",https://courtformsonline.org/forms/7f2d2d3a92aed408bedd7a9d2dc4a467.pdf,"['name_party_filing_document', '*users1_phone_number', 'select_county', 'select_judicial_district', 'address_party_document', 'case_number_c_v_x_xxxx', 'full_name_plaintiff__1', 'full_name_plaintiff__2', 'full_name_defendant__1', 'full_name_defendant__2', 'check_box__1', 'check_box__2', 'explain_reasons_respond__1', 'explain_reasons_respond__2', 'explain_reasons_respond__3', 'explain_reasons_respond__4', 'please_type_mm_dd_year', 'city_state_zip_code', 'email_address', 'explain_reasons_hearing__1', 'explain_reasons_hearing__2', 'explain_reasons_hearing__3', 'explain_reasons_hearing__4', 'mm_dd_year']",ID
7f1fba86460d38e54cc832b3bb4c9086,(Untitled),,17.0,11,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_FL_3-5.pdf,"['full_name_of_party_filing_document', 'mailing_address__street_or_post_office_box', 'city__state_and_zip_code', 'telephone', 'email_address__if_any', 'for_the_state_of_idaho__in_and_for_the_county_of', 'judicial_district', 'case_no', 'page_0_field_8', 'vs', 'counterclaim__with_children', 'for_his_her_response_to_the', 'page_0_field_12', 'your_name', 'states', '1_i_completely_agree_with_and_admit_the_following_paragraphs__list_each_paragraph_number', '2_i_admit_the_portion_of_paragraph', 'that_states', 'page_0_field_18', 'page_0_field_19', 'page_0_field_20', '3_i_admit_the_portion_of_paragraph', 'page_0_field_22', 'page_0_field_23', 'page_0_field_24', '4_i_deny_the_following_paragraphs_because_i_do_not_have_enough_information_to_admit_or', 'page_1_field_1', 'page_1_field_2', 'name', 'page_1_field_4', 'page_1_field_5', 'wife_is_not_now_pregnant', 'page_1_field_7', '7_our_child_ren_have_lived_with_the_following_persons_in_the_following_places_within_the_last', 'page_1_check_0', 'wife_is_now_pregnant_with_a_child_expected_to_be_born', 'the_names_and_current_addresses_of_each_non_parent_our_children_have_lived_with_during', 'the_last_5_years_are', 'children__provide_all_specifics_including_the_parent_s_name__the_state__the_court__the_case_number_and_the', 'date_of_the_child_custody_order__if_any', 'the_following_different_case_could_affect_our_child_ren__provide_all_specifics_including_the', 'parent_s_name__the_state__the_court__the_case_number_and_the_nature_of_the_proceeding', 'in_addition_to_the_parents__the_following_person_s_have_or_claim_custody_or_visitation', 'for_our_child_ren__list_names_and_addresses', 'state_each_affirmative_defense_that_applies_in_a_separate_paragraph_see_i_r_f_l_p__208_c', 'page_2_field_9', 'page_2_field_10', 'page_2_field_11', 'page_2_field_12', 'page_3', 'i_have_participated_as_a_party_or_witness_in_the_following_different_case_involving_our', 'page_2_check_1', 'page_2_check_2', '11_i_want_the_petition_dismissed', '2_marriage_of_the_parties__the_parties_were_married_at__city', 'on__month__day__year', 'page_3_field_2', 'state', 'page_3_field_4', 'page_3_field_5', 'page_3_field_6', 'page_3_field_7', 'wife_is_not_pregnant', '5_uccjea_jurisdiction__this_court_has_jurisdiction_to_determine_custody_of_our_child_ren', 'page_3_check_0', 'wife_is_pregnant_with_a_child_expected_to_be_born', 'page_4_field_0', 'page_4_field_1', 'child_ren__provide_all_specifics_including_the_parent_s_name__the_state__the_court__the_case_number_and_the', 'page_4_field_3', 'including_the_parent_s_name__the_state__the_court__the_case_number_and_the_nature_of_the', 'proceeding', 'in_addition_to_the_parents__the_following_person_s_have_or_claim_custody_or_visitation_for', 'our_child_ren__list_names_and_addresses', '6_legal_custody', 'it_is_in_the_best_interest_of_our_child_ren_that_we_be_awarded_joint_legal_custody__or', 'be_awarded', 'sole_legal_custody_of_the_child_ren_because', 'different_case_involving_our_child_ren__or', 'page_4_check_1', 'the_following_different__case_that_could_affect_our_child_ren__provide_all_specifics', 'visitation_rights_with_our_child_ren__or', 'page_4_check_4', '7_physical_custody', 'on_the_terms_and_as_described_in_the_parenting_plan_attached_as_schedule_a', 'as_follows', 'page_5_field_3', 'should_be_awarded_sole_physical_custody_of_our', 'child_ren_because', 'page_5_field_6', 'page_5_field_7', 'should_spend_time_with_our_child_ren_as', 'follows', 'it_is_in_the_best_interest_of_our_child_ren_that_we_be_awarded_joint_physical_custody_of', 'page_5_check_1', 'page_5_check_2', 'page_5_check_3', 'no_skip_to_section_9__below', 'yes', 'no_i_ask_for_it_to_continue_if_the_order_was_from_a_different_case_please_attach_a_copy_of_that', 'the_custodial_arrangement_the_gross_annual_income_of_one_or_both_parents_a_parent_is_providing_medical_insurance_the_parent_claiming_the_tax_dependency_exemption_should_be_changed_other_reason', 'section_9_new_child_support_amount', 'per_month__based_on_the_idaho_child_support_guidelines_this_is_based_on_the_affidavit', 'page_6_field_3', 'page_6_field_4', 'per', 'instead_i_ask_that_child_support_should_be_paid_by__full_name_of_parent_who_will_pay_support', 'page_6_field_7', 'month__because', 'attach_affidavit_verifying_income_and_child_support_worksheet_s__as_schedule_b', 'yes__the_amount_of_child_support_should_be_changed_and_the_judgment_issued_by_this', 'judgment_or_decree_have_occurred_check_all_boxes_that_apply', 'page_6_check_2', 'page_6_check_3', 'page_6_check_4', 'page_6_check_5', 'page_6_check_6', 'the_month_after_petition_is_filed__or', 'page_6_check_8', 'of_the_basic_child_support_obligation__the_reduction', 'we_have_more_than_one_minor_child__if_this_child_support_decree_has_not_been', 'our_child_ren_live_s_in_the_home_of_one_parent_at_least_75__of_the_time_if_selected', 'work_related_child_care_should_be_paid_by_the_parents_based_on_the_idaho_child_support', 'by__other_parent_s_name', 'page_8_field_2', 'and', 'by__your_name', 'and__other_parent_s_name', 'pay', 'because', 'page_8_field_8', 'page_8_field_9', '1__any_health_insurance_premiums_for_the_child_ren_should_be_paid_by_the_parents', 'page_8_field_11', 'page_8_field_12', 'page_8_field_13', 'based_on_the_idaho_child_support_guidelines', 'or', 'page_8_field_16', 'page_8_field_17', 'page_8_field_18', 'page_8_field_19', 'page_8_field_20', 'page_8_field_21', 'b__insurance_currently_provided_select_one', 'instead_i_ask_that__your_name', 'page_8_check_1', '2__instead_i_ask_that__your_name', '1_name', 'the_out_of_pocket_cost_for_health_care_expenses_for_the_child_ren_should_be_paid_by', 'page_9_field_1', 'page_9_field_2', 'the_parents_based_on_the_idaho_child_support_guidelines', 'page_9_field_4', 'page_9_field_5', 'page_9_field_6', 'page_9_field_7', 'page_9_field_8', 'page_9_field_9', 'page_9_field_10', '2__neither_parent_is_providing_health_insurance_for_the_child_ren__the_parent_first_able', '3__the_child_ren_are_enrolled_in_the_children_s_health_insurance_program__chip__or', '1_the_child_support_payment_should_include_an_adjustment_for_each_parent_s_share', '2_all_health_care_premiums_should_be_in_addition_to_the_basic_child_support_award', 'page_9_check_4', 'page_9_check_5', 'shall_claim', 'page_10_field_1', 'child_ren_s_names', 'page_10_field_3', 'page_10_field_4', 'page_10_field_5', 'date', 'husband_is_not_the_father_of_the_following_child_ren_born_to_wife_during_the_marriage', 'write_full_name_s_and_date_s_of_birth', 'the_state_and_federal_income_tax_dependency_exemptions_for_the_child_ren_should_be', 'assigned_as_follows', 'other_parent_s_name', 'no_party_is_the_parent_of_any_other_minor_child_ren_born_during_the_marriage_and_wife', 'wife_is_pregnant__but_husband_is_not_the_father_of_the_child_expected_to_be_born_on', 'page_10_check_5', 'acquired_the_separate_property_listed_on_the_attached_schedule__that_property_should_be', 'page_11_field_1', 'page_11_field_2', 'page_11_field_3', 'to_pay_the_debts_listed_in_the_attached_schedule_as_or_before_they_become_due_and_to', 'order_me_to_hold_spouse_harmless_for_any_further_liability_concerning_those_debts__and_or', 'none__or', 'prior_to_or_during_the_marriage__i_your_name', 'prior_to_or_during_the_marriage_spouse_s_name', 'no_community_real_property__or', 'the_community_real_property_should_be_awarded_as_set_out_in_the_attached_schedule', 'no_community_personal_property__or', 'community_personal_property_has_already_been_divided__the_property_should_be', 'it_would_be_fair_for_the_court_to_award_to_the_parties__as_their_sole_and_separate', 'the_petitioner_has_no_knowledge_of_any_unpaid_debts__or', 'it_would_be_fair_for_the_court_to_order_me_your_name', 'it_would_be_fair_for_the_court_to_order__spouse_s_name', 'order_him_her_to_hold_me_harmless_for_any_further_liability_concerning_these_debts', 'assume_any_debt_incurred_by_that_party_since_the_date_of_separation__the_court_should', 'should_be', 'page_12_field_2', 'page_12_field_3', 'signature', 'page_12_field_5', 'party_harmless_from_any_obligation_concerning_those_debts', 'i_certify_that_on__date', 'page_13_field_1', 'i_served_a_copy_to_name_all_parties_in_the_case_other_than_yourself', 'street_or_post_office_address', 'city__state__and_zip_code', 'page_13_field_5', 'by_personal_delivery', 'page_13_field_7', 'page_13_field_8', 'page_13_field_9', 'typed_printed_name', 'by_mail', 'by_fax__number', 'page_13_check_2', 'page_13_check_3', 'page_13_check_4', 'page_13_check_5', 'separate_property', 'your_name_none__or__list_separate_property_below', 'page_15_field_2', 'page_15_field_3', 'spouse_s_name_none__or__list_separate_property_below', 'page_15_field_5', 'page_15_field_6', 'page_15_field_7', 'page_15_field_8', 'page_15_field_9', 'community_real_property', 'page_15_field_11', 'page_15_field_12', 'county_of', 'state_of_idaho__and_described_in_the_deed_as_follows', 'page_15_field_15', 'to__your_name', 'to__spouse_s_name', 'page_15_field_18', 'shall_be_sold_and_the_net_proceeds_divided', 'page_15_field_20', 'is_ordered_to_convey_his_her_interest_in_the_property_to_the_other_party_when__name_of_party_who_will', 'page_15_field_22', 'page_15_field_23', 'own_the_home', 'page_15_field_25', 'AFF249', 'page_15_check_0', 'page_15_check_1', 'page_15_check_2', 'page_15_check_3', 'the_real_property__located_at', 'page_15_check_5', 'is_awarded_to_name_of_party_who_will_own_the_home', 'page_15_check_7', 'page_16_field_0', 'none__or__list_community_personal_property_below', 'page_16_field_2', 'page_16_field_3', 'page_16_field_4', 'page_16_field_5', 'page_16_field_6', 'spouse_s_name', 'page_16_field_8', 'page_16_field_9', 'page_16_field_10', 'page_16_field_11', 'page_16_field_12', 'page_16_field_13', 'page_16_field_14', 'page_16_field_15', 'page_16_field_16', 'community_debts', 'page_16_check_0', 'page_16_check_1', 'page_16_check_2', 'page_16_check_3']",https://courtformsonline.org/forms/7f1fba86460d38e54cc832b3bb4c9086.pdf,"['name_party_filing_document', 'mailing_address_street_post', 'city_state_zip_code__1', '*users1_phone_number', 'email_address', 'state_idaho_county', 'judicial_district', '*docket_number', 'page_field__1', 'vs', 'counterclaim_children', 'response', 'page_field__2', '*users1_name__1', 'states__1', 'agree_admit_paragraphs_paragraph', 'admit_portion_paragraph__1', 'states__2', 'page_field__3', 'page_field__4', 'page_field__5', 'admit_portion_paragraph__2', 'page_field__6', 'page_field__7', 'page_field__8', 'following_paragraphs_information', 'page_field__9', 'page_field__10', '*users1_name__2', 'page_field__11', 'page_field__12', 'wife_pregnant__1', 'page_field__13', 'child_lived_places_last', 'page_check__1', 'wife_pregnant_child_expected__1', 'current_addresses_non_parent', 'last_years', 'including_case_number', 'date_child_custody_order', 'could_affect_child__1', 'state_court_case_number', 'following_claim_custody__1', 'child_ren_list_names_addresses__1', 'state_see_f_p_c', 'page_field__14', 'page_field__15', 'page_field__16', 'page_field__17', 'page', 'following_case_involving', 'page_check__2', 'page_check__3', 'want_petition_dismissed', 'parties_married_city', 'month_day_year', 'page_field__18', '*users1_address_state', 'page_field__19', 'page_field__20', 'page_field__21', 'page_field__22', 'wife_pregnant__2', 'uccjea_jurisdiction_court_determine_custody_child_ren', 'page_check__4', 'wife_pregnant_child_expected__2', 'page_field__23', 'page_field__24', 'child_parent_name_court', 'page_field__25', 'including_state_case_number', 'proceeding', 'following_claim_custody__2', 'child_ren_list_names_addresses__2', 'legal_custody', 'child_joint_legal_custody', 'awarded', 'sole_legal_custody_child_ren', 'different_case_involving_child', 'page_check__5', 'could_affect_child__2', 'visitation_rights_child_ren', 'page_check__6', 'physical_custody', 'terms_described_parenting_plan_attached_schedule', 'follows__1', 'page_field__26', 'sole_physical_custody', 'child_ren', 'page_field__27', 'page_field__28', 'spend_time_child_ren', 'follows__2', 'interest_child_physical_custody', 'page_check__7', 'page_check__8', 'page_check__9', 'skip_section', 'yes', 'continue_different_please_attach', 'income_medical_tax', 'new_child_support_amount', 'per_child_support_guidelines', 'page_field__29', 'page_field__30', 'per', 'instead_child_support_paid_pay', 'page_field__31', 'month', 'income_support_schedule', 'yes_amount_changed_judgment', 'judgment_decree_check_apply', 'page_check__10', 'page_check__11', 'page_check__12', 'page_check__13', 'page_check__14', 'month_petition_filed', 'page_check__15', 'basic_support_reduction', 'one_minor_child_support_decree', 'child_one_parent_least_time', 'related_care_paid_support', 'parent_name__1', 'page_field__32', 'and', 'name__1', 'parent_name__2', 'pay', 'because', 'page_field__33', 'page_field__34', 'insurance_premiums_child_paid', 'page_field__35', 'page_field__36', 'page_field__37', 'based_child_guidelines__1', 'or', 'page_field__38', 'page_field__39', 'page_field__40', 'page_field__41', 'page_field__42', 'page_field__43', 'insurance_currently_provided_one', 'instead_ask_name__1', 'page_check__16', 'instead_ask_name__2', 'name__2', 'cost_care_expenses_child_paid', 'page_field__44', 'page_field__45', 'based_child_guidelines__2', 'page_field__46', 'page_field__47', 'page_field__48', 'page_field__49', 'page_field__50', 'page_field__51', 'page_field__52', 'neither_parent_child_able', 'child_children_health', 'support_adjustment_share', 'care_premiums_addition_support', 'page_check__17', 'page_check__18', 'shall_claim', 'page_field__53', 'child_ren_names', 'page_field__54', 'page_field__55', 'page_field__56', '*signature_date', 'husband_father_child_wife', 'write_full_name_date_birth', 'state_federal_income_tax', 'assigned_follows', 'parent_name__3', 'party_parent_minor_child_marriage', 'wife_husband_father_born', 'page_check__19', 'acquired_separate_schedule', 'page_field__57', 'page_field__58', 'page_field__59', 'pay_debts_schedule_due', 'harmless_liability_debts', 'none', 'prior_marriage_name', 'prior_marriage_spouse_name', 'community_real_property__1', 'community_set_schedule', 'community_personal_property', 'community_personal_already', 'fair_court_parties_sole', 'petitioner_unpaid_debts', 'would_fair_court_order_name', 'would_fair_court_spouse_name', 'hold_liability_debts', 'debt_incurred_party_since', 'should_be', 'page_field__60', 'page_field__61', '*users1_signature', 'page_field__62', 'party_obligation_concerning', 'certify_date', 'page_field__63', 'served_copy_name_parties_case', 'street_post_office_address', 'city_state_zip_code__2', 'page_field__64', 'personal_delivery', 'page_field__65', 'page_field__66', 'page_field__67', 'typed_printed_name', 'mail', 'fax_number', 'page_check__20', 'page_check__21', 'page_check__22', 'page_check__23', 'separate_property', 'name_none_list_property', 'page_field__68', 'page_field__69', 'spouse_name_none_list', 'page_field__70', 'page_field__71', 'page_field__72', 'page_field__73', 'page_field__74', 'community_real_property__2', 'page_field__75', 'page_field__76', 'county', 'state_described_deed_follows', 'page_field__77', 'name__3', 'spouse_name__1', 'page_field__78', 'sold_net_proceeds_divided', 'page_field__79', 'ordered_interest_party', 'page_field__80', 'page_field__81', 'home', 'page_field__82', 'af_f', 'page_check__24', 'page_check__25', 'page_check__26', 'page_check__27', 'real_property_located', 'page_check__28', 'awarded_name_party_home', 'page_check__29', 'page_field__83', 'none_community_personal', 'page_field__84', 'page_field__85', 'page_field__86', 'page_field__87', 'page_field__88', 'spouse_name__2', 'page_field__89', 'page_field__90', 'page_field__91', 'page_field__92', 'page_field__93', 'page_field__94', 'page_field__95', 'page_field__96', 'page_field__97', 'community_debts', 'page_check__30', 'page_check__31', 'page_check__32', 'page_check__33']",ID
7e699359b1105e63e9c8ff4a9ed351a6,Dismissal By Plaintiff (Small Claims),,1.0,8,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_SC_7-2.pdf,"['Telephone', 'Full Name of Party Filing', 'Mailing Address of Party Filing Document', 'Select Your County', 'Select Your Judicial District', 'Case Number (CV-XX-20XX-XXXXX)', 'Full Name of Plaintiff 1', 'Full Name of Plaintiff 2', 'Full Name of Defendant 1', 'Full Name of Defendant 2', 'mm/dd/year', 'City, State, and Zip Code', 'Email Address']",https://courtformsonline.org/forms/7e699359b1105e63e9c8ff4a9ed351a6.pdf,"['*users1_phone_number', 'full_name_party_filing', 'address_party_document', 'select_county', 'select_judicial_district', 'case_number_c_v_x_xxxx', 'full_name_plaintiff__1', 'full_name_plaintiff__2', 'full_name_defendant__1', 'full_name_defendant__2', 'mm_dd_year', 'city_state_zip_code', 'email_address']",ID
7d5d79476197af1b3235b8f896b55a50,"SHARED, SPLIT, OR MIXED CUSTODY WORKSHEET",,2.0,8,2023-03,https://courtselfhelp.idaho.gov/docs/forms/CAO_FL_1-12.pdf,"['full_name_of_party_filing_document', 'mailing_address__street_or_post_office_box', 'city__state_and_zip_code', 'telephone', 'email_address__if_any', 'case_no', 'judicial_district', 'vs', 'page_0_field_8', 'for_the_state_of_idaho__in_and_for_the_county_of', 'in_the_district_court_for_the', 'page_0_check_2', 'page_0_check_3', 'shared__split__or_mixed_custody', 'line_1_for_each_parent_divided_by_combined_income', 'AFF015', 'page_1_field_1', 'page_1_field_2', 'page_1_field_3', 'page_1_field_4', 'comments__calculations_and_or_rebuttals', 'date', 'signature', 'typed_printed', 'number_of_overnights_with_other_parent']",https://courtformsonline.org/forms/7d5d79476197af1b3235b8f896b55a50.pdf,"['name_party_filing_document', 'mailing_address_street_post', 'city_state_zip_code', '*users1_phone_number', 'email_address', '*docket_number', 'judicial_district', 'vs', 'page_field__1', 'state_idaho_county', 'district_court', 'page_check__1', 'page_check__2', 'shared_split_mixed_custody', 'line_divided_combined_income', 'af_f', 'page_field__2', 'page_field__3', 'page_field__4', 'page_field__5', 'comments_rebuttals', '*signature_date', '*users1_signature', 'typed_printed', 'number_overnights_parent']",ID
