id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
9fe23bcff7e7e5a5c5f4a40a34614b08,(Untitled),,1.0,13,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/JV-1.1_ES.pdf,"['juzgado_distrito_familia', 'krs_610_345_3', 'además__de_conformidad_con_krs_610_345_3_si_la_denuncia_es_sobreseída__todos_los_registros_del_incidente_o_de_la', 's_o', 'del_2', 'qtrabajador_designado_por_el_tribunal__court_designated_worker__cdw_especialista_designado_por_el_tribunal__court', 'qcdw_cds_o_qsecretario_delegado_con_autorización_del_juez_del_distrito', 'o', 'original', 'condado', 'n']",https://courtformsonline.org/forms/9fe23bcff7e7e5a5c5f4a40a34614b08.pdf,"['juzgado_distrito_familia', 'krs', 'con_si_es_da_del', 's_o', 'del', 'qtrabajador_designado_por_el_tribunal_court_designated_worker_cdw_especialista', 'delegado_con_del_distrito', 'o', 'original', 'condado', 'n']",KY
9f69f52fd2898374e215044de4c13087,JV-36.indd,,2.0,8,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/JV-36.pdf,"['Case No', 'Case.County', 'Division', 'Interest Of', 'check habitual runaway', 'check habitual truant', 'check beyond control parents', 'check beyond control school', 'check alcohol offense', 'child counsel name', 'check not leave home', 'check obey rules', 'from curfrew', 'to curfew', 'check attend school', 'check obey the law', 'check attend programs', 'Text4', 'attend following programs', 'check follow rules', 'check not consume', 'checkcooperate fully', 'check enroll counseling', 'check take medications', 'check other conditions', 'Other conditions andor services 1', 'check drug and alcohol', 'check original', 'check child', 'check child attorney', 'check child parent', 'check county atty']",https://courtformsonline.org/forms/9f69f52fd2898374e215044de4c13087.pdf,"['case', 'case_county', 'division', 'interest', 'check_habitual_runaway', 'check_habitual_truant', 'check_beyond_control_parents', 'check_beyond_control_school', 'check_alcohol_offense', 'child_counsel_name', 'check_leave_home', 'check_obey_rules', 'curfrew', 'curfew', 'check_attend_school', 'check_obey_law', 'check_attend_programs', 'text', 'attend_following_programs', 'check_follow_rules', 'check_consume', 'checkcooperate_fully', 'check_enroll_counseling', 'check_take_medications', 'check_conditions', 'conditions_andor_services', 'check_drug_alcohol', 'check_original', 'check_child', 'check_child_attorney', 'check_child_parent', 'check_county_atty']",KY
9f3873756a1ecebeb4895e2119945ebd,(Untitled),,1.0,11,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/217_ES.pdf,"['distrito', 'vs', 's_u', 'o', 'juez', '2']",https://courtformsonline.org/forms/9f3873756a1ecebeb4895e2119945ebd.pdf,"['distrito', 'vs', 'u', 'o', 'juez', 'unknown']",KY
9dccf815d74988e66efac73badc95733,(Untitled),,2.0,11,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/446_FR.pdf,"['affaire_n', 'cour_de_district_circuit', 'page_0_field_2', 'deuxième_prénom', 'page_0_field_4', 'p', 'r', '2_le_verdict_de_culpabilité_plaidoyer_de_culpabilité_est_une_demande_d_ordonnance_de_protection_limitant_les_contacts_entre', '2', 'page_0_field_9', 'page_0_check_0', 'a', 'q_la_demande_d_ordonnance_de_protection_est_acceptée_doc_code_orsc__il_est_interdit_au_défendeur_de', 'q_entrer_en_contact_avec_la_victime_q_initier__personnellement_ou_par_l_intermédiaire_d_un_agent__toute', 's', 'juge', 'm', 'page_1_field_5']",https://courtformsonline.org/forms/9dccf815d74988e66efac73badc95733.pdf,"['affaire_n', 'cour_de_district_circuit', 'page_field__1', 'deuxi_pr_nom', 'page_field__2', 'p', 'r', 'le_de_les', 'unknown', 'page_field__3', 'page_check', 'a', 'la_de_e_doc_il_au', 'en_avec_la_ou_toute', 's', 'juge', 'm', 'page_field__4']",KY
9d8a61078598221b08c73af337cf4e39,P:\revised forms\AOC-491.1.wpd,,2.0,7,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/491.1.pdf,"['Case.CaseNum', 'Case.Division.Text', 'Case.County', 'Def.Name.First', 'Def.Name.Middle', 'Def.Name.Last', 'Def.Name.Suffix', 'Offense1.Charge', 'Offense1.UORCode', 'Offense1.Penalty', 'Offense2.Charge', 'Offense2.UORCode', 'Offense2.Penalty', 'Offense3.Charge', 'Offense3.UORCode', 'Offense3.Penalty', 'Offense4.Charge', 'Offense4.UORCode', 'Offense4.Penalty', 'Offense5.Charge', 'Offense5.UORCode', 'Offense5.Penalty', 'Offense6.Charge', 'Offense6.UORCode', 'Offense6.Penalty', 'Amended.Offense1.Charge', 'Amended.Offense1.UORCode', 'Amended.Offense1.Penalty', 'Amended.Offense2.Charge', 'Amended.Offense2.UORCode', 'Amended.Offense2.Penalty', 'Amended.Offense3.Charge', 'Amended.Offense3.UORCode', 'Amended.Offense3.Penalty', 'Amended.Offense4.Charge', 'Amended.Offense4.UORCode', 'Amended.Offense4.Penalty', 'Amended.Offense5.Charge', 'Amended.Offense5.UORCode', 'Amended.Offense5.Penalty', 'Amended.Offense6.Charge', 'Amended.Offense6.UORCode', 'Amended.Offense6.Penalty', 'CurDate', 'Version', 'D_Suffix', 'D_LastName', 'D_MiddleName', 'D_FirstName', 'Use.Mouse.Court', 'Use.Mouse.County', 'CaseNum.Blank', 'Amended.Reasons', 'Use.Mouse.Signed.Month', 'Facts', 'Recommendation', 'Signed.Date.Day', 'Signed.Date.Month', 'Signed.Date.Year', 'Finished', 'Signed_Date', 'Signed_Year']",https://courtformsonline.org/forms/9d8a61078598221b08c73af337cf4e39.pdf,"['case_num', 'case_division_text', 'case_county', 'def_name_first', 'def_name_middle', 'def_name_last', 'def_name_suffix', 'offense_charge__1', 'offense_uor_code__1', 'offense_penalty__1', 'offense_charge__2', 'offense_uor_code__2', 'offense_penalty__2', 'offense_charge__3', 'offense_uor_code__3', 'offense_penalty__3', 'offense_charge__4', 'offense_uor_code__4', 'offense_penalty__4', 'offense_charge__5', 'offense_uor_code__5', 'offense_penalty__5', 'offense_charge__6', 'offense_uor_code__6', 'offense_penalty__6', 'amended_offense_charge__1', 'amended_offense_uor_code__1', 'amended_offense_penalty__1', 'amended_offense_charge__2', 'amended_offense_uor_code__2', 'amended_offense_penalty__2', 'amended_offense_charge__3', 'amended_offense_uor_code__3', 'amended_offense_penalty__3', 'amended_offense_charge__4', 'amended_offense_uor_code__4', 'amended_offense_penalty__4', 'amended_offense_charge__5', 'amended_offense_uor_code__5', 'amended_offense_penalty__5', 'amended_offense_charge__6', 'amended_offense_uor_code__6', 'amended_offense_penalty__6', 'cur_date', 'version', 'suffix', 'last_name', 'middle_name', 'first_name', 'use_mouse_court', 'use_mouse_county', 'case_num_blank', 'amended_reasons', 'use_mouse_signed_month', 'facts', 'recommendation', 'signed_date_day', 'signed_date_month', 'signed_date_year', 'finished', 'signed_date', 'signed_year']",KY
9c64e31fa2ed0b871fa13a6fe067af51,(Untitled),,1.0,7,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/INT-4.pdf,"['Last Name', 'First Name', 'SSN', 'AliasMaiden', 'Address', 'City', 'State', 'Zip', 'Email Address', 'Telephone Number include area code', 'Date', 'Middle Initial', 'DOB', 'I do not have a student loan', 'I have a student loan']",https://courtformsonline.org/forms/9c64e31fa2ed0b871fa13a6fe067af51.pdf,"['last_name', 'first_name', 'ssn', 'alias_maiden', '*users1_address_line_one', '*users1_address_city', '*users1_address_state', '*users1_address_zip', 'email_address', 'number_include_area_code', '*signature_date', 'middle_initial', '*users1_birthdate', 'student_loan__1', 'student_loan__2']",KY
9bd835c41663d1bc6333fbfa6aac7d4a,(Untitled),,1.0,8,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/275.6.pdf,"['Case  No', 'Case.County', 'first', 'middle', 'last', 'firstr', 'middler', 'lastr', 'Current Residence', 'Usual Residence', 'occupation', 'Employer Name', 'Employer Address', 'SchoolPostsecondary Institution if currently attending', 'Address', 'SexRow1', 'RaceRow1', 'BirthdateRow1', 'HeightRow1', 'WeightRow1', 'EyesRow1', 'HairRow1', 'Social Security Row1', 'Drivers License Row1', 'state2', 'Exp DateRow1', 'check weapon', 'check armed', 'check divorced', 'check pet', 'check res', 'Division', 'Court', 'order dated', 'manner 1', 'manner 2', 'manner 3', 'manner 4', 'manner 5']",https://courtformsonline.org/forms/9bd835c41663d1bc6333fbfa6aac7d4a.pdf,"['case', 'case_county', 'first', 'middle', 'last', 'firstr', 'middler', 'lastr', 'current_residence', 'usual_residence', 'occupation', 'employer_name', 'employer_address', 'currently_attending', '*users1_address_line_one', 'sex_row', 'race_row', 'birthdate_row', 'height_row', 'weight_row', 'eyes_row', 'hair_row', 'social_security_row', 'drivers_license_row', 'state', 'exp_date_row', 'check_weapon', 'check_armed', 'check_divorced', 'check_pet', 'check_res', 'division', 'court', 'order_dated', 'manner__1', 'manner__2', 'manner__3', 'manner__4', 'manner__5']",KY
9bd2c5113ad43bdf918f1c3ab730c21f,(Untitled),,1.0,7,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/DNA-15.pdf,"['TPR Case  No', 'Division', 'Race', 'DOBRow1', 'SexRow1', 'SSN', 'In compliance with this rule the undersigned Clerk of the', 'IN TESTIMONY WHEREOF witness my hand as Clerk aforesaid', '2', 'check court file', 'check clerk distribution', 'check counsel child dist', 'check chfs dist', 'Case.County', 'dna case number', 'interest of']",https://courtformsonline.org/forms/9bd2c5113ad43bdf918f1c3ab730c21f.pdf,"['tp_r_case', 'division', 'race', 'dob_row', 'sex_row', 'ssn', 'compliance_rule_undersigned', 'n_testimon_whereo_f_witness_hand_clerk_aforesaid', 'unknown', 'check_court_file', 'check_clerk_distribution', 'check_counsel_child_dist', 'check_chfs_dist', 'case_county', 'dna_case_number', 'interest']",KY
9bb72c8d1ab7131f771844d00896e332,(Untitled),,1.0,10,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/JV-14.pdf,"['Case No', 'Division', 'a child', 'Childs Name', 'Address', 'Present Location', 'Hospital or Facility', 'Date', 'County dropdown', 'address 1', 'present location 1', 'check district', 'check family', 'check child mentally ill', 'check child hospitalization']",https://courtformsonline.org/forms/9bb72c8d1ab7131f771844d00896e332.pdf,"['case', 'division', 'child', 'childs_name', '*users1_address_line_one', 'present_location__1', 'hospital_facility', '*signature_date', 'county_dropdown', 'address', 'present_location__2', 'check_district', 'check_family', 'check_child_mentally_ill', 'check_child_hospitalization']",KY
9b9db8d4f63daace70a3385a0947883d,298,,1.0,10,2023-03,https://kycourts.gov/Legal-Forms/Legal Forms/298.pdf,"['Case.CaseNum', 'Case.County', 'Student.Name', 'Student.Address', 'Student.City', 'Student.State', 'Student.Zip', 'Student.SSN', 'Student.DOB', 'Student.Age', 'Parent.Name', 'Check.AppropResponses.only', 'Check.AppropResponses.absenses', 'Check.AppropResponses.none', 'Check.AppropResponses.grades', 'Check.AppropResponses.hardship', 'R_AddressLine1', 'Use.Mouse.RState', 'Use.Mouse.County', 'R_City', 'R_Zip', 'S_Age', 'S_DOB', 'S_SSN', 'S_Name', 'P_Name', 'CaseNum.Blank', 'Check_Relationship', 'Check_Age', 'Check_DeniedReason', 'Check_AppropResponses', 'Check_order']",https://courtformsonline.org/forms/9b9db8d4f63daace70a3385a0947883d.pdf,"['case_num', 'case_county', 'student_name', 'student_address', 'student_city', 'student_state', 'student_zip', 'student_ssn', 'student_dob', 'student_age', 'parent_name', 'check_approp_responses__1', 'check_approp_responses_absenses', 'check_approp_responses_none', 'check_responses_grades', 'check_responses_hardship', 'r_address_line', 'use_mouse_r_state', 'use_mouse_county', 'r_city', 'r_zip', 'age', 'dob', 'ssn', 'name', 'p_name', 'case_num_blank', 'check_relationship', 'check_age', 'check_denied_reason', 'check_approp_responses__2', 'check_order']",KY
