id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
9fb22451687e10b06dc6a20aba84e910,DR-307 |  Divided Custody Child Support Calculation,,1.0,10,2023-03,https://public.courts.alaska.gov/web/forms/docs/dr-307.pdf,"['Text1', 'Text2', 'Text3', 'Text4', 'Text5', 'Text6', 'Text7', 'Combo Box1', 'Text8', 'Text9', 'Combo Box2', 'Text10', 'Text11', 'Text13', 'Text14', 'Text12']",https://courtformsonline.org/forms/9fb22451687e10b06dc6a20aba84e910.pdf,"['text__1', 'text__2', 'text__3', 'text__4', 'text__5', 'text__6', 'text__7', 'combo_box__1', 'text__8', 'text__9', 'combo_box__2', 'text__10', 'text__11', 'text__12', 'text__13', 'text__14']",AK
9f9e6479a87983d3a1ad78bd02737338,CN-600 |  Request to Register Tribal Court ICWA Custody Order,,2.0,10,2023-03,https://public.courts.alaska.gov/web/forms/docs/cn-600.pdf,"['courtLocation', 'itmo', 'dob', 'caseNo', 'tribalCourtOrder', 'tribalCase', 'tribalCourtName', 'contactPerson1', 'phone1', 'email1', 'address1', 'childsTribe', 'contactPerson2', 'phone2', 'email2', 'address2', 'requester', 'phone3', 'email3', 'address3', 'phone4', 'email4', 'address4', 'listIfNotMomOrDad', 'phone6', 'email6', 'address6', 'mothersName', 'phone7', 'email7', 'address7', 'fathersName', 'phone8', 'email8', 'address8', 'stateCase', 'place', 'printName', 'certDate']",https://courtformsonline.org/forms/9f9e6479a87983d3a1ad78bd02737338.pdf,"['court_location', 'itmo', '*users1_birthdate', '*docket_number', 'tribal_court_order', 'tribal_case', 'tribal_court_name', 'contact_person__1', 'phone__1', 'email__1', 'address__1', 'childs_tribe', 'contact_person__2', 'phone__2', 'email__2', 'address__2', 'requester', 'phone__3', 'email__3', 'address__3', 'phone__4', 'email__4', 'address__4', 'list_mom_dad', 'phone__5', 'email__5', 'address__5', 'mothers_name', 'phone__6', 'email__6', 'address__6', 'fathers_name', 'phone__7', 'email__7', 'address__7', 'state_case', 'place', 'print_name', 'cert_date']",AK
9eff7e455c6e7d37e604776cffecda20,AP-311 |  Agency's List of Parties and Attorneys on Appeal,,1.0,6,2023-03,https://public.courts.alaska.gov/web/forms/docs/ap-311.pdf,"['caseTitle1', 'caseTitle2', 'caseNo', 'adminNo', 'agency', 'hearingOfficer', 'partyNameAddress.0', 'partyNameAddress.1', 'partyNameAddress.2', 'partyNameAddress.3', 'partyNameAddress.4', 'partyNameAddress.5', 'attyNameAddress.0', 'attyNameAddress.1', 'attyNameAddress.2', 'attyNameAddress.3', 'attyNameAddress.4', 'attyNameAddress.5', 'dateSigned', 'typeName']",https://courtformsonline.org/forms/9eff7e455c6e7d37e604776cffecda20.pdf,"['case_title__1', 'case_title__2', '*docket_number', 'admin', 'agency', 'hearing_officer', 'party_name_address__1', 'party_name_address__2', 'party_name_address__3', 'party_name_address__4', 'party_name_address__5', 'party_name_address__6', 'atty_name_address__1', 'atty_name_address__2', 'atty_name_address__3', 'atty_name_address__4', 'atty_name_address__5', 'atty_name_address__6', 'date_signed', 'type_name']",AK
9e51d13431af8253c174e9418ce011aa,DL-155 |  Order On Annual Review,,1.0,11,2023-03,https://public.courts.alaska.gov/web/forms/docs/dl-155.pdf,"['Court Location', 'In the Matter of', 'Hearing held on', 'Year hearing held on', 'Previous dispo order in full force', 'Release minor', 'Placing minor', 'Other Option', 'Recommended date', 'Effective Date', 'superiorCourtMaster', 'superiorCourtJudge', 'DOB', 'Type or Print Name', 'DJJ', 'DA', 'Minor/Attorney', 'ParentGuardian', 'GAL', 'Checkbox - copy of order sent to', 'Blank field for location/party', 'Clerk', 'Case Number', 'presentWere', 'presentWere0']",https://courtformsonline.org/forms/9e51d13431af8253c174e9418ce011aa.pdf,"['court_location', 'matter', 'hearing_held', 'year_hearing_held', 'previous_order_full_force', 'release_minor', 'placing_minor', 'option', 'recommended_date', 'effective_date', 'superior_court_master', 'superior_court_judge', '*users1_birthdate', 'type_print_name', 'djj', 'da', 'minor_attorney', 'parent_guardian', 'gal', 'checkbox_copy_order_sent', 'blank_field_location_party', 'clerk', 'case_number', 'present__1', 'present__2']",AK
9e47cd5cb931767412c3a6cdf53c2eb5,CIV-751 Instructions-Stalking or SA Protective Order,,3.0,9,2023-03,https://public.courts.alaska.gov/web/forms/docs/civ-751.pdf,"['1_if_the_respondent_lives_out_of_state__the_troopers_will_coordinate_service_with_out_of_state_police_be', 'civ_751__11_21__cs', 'file_petition_in', 'court', 'clerk_or', 'no', 'yes', 'of_hearing', 'parte__20_day', 'long_term_hearing_held', 'judge_makes_decision', 'page_2_field_9', 'one_year', 'granted', 'case_closed', 'page_2_field_13', 'page_2_field_14', 'year__order', 'reopened', 'hearing_held_on', 'another_hearing', 'makes_decision', 'expires_after_20_days', 'expiration_date__case_closed']",https://courtformsonline.org/forms/9e47cd5cb931767412c3a6cdf53c2eb5.pdf,"['state_troopers_police', 'civ_cs', 'file_petition', 'court', 'clerk', 'no', 'yes', 'hearing', 'parte_day', 'long_term_hearing_held', 'judge_makes_decision', 'page_field__1', 'one_year', 'granted', 'case_closed', 'page_field__2', 'page_field__3', 'year_order', 'reopened', 'hearing_held', 'another_hearing', 'makes_decision', 'expires_days', 'expiration_date_case_closed']",AK
9e2383f018a99238921292ecab085d86,DL-164 |  Request for Expedited Consideration,,1.0,9,2023-03,https://public.courts.alaska.gov/web/forms/docs/dl-164.pdf,"['Text1', 'Text2', 'Text3', 'Text4', 'Text5', 'Text6', 'Text8', 'Text9', 'Check Box10', 'Check Box11', 'Check Box12', 'Check Box13', 'Text14', 'Text15']",https://courtformsonline.org/forms/9e2383f018a99238921292ecab085d86.pdf,"['text__1', 'text__2', 'text__3', 'text__4', 'text__5', 'text__6', 'text__7', 'text__8', 'check_box__1', 'check_box__2', 'check_box__3', 'check_box__4', 'text__9', 'text__10']",AK
9dff4d05953cec7f4766e2f97be0b75a,PG-606 Instructions for Minor Guardianship Petition - Indian Child,,13.0,12,2023-03,https://public.courts.alaska.gov/web/forms/docs/pg-606.pdf,"['1_see_definition_of__indian_child__on_page_3', '7_25_usc_1903', 'date', '8_as_13_26_121_and_probate_rule_15_1', '10__signing_in_the_presence_of_a_judicial_officer_is_a_special_requirement_of_icwa_this_is_true', '12__as_13_06_115', '14__probate_rule_15_b', '16__and_for_service_on_the_bia__if_applicable', '20_as_13_26_147_c', '24_administrative_rule_9_b__2__g__and__f__1']",https://courtformsonline.org/forms/9dff4d05953cec7f4766e2f97be0b75a.pdf,"['see_definition_child_page', 'usc', '*signature_date', 'probate_rule', 'signing_officer_requirement', '12_as_13_06_115', 'probate_rule_b', 'service_bia_applicable', 'c', 'administrative_rule_b_g_f']",AK
9dbc447f211be67dd7e6604c1cb6f8a8,Anchorage |  Application for Change of Plea Hearing,,1.0,9,2023-03,https://public.courts.alaska.gov/web/forms/docs/cr-316anc.pdf,"['pd', 'da', 'opa', 'dlg', 'pa', 'moa', 'srl', 'defendant', 'caseNo', 'caseNo2', 'caseNo3', 'requestedDate', 'dateSigned', 'printedName', 'attyNo', 'phoneNo', 'faxNo']",https://courtformsonline.org/forms/9dbc447f211be67dd7e6604c1cb6f8a8.pdf,"['pd', 'da', 'opa', 'dlg', 'pa', 'moa', 'srl', 'defendant', '*docket_number', 'case__1', 'case__2', 'requested_date', 'date_signed', '*users1_name', 'atty', 'phone', 'fax']",AK
9d2e7a06c885f8ed3f60058b09dc3f4d,DR-330 |  Notice to Employer re: Children's Medical Insurance,,1.0,12,2023-03,https://public.courts.alaska.gov/web/forms/docs/dr-330.pdf,"['courtLocation', 'itmo', 'caseNo', 'to', 'employee', 'dateSigned', 'Signer']",https://courtformsonline.org/forms/9d2e7a06c885f8ed3f60058b09dc3f4d.pdf,"['court_location', 'itmo', '*docket_number', 'to', 'employee', 'date_signed', 'signer']",AK
9d17819b06dace3868d53675c3dd0860,CIV-482 |  Answer to Counterclaim,,1.0,8,2023-03,https://public.courts.alaska.gov/web/forms/docs/civ-482.pdf,"['courtLocation', 'plaintiff', 'defendant', 'caseNo', 'personResponse', 'cb2', 'a1Text', 'cb3', 'a2Text', 'cb4', 'a3', 'morePages1', 'cb5', 'other', 'morePages2', 'printName', 'dateSigned', 'mailingAddress', 'phone', 'email', 'emailAuth', 'certDate', 'attachedDocs', 'Check Box96', 'Check Box97', 'Check Box98', 'Text99', 'Check Box102', 'opposingLawyer', 'Check Box100', 'otherService', 'otherCert', 'otherService2']",https://courtformsonline.org/forms/9d17819b06dace3868d53675c3dd0860.pdf,"['court_location', 'plaintiff', 'defendant', '*docket_number', 'person_response', 'cb__1', 'text__1', 'cb__2', 'text__2', 'cb__3', 'a3', 'pages__1', 'cb__4', 'other', 'pages__2', 'print_name', 'date_signed', 'mailing_address', '*users1_phone_number', 'email', 'email_auth', 'cert_date', 'attached_docs', 'check_box__1', 'check_box__2', 'check_box__3', 'text__3', 'check_box__4', 'opposing_lawyer', 'check_box__5', 'service__1', 'cert', 'service__2']",AK
