id,title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
9f78feec73b1247483a0cd555bb65b58,Order Appointing Guardian Ad Litem (GAL) for Minor(s),,5.0,12,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=PB-007,"['IN RE 1', 'IN RE 2', 'IN RE 3', 'IN RE 4', 'Location Town', 'Docket No', 'LimitedPurpose', 'Standard', 'Expanded', 'litem GAL for the following minor children whose names and dates of birth isare 1', 'The GALs name is', 'The GALs contact information is 1', 'The GAL appointed by the court and listed above is currently on the roster of qualified Maine GALs or', 'The GAL appointed by the court and listed above is a qualified attorney licensed to practice in Maine who is not', 'No party objects to the GAL appointment or the fee arrangements specified below or', 'Petitioner', 'Petitioner_2', 'the GAL has the necessary skills and experience in family or guardian matters see MRGAL 2a1 or', 'other qualifications', 'undefined', 'undefined_2', 'Respondent', 'Other', 'objects to the appointment of a GAL', 'appointment 1', 'appointment 2', 'below but after careful consideration the court concludes the following factors in MRGAL 4b4C', 'Respondent_2', 'Other_2', 'support the fee arrangement 1', 'objects to the fee arrangement', 'LimitedPurpose Appointment', 'interim hearing', 'final hearing in this matter to testify and be available for', 'Other provisions of the limited appointment', 'ii 1', 'Standard Appointment', 'Other provisions of the standard appointment', 'ii 1_2', 'Expanded Appointment', 'available for crossexamination Before the hearing the GAL must perform the following specific duties 1', 'Interview the following teachers and other people who know about the children or family', '1', 's', 'mental health', 'mental health_2', 'mental health_3', 'mental health_4', 'mental health_5', 'mental health_6', 'Review', 'Review_2', 'Review_3', 'Review_4', 'Review_5', 'Review_6', 'Engage a qualified', 'By mmddyyyy', 'Subpoena witnesses and documents and examine and crossexamine witnesses', 'Serve as a contact person between the parents  petitioners and the children as follows', 's_2', 's_3', 's_4', 's_5', 's_6', 'medical andor educational records', 'medical andor educational records_2', 'medical andor educational records_3', 'medical andor educational records_4', 'medical andor educational records_5', 'medical andor educational records_6', 'medical', 'mental health_7', 'educational provider to evaluate', 'undefined_3', 'by mmddyyyy', 'than 1', 'than 2', 'arrange counseling for the following children', '1_2', 'Appear at', 'mediation in person andor', 'status conference telephonically andor', 'other', 'courtrelated events listed here', 'Other duties', 'undefined_4', '1_3', '1_4', 'upon further order of the court or', 'on mmddyyyy', 'interim hearing_2', 'final hearing', 'upon entry of a final judgment', 'undefined_5', 'The GAL is not required to submit a written report before testifying at the hearing limited appointments only', 'The GAL shall provide a summary written or oral report with preliminary findings and preliminary', 'The GAL shall submit a written report to the court and to the parties', 'recommendations to the parties on or before mmddyyyy', '14 days before the hearing or', 'mmddyyyy', 'unless the GAL has been notified that the case has settled in which', 'issues 1', 'undefined_6', 'hour for time not to exceed', 'Flat fee The GAL will complete all the duties required in this appointment order until mediation is', 'Hourly rate with cap The GAL may charge a total fee of no more than', 'completed for a flat fee of', 'written report the additional flat fee will be', 'by spending no', 'more than', 'total hours on this matter at the hourly rate of', 'GAL may charge an additional fee of no more than', 'The GALs fee shall be paid as follows', 'On or before mmddyyyy', 'Petitioner shall pay', 'pay', 'Other_3', 'shall pay', 'In addition the GAL shall submit an itemized bill to the parties on a', 'monthly', 'biweekly basis', 'Petitioner shall pay_2', 'undefined_7', 'of each bill Respondent shall pay', 'Other_4', 'shall pay_2', '14', '35 days after receiving each bill or', 'per', 'Petitioner shall pay_3', 'week', 'month toward the GAL fees and expenses', 'Respondent shall pay', 'week_2', 'month toward the GAL fees and', 'expenses Other', 'shall pay_3', 'week_3', 'month toward the GAL fees and expenses The responsibility for payment may', 'Date mmddyyyy']",https://courtformsonline.org/forms/9f78feec73b1247483a0cd555bb65b58.pdf,"['n_r_e__1', 'n_r_e__2', 'n_r_e__3', 'n_r_e__4', 'location_town', 'docket', 'limited_purpose', 'standard', 'expanded', 'following_minor_whose_dates_birth', 'ga_ls_name', 'ga_ls_contact_information', 'ga_currently_qualified_maine', 'ga_court_attorney_maine', 'party_appointment_fee', '*petitioners1_name', 'petitioner', 'necessary_experience_guardian_see', 'qualifications', 'undefined__1', 'undefined__2', '*respondents1_name', 'other__1', 'objects_appointment_gal', 'appointment__1', 'appointment__2', 'careful_concludes_following_factors', 'respondent', 'other_2', 'support_fee_arrangement', 'objects_fee_arrangement', 'limited_purpose_appointment', 'interim_hearing__1', 'hearing_matter_available', 'provisions_limited_appointment', 'ii__1', 'standard_appointment', 'provisions_appointment', 'ii__2', 'expanded_appointment', 'hearing_must_perform', 'following_people_know', 'unknown__1', 's', 'mental_health__1', 'mental_health__2', 'mental_health__3', 'mental_health__4', 'mental_health__5', 'mental_health__6', 'review__1', 'review__2', 'review__3', 'review__4', 'review__5', 'review__6', 'engage_qualified', 'mmddyyyy__1', 'subpoena_witnesses_examine', 'contact_person_follows', 's_2', 's_3', 's_4', 's_5', 's_6', 'medical_andor_educational__1', 'medical_andor_educational__2', 'medical_andor_educational__3', 'medical_andor_educational__4', 'medical_andor_educational__5', 'medical_andor_educational__6', 'medical', 'mental_health__7', 'educational_provider_evaluate', 'undefined__3', 'mmddyyyy__2', 'than_1', 'than_2', 'arrange_counseling_following', '1_2', 'appear', 'mediation_person_andor', 'status_conference_andor', 'other__2', 'courtrelated_events_listed', 'duties', 'undefined__4', '1_3', '1_4', 'upon_order_court', 'mmddyyyy__3', 'interim_hearing__2', 'final_hearing', 'upon_entry_final_judgment', 'undefined__5', 'required_report_limited', 'summary_report_preliminary_findings', 'shall_written_report_court_parties', 'recommendations_parties', 'days_hearing', 'mmddyyyy__4', 'unless_ga_notified_case_settled', 'issues', 'undefined__6', 'hour_time_exceed', 'fee_duties_required_appointment', 'hourly_rate_cap_charge_total_fee', 'completed_flat_fee', 'report_additional_flat_fee', 'spending', 'more_than', 'total_hours_matter_hourly_rate', 'ga_l_may_charge_additional_fee', 'ga_ls_fee_shall_paid_follows', 'mmddyyyy__5', 'petitioner_shall_pay__1', 'pay', 'other_3', 'shall_pay__1', 'addition_ga_shall_bill_parties', 'monthly', 'biweekly_basis', 'petitioner_shall_pay__2', 'undefined__7', 'bill_respondent_shall_pay', 'other_4', 'shall_pay__2', 'unknown__2', 'days_receiving_bill', 'per', 'petitioner_shall_pay__3', 'week__1', 'month_toward_ga_fees_expenses', 'respondent_shall_pay', 'week__2', 'month_toward_ga_l_fees', 'expenses', 'shall_pay__3', 'week__3', 'month_fees_expenses_payment', 'date_mmddyyyy']",ME
9ec2683bdc7cbb888f1c23c0cac833cf,Maine Treatment Court: Request to Travel Outside County of Residence,,1.0,10,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CR-239,"['Name', 'Todays Date', 'Phase', 'Documented negative testing days', 'Date I wish to leave', 'Date I wish to return', 'Reason for travel', 'Mode of Travel', 'Traveling with', 'Contact Information cellphone', 'Traveling to Address', 'CityState', 'Contact Information cellphone_2', 'If driving Make', 'Model', 'Tag Number', 'I am submitting this travel request due to a family emergency or family death and I have', 'I am submitting this travel request because I am in Phase 3 Phase 4 or Phase 5 and am in', 'Recommend approval', 'Recommend denial', 'Recommend approval_2', 'Recommend denial_2', 'Approved', 'Denied', 'month', 'day', 'year']",https://courtformsonline.org/forms/9ec2683bdc7cbb888f1c23c0cac833cf.pdf,"['*users1_name', 'todays_date', 'phase', 'documented_negative_testing', 'date_wish_leave', 'date_wish_return', 'reason_travel', 'mode_travel', 'traveling', 'contact_information_cellphone__1', 'traveling_address', 'city_state', 'contact_information_cellphone__2', 'driving_make', 'model', 'tag_number', 'submitting_request_due', 'submitting_request_phase', 'recommend_approval__1', 'recommend_denial__1', 'recommend_approval__2', 'recommend_denial__2', 'approved', 'denied', 'month', 'day', 'year']",ME
9a8de07c86c7e08782290a40c8c98433,Report of Disbursements,,2.0,13,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=AD-008,"['PROBATE COURT', 'DISTRICT COURT', 'Docket No', 'Docket No_2', 'In the Matter of the Adoption Petition of', 'Legal services provided to legal parent 1 in connection with surrender and release consent', 'or adoption process 1', 'or adoption process 2', 'Legal services provided to legal parent 2 in connection with surrender and release consent', 'or adoption process 1_2', 'or adoption process 2_2', '3', 'Counseling services provided to legal parent 1 in connection with surrender and release', 'consent or adoption process', '4', 'Counseling services provided to legal parent 2 in connection with surrender and release', 'consent or adoption process_2', '5', 'Prenatal birthing and other related medical expenses for the birth mother 1', 'Prenatal birthing and other related medical expenses for the birth mother 2', '6', 'Transportation expenses associated with any of the above services 1', 'Transportation expenses associated with any of the above services 2', '7', 'Foster care expenses for the child 1', 'Foster care expenses for the child 2', 'Living expenses for the birth mother', '1', '2', 'in any way in the handling of funds associated with this adoption either directly or indirectly 1', 'in any way in the handling of funds associated with this adoption either directly or indirectly 2', 'in any way in the handling of funds associated with this adoption either directly or indirectly 3', 'in any way in the handling of funds associated with this adoption either directly or indirectly 4', 'in any way in the handling of funds associated with this adoption either directly or indirectly 5', 'dated', 'dated 1', 'name 1', 'name 2', 'Text1', 'Text2']",https://courtformsonline.org/forms/9a8de07c86c7e08782290a40c8c98433.pdf,"['probat_e_court', 'distric_court', 'docket__1', 'docket__2', 'matter_adoption_petition', 'legal_provided_consent__1', 'adoption_process__1', 'adoption_process__2', 'legal_provided_consent__2', 'adoption_process__3', 'adoption_process__4', 'unknown__1', 'counseling_services_provided__1', 'consent_adoption_process__1', 'unknown__2', 'counseling_services_provided__2', 'consent_adoption_process__2', 'unknown__3', 'related_medical_expenses__1', 'related_medical_expenses__2', 'unknown__4', 'transportation_expenses__1', 'transportation_expenses__2', 'unknown__5', 'foster_care_expenses_child__1', 'foster_care_expenses_child__2', 'living_expenses_birth_mother', 'unknown__6', 'unknown__7', 'way_associated_either__1', 'way_associated_either__2', 'way_associated_either__3', 'way_associated_either__4', 'way_associated_either__5', 'dated__1', 'dated__2', 'name__1', 'name__2', 'text__1', 'text__2']",ME
8ee74a6f21b786aef441f4367f4a8880,Affidavit and Agreement (Business Entities),,1.0,10,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=MJ-SC-012,"['JudgmentCreditor', 'LocationTown', 'Docket No', 'JudgmentDebtor', 'I', 'inthecapacityof', 'theJudgmentDebtor', 'Corporation', 'LimitedLiabilityCompany', 'LimitedLiabilityPartnership', 'LimitedPartnership', 'Nonprofit Corporation', 'Other', '2 Judgment Debtorsgrossincome', 'undefined', 'per', '3 JudgmentDebtorsnetprofit', 'per_2', 'DEBT OWEDTO 1', 'DEBT OWEDTO 2', 'DEBT OWEDTO 3', 'undefined_2', 'per_3', 'undefined_3', 'undefined_4', 'per_4', 'undefined_5', 'undefined_6', 'per_5', 'undefined_7', '5 JudgmentDebtoragreestopay', 'per_6', 'commencingmmddyyyy', 'to', 'I swearunderpenaltyofperjurythattheabove statementsaretrueandcorrect I understandthatthese', 'Date mmddyyyy', 'Title', 'Personallyappearedtheabovenamed', 'signature electronic or actual']",https://courtformsonline.org/forms/8ee74a6f21b786aef441f4367f4a8880.pdf,"['judgment_creditor', 'location_town', 'docket', 'judgment_debtor__1', 'i', 'inthecapacityof', 'judgment_debtor__2', 'corporation', 'limited_liability_company', 'limited_liability_partnership', 'limited_partnership', 'nonprofit_corporation', 'other', 'judgment_debtorsgrossincome', 'undefined__1', 'per__1', 'judgment_debtorsnetprofit', 'per__2', 'deb_owedt__1', 'deb_owedt__2', 'deb_owedt__3', 'undefined__2', 'per__3', 'undefined__3', 'undefined__4', 'per__4', 'undefined__5', 'undefined__6', 'per__5', 'undefined__7', 'judgment_debtoragreestopay', 'per__6', 'commencingmmddyyyy', 'to', 'swearunderpenaltyofperjurythattheabove_statementsaretrueandcorrect_understandthatthese', 'date_mmddyyyy', 'title', 'personallyappearedtheabovenamed', 'signature_electronic_actual']",ME
8b554622b5701279167ed5cd2ee576a9,Complaint for Divorce,,4.0,9,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=FM-004,"['Plaintiff', 'Location Town', 'Docket No', 'Defendant', 'With minor children', 'No minor children', 'Title to real estate is involved', 'undefined', 'state', 'on mmddyyyy', 'undefined_2', 'county', 'undefined_3', 'undefined_4', 'Defendant now resides in town', 'county_2', 'undefined_5', 'undefined_6', 'Residence of the defendant is unknown and the plaintiff has used reasonable efforts and cannot locate the', 'Plaintiff resided in Maine in good faith for six months before filing this complaint', 'Plaintiff is a resident of Maine and the parties were married in Maine', 'Plaintiff is a resident of Maine and the parties resided in Maine when the grounds for divorce arose andor', 'Defendant is a resident of Maine', 'Neither plaintiff nor defendant has filed for divorce judicial separation or annulment from the other before', 'A complaint for divorce or annulment was filed before in Court name town and state of Court', 'Docket No_2', 'undefined_7', 'Was dismissed on mmddyyyy', 'Is still pending', 'undefined_8', 'Either or both parties hashave an interest in real estate file and exchange FM056', 'Neither party has an interest in real estate', 'Irreconcilable marital differences exist between the parties', 'Other', 'undefined_9', 'Full name 1', 'Full name 2', 'Full name 3', 'Full name 4', 'Full name 5', 'Full name 6', 'mmddyyyy 1', 'mmddyyyy 2', 'mmddyyyy 3', 'mmddyyyy 4', 'mmddyyyy 5', 'mmddyyyy 6', 'Present addresses do not list if confidential to other party 1', 'Present addresses do not list if confidential to other party 2', 'Present addresses do not list if confidential to other party 3', 'Present addresses do not list if confidential to other party 4', 'Present addresses do not list if confidential to other party 5', 'Present addresses do not list if confidential to other party 6', 'children lived 1', 'children lived 2', 'children lived 3', 'children lived 4', 'children lived 5', 'children lived 6', 'children lived 7', 'children lived 8', 'confidential to other party 1', 'confidential to other party 2', 'confidential to other party 3', 'confidential to other party 4', 'confidential to other party 5', 'confidential to other party 6', 'confidential to other party 7', 'confidential to other party 8', 'mmyy  mmyy 1', 'mmyy  mmyy 2', 'mmyy  mmyy 3', 'mmyy  mmyy 4', 'mmyy  mmyy 5', 'mmyy  mmyy 6', 'mmyy  mmyy 7', 'mmyy  mmyy 8', 'that person 1', 'that person 2', 'that person 3', 'that person 4', 'that person 5', 'that person 6', 'that person 7', 'that person 8', '10 Other possible parents check one', 'OR', 'visitation rights with respect to the children except 1', 'visitation rights with respect to the children except 2', 'other state concerning custody of the minor children except as follows', 'Protection from Abuse provide docket number', 'Probate matter provide docket number', 'Other describe what kind of case and provide docket number', 'undefined_10', 'undefined_11', '19A MRS  18433 If this does not apply please leave blank 1', 'No public assistance benefits MaineCare or TANF have ever been received for the children', 'Public assistance benefits MaineCare or TANF have been are now or will be received for the children', 'The Department of Health and Human Services has issued a child support order regarding the children If such', 'Set apart the nonmarital property to each party and divide the marital property file and exchange FM043', 'Order that spousal support be paid to plaintiff by defendant file and exchange FM043', 'Award reasonable attorney fees to plaintiffs attorney file and exchange FM043', 'Change plaintiffs name to', 'and', 'Determine parental rights and responsibilities for the minor children pursuant to 19A MRS  1653', 'Change the childrens names as follows', 'A', 'I ask that the childs name be changed to', 'undefined_12', 'The childs name is', 'undefined_13', 'The childs name is_2', 'undefined_14', 'D', 'undefined_15', 'The childs name is_3', 'undefined_16', 'The childs name is_4', 'I swear under penalty of perjury that the above statements are true and correct I understand that these', 'Date mmddyyyy', 'undefined_17', 'Plaintiffs Attorney', 'Plaintiff_2', 'Maine Bar No', 'Address is confidential if so leave blank below', 'Mailing Address 1', 'Mailing Address 2', 'Mailing Address 3', 'Mailing Address', 'undefined_18', 'Home phone', 'Phone', 'Cell phone', 'Email', 'Email_2']",https://courtformsonline.org/forms/8b554622b5701279167ed5cd2ee576a9.pdf,"['plaintiff__1', 'location_town', 'docket__1', 'defendant', 'minor_children__1', 'minor_children__2', 'title_real_estate_involved', 'undefined__1', '*users1_address_state', 'mmddyyyy__1', 'undefined__2', 'county__1', 'undefined__3', 'undefined__4', 'defendant_resides_town', 'county__2', 'undefined__5', 'undefined__6', 'reasonable_efforts_cannot', 'plaintiff_good_filing_complaint', 'plaintiff_resident_married', 'parties_divorce_arose', 'defendant_resident_maine', 'plaintiff_filed_divorce', 'complaint_divorce_filed_court', 'docket__2', 'undefined__7', 'dismissed_mmddyyyy', 'still_pending', 'undefined__8', 'either_interest_real_estate', 'neither_party_interest_real', 'irreconcilable_marital_parties', 'other', 'undefined__9', 'full_name__1', 'full_name__2', 'full_name__3', 'full_name__4', 'full_name__5', 'full_name__6', 'mmddyyyy__2', 'mmddyyyy__3', 'mmddyyyy__4', 'mmddyyyy__5', 'mmddyyyy__6', 'mmddyyyy__7', 'present_addresses_party__1', 'present_addresses_party__2', 'present_addresses_party__3', 'present_addresses_party__4', 'present_addresses_party__5', 'present_addresses_party__6', 'children_lived__1', 'children_lived__2', 'children_lived__3', 'children_lived__4', 'children_lived__5', 'children_lived__6', 'children_lived__7', 'children_lived__8', 'confidential_party__1', 'confidential_party__2', 'confidential_party__3', 'confidential_party__4', 'confidential_party__5', 'confidential_party__6', 'confidential_party__7', 'confidential_party__8', 'mmyy__1', 'mmyy__2', 'mmyy__3', 'mmyy__4', 'mmyy__5', 'mmyy__6', 'mmyy__7', 'mmyy__8', 'person__1', 'person__2', 'person__3', 'person__4', 'person__5', 'person__6', 'person__7', 'person__8', 'possible_parents_check_one', 'or', 'rights_respect_except__1', 'rights_respect_except__2', 'concerning_except_follows', 'abuse_provide_number', 'probate_provide_number', 'describe_kind_case_number', 'undefined__10', 'undefined__11', 'mr_apply_please_leave_blank', 'public_assistance_care_ever', 'public_assistance_benefits_care', 'health_human_children', 'set_apart_nonmarital_property_party_divide_marital_file_exchange_f', 'order_support_paid_plaintiff', 'attorney_fees_plaintiffs', 'change_plaintiffs_name', 'and', 'responsibilities_minor_pursuant', 'change_childrens_follows', 'a', 'ask_childs_name_changed', 'undefined__12', 'childs_name__1', 'undefined__13', 'childs_name__2', 'undefined__14', 'd', 'undefined__15', 'childs_name__3', 'undefined__16', 'childs_name__4', 'statements_true_understand', 'date_mmddyyyy', 'undefined__17', 'plaintiffs_attorney', 'plaintiff__2', 'maine_bar', 'address_confidential_leave', 'mailing_address__1', 'mailing_address__2', 'mailing_address__3', 'mailing_address__4', 'undefined__18', 'home_phone', '*users1_phone_number', 'cell_phone', 'email__1', 'email__2']",ME
7e873a71c8c1207b7943d90a7d43f33f,Abstract of Divorce Decree,,2.0,10,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=FM-171,"['Plaintiff', 'Location Town', 'Docket No', 'Defendant', 'The divorce judgment became final on mmddyyyy', 'Changes to the parties names after the divorce decree', 'Name when divorce was filed', 'Name after divorce', 'Defendant Name when divorce was filed', 'Name after divorce_2', 'Date mmddyyyy', 'undefined', 'Clerk typed or printed name']",https://courtformsonline.org/forms/7e873a71c8c1207b7943d90a7d43f33f.pdf,"['plaintiff', 'location_town', 'docket', 'defendant', 'judgment_became_final', 'parties_divorce_decree', 'name_divorce_filed', 'name_divorce__1', 'defendant_name_divorce_filed', 'name_divorce__2', 'date_mmddyyyy', 'undefined', 'clerk_typed_printed_name']",ME
7bfa4188adcf75e71113dbf8722b75c9,Maine Treatment Court: Petition to Advance to Phase 5,,2.0,14,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CR-245,"['I have had no courtimposed sanctions for the last 60 days', 'I have engaged appropriately in all court and treatment sessions', 'I have met with my case manager each week', 'I have tested negative for the last 60 days including no missed diluted or altered tests', 'I have complied with my curfew', 'I have complied with all bail andor probation conditions', 'I have reported any contact with law enforcement to my case manager within 24 hours of the', 'I have not changed housing without permission from my case manager', 'I have obtained or maintained gainful employment or participation in an educational program', 'I have complied with all requested prescription counts', 'I have attended all treatment recommended recovery support groups', 'I have complied with treatment recommendations regarding a sponsor', 'I have followed all recommendations for additional services', 'Printed Name', 'Date', 'granted', 'denied effective', 'undefined', 'Identified SkillsTools Learned in', 'TreatmentDrug CourtSelfHelp', 'Place of Employment or School', 'undefined_2', 'undefined_3', 'License Reinstatement Plan']",https://courtformsonline.org/forms/7bfa4188adcf75e71113dbf8722b75c9.pdf,"['courtimposed_sanctions_last_days', 'engaged_appropriately_treatment', 'met_case_manager_week', 'negative_last_including', 'complied_curfew', 'complied_probation_conditions', 'reported_law_case', 'changed_without_case', 'educational_program', 'complied_requested_counts', 'treatment_recommended_support', 'complied_regarding', 'followed_additional', 'printed_name', '*signature_date', 'granted', 'denied_effective', 'undefined__1', 'skills_tools_learned', 'treatment_drug_court_self_help', 'place_employment_school', 'undefined__2', 'undefined__3', 'license_reinstatement_plan']",ME
6ef6d30dd5c36ff5a0ddfc15ac0e8e4e,Maine Treatment Court Physician and Pharmacy Conditions,,1.0,18,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CR-251,"['i_understand_and_agree_to_the_following_conditions', 'i__shall__take__all__medications__prescribed__by__my__physician__in__the__manner__and__quantity__as', 'i_shall_keep_all_medications_in_their_original_container_unless_i_have_been_given_permission', 'medications_are_prescribed', 'i_shall_sign_all_medical_release_forms_allowing_my_case_manager__probation_officer__or_and', 'i__shall__designate__a__single__pharmacy__to__my__case__manager__and__probation__officer_if__on', 'i_shall_personally_retrieve_all_of_my_prescribed_medications_from_my_designated_pharmacy', 'i__shall__not__retrieve__medications__for__any__other__person__without__prior__approval__of__my__case', 'date', 'participant_attorney', 'page_0_field_10', 'participant_signature']",https://courtformsonline.org/forms/6ef6d30dd5c36ff5a0ddfc15ac0e8e4e.pdf,"['understand_agree_following', 'take_manner_quantity', 'shall_unless_given_permission', 'medications_prescribed', 'shall_probation_officer__1', 'shall_probation_officer__2', 'prescribed_medications_designated', 'shall_without_case', '*signature_date', 'participant_attorney', 'page_field', 'participant_signature']",ME
6e98b212cbd39a741e12ebe65c79f1e5,Guardianship Case File Checklist,,2.0,11,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=PB-010,"['FILING FEE 50 or CV067191 Application to Proceed Without Payment of Fees and Financial Affidavit', 'FM002 Family and Probate Matter Summary Sheet', 'PB004 Social Security Number Confidential Disclosure Forms', 'PB003 Jurisdictional Affidavit', 'Petition check one', 'GS008 Acceptance of Appointment by Guardian of Minor', 'GS001 Petition for Appointment of Guardian of Minor', 'GS009 Petition for ModificationTerminationRemovalResignation of Guardianship', 'GS003 Motion for Appointment of Guardian of Minor on an Emergency Basis', 'If the Court makes an exparte appointment the petitioners must provide notice of the following to all', 'If the Court does not make an exparte appointment the petitioners must provide notice of the GS', 'GS004 Order Appointing Guardian of Minor on an Emergency Basis', 'GS013 Letters of Guardianship', 'GS005 Notice of Appointment and Order Setting Hearing on Petition for Appointment of Guardian', 'GS006 Affidavit of Notice to be reviewed by the Judge', 'PB008 Summons Adoption Guardianship and Name Change with Proof of Service acknowledgement', 'Proof of Service check all that apply', 'GS017 Child Support Affidavit', 'GS018 Child Support Worksheet', 'Minor aged 14 or over', 'Primary caretaker during previous 60 days', 'Any living parent or if none the nearest kinship adult that can be found', 'Any person nominated to be guardian by the minor', 'Any appointee of a parent whose appointment has not been prevented or terminated', 'Any guardian or conservator currently acting for the minor in this state or anywhere else', 'FM052 Federal Affidavit if the responding party does not appear at the final hearing']",https://courtformsonline.org/forms/6e98b212cbd39a741e12ebe65c79f1e5.pdf,"['fe_without_payment_fees_financial', 'probate_matter_summary_sheet', 'security_number_disclosure_forms', 'p_b_jurisdictional_affidavit', 'petition_check_one', 'acceptance_appointment_minor', 'appointment_guardian_minor', 'petition_termination_guardianship', 'appointment_minor_basis', 'appointment_petitioners_notice__1', 'appointment_petitioners_notice__2', 'order_guardian_minor_basis', 'g_letters_guardianship', 'notice_appointment_order', 'affidavit_notice_reviewed_judge', 'p_b_name_proof', 'proof_service_check_apply', 'g_child_support_affidavit', 'g_child_support_worksheet', 'minor_aged', 'primary_caretaker_previous', 'living_parent_none_nearest', 'person_guardian_minor', 'whose_prevented_terminated', 'minor_state_else', 'responding_party_hearing']",ME
6e719d151957f847162eb3275069abea,Verification (of Publication),,1.0,10,2023-03,https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CV-173,"['Plaintiff', 'Superior Court', 'District Court', 'County', 'Location Town', 'Defendant', 'Docket No', 'County_2', 'I', 'employee of the', 'daily', 'weekly newspaper of general circulation in', 'County Maine that the Order of Service by publication in the matter of', 'of which the attached copy is a clipping was published in said newspaper once a week for three successive', 'V', 'weeks and that the first publication was made on mmddyyyy', 'I swear under penalty of perjury that the above statements are true and correct I understand that these', 'Date mmddyyyy', 'Printed Name']",https://courtformsonline.org/forms/6e719d151957f847162eb3275069abea.pdf,"['plaintiff', 'superior_court', 'district_court', 'county__1', 'location_town', 'defendant', 'docket', 'county__2', 'i', 'employee', 'daily', 'weekly_general_circulation', 'county_maine_service', 'newspaper_three_successive', 'v', 'weeks_first_made', 'statements_true_understand', 'date_mmddyyyy', 'printed_name']",ME
